,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 13:03:15.680099,,,,,,,,,
1,Simulation configuration ID,3ded332d-a014-4bd2-ad59-dbee40019c1c,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,42.0,household_agent_3,10.0,household_agent_4,0.0,0.0,10.0,42.0
1,,,1.0,42.0,household_agent_5,28.0,household_agent_4,0.0,0.0,28.0,42.0
2,,,100300.0,333.0,household_agent_4,10.0,household_agent_3,42.0,0.0,10.0,333.0
3,,,100500.0,165.0,household_agent_4,28.0,household_agent_5,42.0,0.0,28.0,165.0
