,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 17:43:43.011709,,,,,,,,,
1,Simulation configuration ID,3e0d38b4-45ed-4fd3-a74e-108f83449cb3,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,18.0,household_agent_0,197.0,household_agent_2,0.0,1.0,197.0,19.0
1,,,1.0,18.0,household_agent_1,98.0,household_agent_2,0.0,1.0,98.0,19.0
2,,,2.0,18.0,household_agent_3,141.0,household_agent_2,0.0,1.0,141.0,19.0
3,,,3.0,18.0,household_agent_4,57.0,household_agent_2,0.0,2.0,57.0,20.0
4,,,4.0,18.0,household_agent_5,108.0,household_agent_2,0.0,0.0,108.0,18.0
5,,,5.0,18.0,household_agent_6,59.0,household_agent_2,0.0,1.0,59.0,19.0
6,,,6.0,18.0,household_agent_7,128.0,household_agent_2,0.0,2.0,128.0,20.0
7,,,7.0,18.0,household_agent_8,186.0,household_agent_2,0.0,2.0,186.0,20.0
8,,,8.0,18.0,household_agent_9,176.0,household_agent_2,0.0,3.0,176.0,21.0
9,,,9.0,18.0,household_agent_10,90.0,household_agent_2,0.0,3.0,90.0,21.0
10,,,10.0,18.0,household_agent_11,155.0,household_agent_2,0.0,3.0,155.0,21.0
11,,,11.0,18.0,household_agent_12,172.0,household_agent_2,0.0,2.0,172.0,20.0
12,,,12.0,18.0,generation_agent_0,100.0,household_agent_2,0.0,3.0,100.0,21.0
13,,,13.0,18.0,generation_agent_1,184.0,household_agent_2,0.0,3.0,184.0,21.0
14,,,14.0,18.0,generation_agent_2,112.0,household_agent_2,0.0,3.0,112.0,21.0
15,,,15.0,18.0,generation_agent_3,56.0,household_agent_2,0.0,3.0,56.0,21.0
16,,,100000.0,59.0,household_agent_2,197.0,household_agent_0,19.0,1.0,197.0,60.0
17,,,100100.0,43.0,household_agent_2,98.0,household_agent_1,19.0,0.0,98.0,43.0
18,,,100300.0,86.0,household_agent_2,141.0,household_agent_3,19.0,0.0,141.0,86.0
19,,,100400.0,101.0,household_agent_2,57.0,household_agent_4,20.0,0.0,57.0,101.0
20,,,100500.0,48.0,household_agent_2,108.0,household_agent_5,18.0,0.0,108.0,48.0
21,,,100600.0,90.0,household_agent_2,59.0,household_agent_6,19.0,0.0,59.0,90.0
22,,,100700.0,35.0,household_agent_2,128.0,household_agent_7,20.0,0.0,128.0,35.0
23,,,100800.0,28.0,household_agent_2,186.0,household_agent_8,20.0,1.0,186.0,29.0
24,,,100900.0,99.0,household_agent_2,176.0,household_agent_9,21.0,1.0,176.0,100.0
25,,,101000.0,100.0,household_agent_2,90.0,household_agent_10,21.0,0.0,90.0,100.0
26,,,101100.0,59.0,household_agent_2,155.0,household_agent_11,21.0,1.0,155.0,60.0
27,,,101200.0,88.0,household_agent_2,172.0,household_agent_12,20.0,0.0,172.0,88.0
28,,,101300.0,26.0,household_agent_2,100.0,generation_agent_0,21.0,0.0,100.0,26.0
29,,,101400.0,117.0,household_agent_2,184.0,generation_agent_1,21.0,1.0,184.0,118.0
30,,,101500.0,83.0,household_agent_2,112.0,generation_agent_2,21.0,0.0,112.0,83.0
31,,,101600.0,63.0,household_agent_2,56.0,generation_agent_3,21.0,0.0,56.0,63.0
