,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 11:35:30.262021,,,,,,,,,
1,Simulation configuration ID,4d62ecb2-1454-4ec7-8c91-2676bbdac802,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 22 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,12.0,53.0,household_agent_2,228.0,household_agent_7,0.0,2.0,228.0,55.0
1,,,13.0,53.0,household_agent_3,823.0,household_agent_7,0.0,1.0,536.0,54.0
2,,,13.0,53.0,household_agent_3,823.0,household_agent_7,0.0,2.0,287.0,55.0
3,,,14.0,53.0,generation_agent_0,939.0,household_agent_7,0.0,3.0,536.0,56.0
4,,,14.0,53.0,generation_agent_0,939.0,household_agent_7,0.0,5.0,403.0,58.0
5,,,100200.0,14918.0,household_agent_7,228.0,household_agent_2,55.0,1.0,228.0,14919.0
6,,,100300.0,7596.0,household_agent_7,823.0,household_agent_3,54.0,1.0,536.0,7597.0
7,,,100300.0,7596.0,household_agent_7,823.0,household_agent_3,54.0,1.0,287.0,7597.0
8,,,100301.0,7597.0,household_agent_7,823.0,household_agent_3,55.0,1.0,536.0,7598.0
9,,,100301.0,7597.0,household_agent_7,823.0,household_agent_3,55.0,2.0,287.0,7599.0
10,,,101300.0,6490.0,household_agent_7,939.0,generation_agent_0,56.0,2.0,536.0,6492.0
11,,,101300.0,6490.0,household_agent_7,939.0,generation_agent_0,56.0,3.0,403.0,6493.0
12,,,101301.0,6492.0,household_agent_7,939.0,generation_agent_0,58.0,2.0,536.0,6494.0
13,,,101301.0,6492.0,household_agent_7,939.0,generation_agent_0,58.0,4.0,403.0,6496.0
