,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 05:14:05.166328,,,,,,,,,
1,Simulation configuration ID,54ea6806-afca-4fe8-91a3-f9e95fe3900e,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 25 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,194.0,household_agent_1,399.0,household_agent_0,0.0,0.0,399.0,194.0
1,,,1.0,162.0,household_agent_0,916.0,household_agent_1,0.0,1.0,536.0,163.0
2,,,1.0,162.0,household_agent_0,916.0,household_agent_1,0.0,1.0,380.0,163.0
3,,,2.0,154.0,household_agent_2,325.0,household_agent_1,0.0,1.0,325.0,155.0
4,,,3.0,131.0,household_agent_12,622.0,household_agent_1,0.0,2.0,536.0,133.0
5,,,3.0,131.0,household_agent_12,622.0,household_agent_1,0.0,2.0,86.0,133.0
6,,,4.0,176.0,household_agent_1,724.0,household_agent_2,0.0,2.0,536.0,178.0
7,,,4.0,176.0,household_agent_1,724.0,household_agent_2,0.0,3.0,188.0,179.0
8,,,5.0,130.0,household_agent_3,706.0,household_agent_2,0.0,2.0,536.0,132.0
9,,,5.0,130.0,household_agent_3,706.0,household_agent_2,0.0,3.0,170.0,133.0
10,,,6.0,184.0,household_agent_7,474.0,household_agent_2,0.0,2.0,474.0,186.0
11,,,7.0,160.0,household_agent_2,557.0,household_agent_3,0.0,2.0,536.0,162.0
12,,,7.0,160.0,household_agent_2,557.0,household_agent_3,0.0,2.0,21.0,162.0
13,,,8.0,118.0,household_agent_4,367.0,household_agent_3,0.0,0.0,367.0,118.0
14,,,9.0,143.0,household_agent_3,469.0,household_agent_4,0.0,1.0,469.0,144.0
15,,,10.0,178.0,household_agent_5,497.0,household_agent_4,0.0,2.0,497.0,180.0
16,,,11.0,114.0,household_agent_4,253.0,household_agent_5,0.0,1.0,253.0,115.0
17,,,12.0,124.0,household_agent_6,706.0,household_agent_5,0.0,1.0,536.0,125.0
18,,,12.0,124.0,household_agent_6,706.0,household_agent_5,0.0,1.0,170.0,125.0
19,,,13.0,139.0,household_agent_5,939.0,household_agent_6,0.0,1.0,536.0,140.0
20,,,13.0,139.0,household_agent_5,939.0,household_agent_6,0.0,1.0,403.0,140.0
21,,,14.0,184.0,household_agent_7,838.0,household_agent_6,0.0,2.0,536.0,186.0
22,,,14.0,184.0,household_agent_7,838.0,household_agent_6,0.0,3.0,302.0,187.0
23,,,15.0,117.0,household_agent_2,625.0,household_agent_7,0.0,2.0,536.0,119.0
24,,,15.0,117.0,household_agent_2,625.0,household_agent_7,0.0,3.0,89.0,120.0
