,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 17:52:23.320640,,,,,,,,,
1,Simulation configuration ID,56001a2f-3cab-4e15-be76-1344e093dd38,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 22 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,62.0,aggregator_agent,1017.0,991.0,control_center_agent,1.0,536.0,63.0
1,,,0.0,62.0,aggregator_agent,1017.0,991.0,control_center_agent,2.0,455.0,64.0
2,,,1.0,173.0,household_agent_6,1006.0,991.0,aggregator_agent,1.0,536.0,174.0
3,,,1.0,173.0,household_agent_6,1006.0,991.0,aggregator_agent,2.0,455.0,175.0
4,,,57.0,2330.0,control_center_agent,1018.0,991.0,aggregator_agent,1.0,536.0,2331.0
5,,,57.0,2330.0,control_center_agent,1018.0,991.0,aggregator_agent,2.0,455.0,2332.0
6,,,6.0,327.0,household_agent_6,1006.0,991.0,household_agent_1,2.0,536.0,329.0
7,,,6.0,327.0,household_agent_6,1006.0,991.0,household_agent_1,9.0,455.0,336.0
8,,,32.0,1000.0,household_agent_6,1006.0,991.0,household_agent_1,2.0,536.0,1002.0
9,,,32.0,1000.0,household_agent_6,1006.0,991.0,household_agent_1,9.0,455.0,1009.0
10,,,2.0,265.0,household_agent_1,1001.0,991.0,household_agent_6,2.0,536.0,267.0
11,,,2.0,265.0,household_agent_1,1001.0,991.0,household_agent_6,3.0,455.0,268.0
12,,,3.0,265.0,household_agent_3,1003.0,991.0,household_agent_6,2.0,536.0,267.0
13,,,3.0,265.0,household_agent_3,1003.0,991.0,household_agent_6,4.0,455.0,269.0
14,,,4.0,327.0,household_agent_1,1001.0,991.0,household_agent_6,6.0,536.0,333.0
15,,,4.0,327.0,household_agent_1,1001.0,991.0,household_agent_6,10.0,455.0,337.0
16,,,5.0,327.0,household_agent_3,1003.0,991.0,household_agent_6,3.0,536.0,330.0
17,,,5.0,327.0,household_agent_3,1003.0,991.0,household_agent_6,6.0,455.0,333.0
18,,,30.0,1000.0,household_agent_1,1001.0,991.0,household_agent_6,6.0,536.0,1006.0
19,,,30.0,1000.0,household_agent_1,1001.0,991.0,household_agent_6,10.0,455.0,1010.0
20,,,31.0,1000.0,household_agent_3,1003.0,991.0,household_agent_6,3.0,536.0,1003.0
21,,,31.0,1000.0,household_agent_3,1003.0,991.0,household_agent_6,6.0,455.0,1006.0
22,,,56.0,1630.0,aggregator_agent,1017.0,991.0,household_agent_6,1.0,536.0,1631.0
23,,,56.0,1630.0,aggregator_agent,1017.0,991.0,household_agent_6,2.0,455.0,1632.0
24,,,7.0,327.0,household_agent_6,1006.0,991.0,household_agent_3,2.0,536.0,329.0
25,,,7.0,327.0,household_agent_6,1006.0,991.0,household_agent_3,6.0,455.0,333.0
26,,,8.0,327.0,household_agent_2,1002.0,991.0,household_agent_3,3.0,536.0,330.0
27,,,8.0,327.0,household_agent_2,1002.0,991.0,household_agent_3,7.0,455.0,334.0
28,,,33.0,1000.0,household_agent_6,1006.0,991.0,household_agent_3,2.0,536.0,1002.0
29,,,33.0,1000.0,household_agent_6,1006.0,991.0,household_agent_3,6.0,455.0,1006.0
30,,,34.0,1000.0,household_agent_2,1002.0,991.0,household_agent_3,3.0,536.0,1003.0
31,,,34.0,1000.0,household_agent_2,1002.0,991.0,household_agent_3,7.0,455.0,1007.0
32,,,9.0,327.0,household_agent_3,1003.0,991.0,household_agent_2,2.0,536.0,329.0
33,,,9.0,327.0,household_agent_3,1003.0,991.0,household_agent_2,6.0,455.0,333.0
34,,,10.0,327.0,household_agent_9,1009.0,991.0,household_agent_2,4.0,536.0,331.0
35,,,10.0,327.0,household_agent_9,1009.0,991.0,household_agent_2,9.0,455.0,336.0
36,,,35.0,1000.0,household_agent_3,1003.0,991.0,household_agent_2,2.0,536.0,1002.0
37,,,35.0,1000.0,household_agent_3,1003.0,991.0,household_agent_2,6.0,455.0,1006.0
38,,,36.0,1000.0,household_agent_9,1009.0,991.0,household_agent_2,4.0,536.0,1004.0
39,,,36.0,1000.0,household_agent_9,1009.0,991.0,household_agent_2,9.0,455.0,1009.0
40,,,11.0,327.0,household_agent_2,1002.0,991.0,household_agent_9,6.0,536.0,333.0
41,,,11.0,327.0,household_agent_2,1002.0,991.0,household_agent_9,10.0,455.0,337.0
42,,,12.0,327.0,household_agent_7,1007.0,991.0,household_agent_9,4.0,536.0,331.0
43,,,12.0,327.0,household_agent_7,1007.0,991.0,household_agent_9,7.0,455.0,334.0
44,,,37.0,1000.0,household_agent_2,1002.0,991.0,household_agent_9,6.0,536.0,1006.0
45,,,37.0,1000.0,household_agent_2,1002.0,991.0,household_agent_9,10.0,455.0,1010.0
46,,,38.0,1000.0,household_agent_7,1007.0,991.0,household_agent_9,4.0,536.0,1004.0
47,,,38.0,1000.0,household_agent_7,1007.0,991.0,household_agent_9,7.0,455.0,1007.0
48,,,13.0,327.0,household_agent_9,1009.0,991.0,household_agent_7,3.0,536.0,330.0
49,,,13.0,327.0,household_agent_9,1009.0,991.0,household_agent_7,7.0,455.0,334.0
50,,,14.0,327.0,household_agent_10,1010.0,991.0,household_agent_7,5.0,536.0,332.0
51,,,14.0,327.0,household_agent_10,1010.0,991.0,household_agent_7,9.0,455.0,336.0
52,,,39.0,1000.0,household_agent_9,1009.0,991.0,household_agent_7,3.0,536.0,1003.0
53,,,39.0,1000.0,household_agent_9,1009.0,991.0,household_agent_7,7.0,455.0,1007.0
54,,,40.0,1000.0,household_agent_10,1010.0,991.0,household_agent_7,5.0,536.0,1005.0
55,,,40.0,1000.0,household_agent_10,1010.0,991.0,household_agent_7,9.0,455.0,1009.0
56,,,15.0,327.0,household_agent_7,1007.0,991.0,household_agent_10,2.0,536.0,329.0
57,,,15.0,327.0,household_agent_7,1007.0,991.0,household_agent_10,7.0,455.0,334.0
58,,,16.0,327.0,household_agent_12,1012.0,991.0,household_agent_10,4.0,536.0,331.0
59,,,16.0,327.0,household_agent_12,1012.0,991.0,household_agent_10,8.0,455.0,335.0
60,,,41.0,1000.0,household_agent_7,1007.0,991.0,household_agent_10,2.0,536.0,1002.0
61,,,41.0,1000.0,household_agent_7,1007.0,991.0,household_agent_10,7.0,455.0,1007.0
62,,,42.0,1000.0,household_agent_12,1012.0,991.0,household_agent_10,4.0,536.0,1004.0
63,,,42.0,1000.0,household_agent_12,1012.0,991.0,household_agent_10,8.0,455.0,1008.0
64,,,17.0,327.0,household_agent_10,1010.0,991.0,household_agent_12,3.0,536.0,330.0
65,,,17.0,327.0,household_agent_10,1010.0,991.0,household_agent_12,8.0,455.0,335.0
66,,,18.0,327.0,household_agent_8,1008.0,991.0,household_agent_12,6.0,536.0,333.0
67,,,18.0,327.0,household_agent_8,1008.0,991.0,household_agent_12,10.0,455.0,337.0
68,,,43.0,1000.0,household_agent_10,1010.0,991.0,household_agent_12,3.0,536.0,1003.0
69,,,43.0,1000.0,household_agent_10,1010.0,991.0,household_agent_12,8.0,455.0,1008.0
70,,,44.0,1000.0,household_agent_8,1008.0,991.0,household_agent_12,6.0,536.0,1006.0
71,,,44.0,1000.0,household_agent_8,1008.0,991.0,household_agent_12,10.0,455.0,1010.0
72,,,19.0,327.0,household_agent_12,1012.0,991.0,household_agent_8,3.0,536.0,330.0
73,,,19.0,327.0,household_agent_12,1012.0,991.0,household_agent_8,8.0,455.0,335.0
74,,,20.0,327.0,household_agent_5,1005.0,991.0,household_agent_8,5.0,536.0,332.0
75,,,20.0,327.0,household_agent_5,1005.0,991.0,household_agent_8,10.0,455.0,337.0
76,,,45.0,1000.0,household_agent_12,1012.0,991.0,household_agent_8,1.0,536.0,782.0
77,,,45.0,1000.0,household_agent_12,1012.0,991.0,household_agent_8,2.0,455.0,783.0
78,,,45.0,1000.0,household_agent_12,1012.0,991.0,household_agent_8,3.0,536.0,1003.0
79,,,45.0,1000.0,household_agent_12,1012.0,991.0,household_agent_8,8.0,455.0,1008.0
80,,,46.0,1000.0,household_agent_5,1005.0,991.0,household_agent_8,5.0,536.0,1005.0
81,,,46.0,1000.0,household_agent_5,1005.0,991.0,household_agent_8,10.0,455.0,1010.0
82,,,21.0,327.0,household_agent_8,1008.0,991.0,household_agent_5,2.0,536.0,329.0
83,,,21.0,327.0,household_agent_8,1008.0,991.0,household_agent_5,7.0,455.0,334.0
84,,,22.0,327.0,generation_agent_0,1013.0,991.0,household_agent_5,5.0,536.0,332.0
85,,,22.0,327.0,generation_agent_0,1013.0,991.0,household_agent_5,9.0,455.0,336.0
86,,,47.0,1000.0,household_agent_8,1008.0,991.0,household_agent_5,2.0,536.0,1002.0
87,,,47.0,1000.0,household_agent_8,1008.0,991.0,household_agent_5,7.0,455.0,1007.0
88,,,47.0,1000.0,household_agent_8,1008.0,991.0,household_agent_5,3.0,536.0,784.0
89,,,47.0,1000.0,household_agent_8,1008.0,991.0,household_agent_5,4.0,455.0,785.0
90,,,48.0,1000.0,generation_agent_0,1013.0,991.0,household_agent_5,3.0,536.0,784.0
91,,,48.0,1000.0,generation_agent_0,1013.0,991.0,household_agent_5,5.0,455.0,786.0
92,,,48.0,1000.0,generation_agent_0,1013.0,991.0,household_agent_5,5.0,536.0,1005.0
93,,,48.0,1000.0,generation_agent_0,1013.0,991.0,household_agent_5,9.0,455.0,1009.0
94,,,23.0,327.0,household_agent_5,1005.0,991.0,generation_agent_0,5.0,536.0,332.0
95,,,23.0,327.0,household_agent_5,1005.0,991.0,generation_agent_0,9.0,455.0,336.0
96,,,24.0,327.0,generation_agent_1,1014.0,991.0,generation_agent_0,1.0,536.0,328.0
97,,,24.0,327.0,generation_agent_1,1014.0,991.0,generation_agent_0,2.0,455.0,329.0
