,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 16:59:23.657267,,,,,,,,,
1,Simulation configuration ID,5a52b7ca-148a-44d0-a0fa-4f2e0d0f0a0c,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 22 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,51.0,aggregator_agent,1017.0,41.0,control_center_agent,0.0,41.0,51.0
1,,,1.0,132.0,household_agent_10,1010.0,41.0,aggregator_agent,0.0,41.0,132.0
2,,,18.0,17393.0,household_agent_3,1003.0,41.0,household_agent_8,1.0,41.0,17394.0
3,,,14.0,17393.0,household_agent_8,1008.0,41.0,household_agent_3,1.0,41.0,17394.0
4,,,15.0,17393.0,household_agent_2,1002.0,41.0,household_agent_3,1.0,41.0,17394.0
5,,,40.0,40754.0,household_agent_8,1008.0,41.0,household_agent_3,2.0,41.0,9880.0
6,,,10.0,17393.0,household_agent_3,1003.0,41.0,household_agent_2,0.0,41.0,17393.0
7,,,11.0,17393.0,household_agent_5,1005.0,41.0,household_agent_2,0.0,41.0,17393.0
8,,,36.0,40754.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,9879.0
9,,,37.0,40754.0,household_agent_5,1005.0,41.0,household_agent_2,1.0,41.0,9879.0
10,,,6.0,17393.0,household_agent_2,1002.0,41.0,household_agent_5,0.0,41.0,17393.0
11,,,7.0,17393.0,household_agent_10,1010.0,41.0,household_agent_5,1.0,41.0,17394.0
12,,,32.0,40754.0,household_agent_2,1002.0,41.0,household_agent_5,1.0,41.0,9879.0
13,,,33.0,40754.0,household_agent_10,1010.0,41.0,household_agent_5,1.0,41.0,9879.0
14,,,2.0,26752.0,household_agent_5,1005.0,41.0,household_agent_10,0.0,41.0,26752.0
15,,,3.0,26752.0,household_agent_6,1006.0,41.0,household_agent_10,0.0,41.0,26752.0
16,,,4.0,17393.0,household_agent_5,1005.0,41.0,household_agent_10,1.0,41.0,17394.0
17,,,5.0,17393.0,household_agent_6,1006.0,41.0,household_agent_10,1.0,41.0,17394.0
18,,,30.0,40754.0,household_agent_5,1005.0,41.0,household_agent_10,0.0,41.0,9878.0
19,,,31.0,40754.0,household_agent_6,1006.0,41.0,household_agent_10,0.0,41.0,9878.0
20,,,8.0,17393.0,household_agent_10,1010.0,41.0,household_agent_6,1.0,41.0,17394.0
21,,,9.0,17393.0,household_agent_0,1000.0,41.0,household_agent_6,1.0,41.0,17394.0
22,,,34.0,40754.0,household_agent_10,1010.0,41.0,household_agent_6,1.0,41.0,9879.0
23,,,12.0,17393.0,household_agent_6,1006.0,41.0,household_agent_0,0.0,41.0,17393.0
24,,,13.0,17393.0,household_agent_11,1011.0,41.0,household_agent_0,1.0,41.0,17394.0
25,,,38.0,40754.0,household_agent_6,1006.0,41.0,household_agent_0,2.0,41.0,9880.0
26,,,39.0,40754.0,household_agent_11,1011.0,41.0,household_agent_0,0.0,41.0,10793.0
27,,,39.0,40754.0,household_agent_11,1011.0,41.0,household_agent_0,2.0,41.0,9880.0
28,,,16.0,17393.0,household_agent_0,1000.0,41.0,household_agent_11,1.0,41.0,17394.0
29,,,17.0,17393.0,household_agent_9,1009.0,41.0,household_agent_11,1.0,41.0,17394.0
30,,,19.0,17393.0,household_agent_11,1011.0,41.0,household_agent_9,1.0,41.0,17394.0
31,,,20.0,17393.0,household_agent_4,1004.0,41.0,household_agent_9,1.0,41.0,17394.0
32,,,21.0,17393.0,household_agent_9,1009.0,41.0,household_agent_4,1.0,41.0,17394.0
33,,,22.0,17393.0,generation_agent_0,1013.0,41.0,household_agent_4,1.0,41.0,17394.0
34,,,23.0,17393.0,household_agent_4,1004.0,41.0,generation_agent_0,1.0,41.0,17394.0
35,,,24.0,17393.0,generation_agent_1,1014.0,41.0,generation_agent_0,0.0,41.0,17393.0
36,,,25.0,17393.0,generation_agent_0,1013.0,41.0,generation_agent_1,0.0,41.0,17393.0
37,,,26.0,17393.0,generation_agent_2,1015.0,41.0,generation_agent_1,0.0,41.0,17393.0
38,,,27.0,17393.0,generation_agent_1,1014.0,41.0,generation_agent_2,0.0,41.0,17393.0
39,,,28.0,17393.0,generation_agent_3,1016.0,41.0,generation_agent_2,1.0,41.0,9879.0
40,,,28.0,17393.0,generation_agent_3,1016.0,41.0,generation_agent_2,1.0,41.0,17394.0
41,,,29.0,17393.0,generation_agent_2,1015.0,41.0,generation_agent_3,1.0,41.0,9879.0
42,,,29.0,17393.0,generation_agent_2,1015.0,41.0,generation_agent_3,1.0,41.0,17394.0
