,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 01:33:34.215043,,,,,,,,,
1,Simulation configuration ID,5aa1c633-68a2-44c0-b45d-11f5d2f0c596,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,83.0,aggregator_agent,1017.0,41.0,control_center_agent,0.0,41.0,83.0
1,,,1.0,139.0,household_agent_1,1001.0,41.0,aggregator_agent,0.0,41.0,139.0
2,,,165.0,256.0,control_center_agent,1018.0,41.0,aggregator_agent,0.0,41.0,256.0
3,,,6.0,173.0,household_agent_1,1001.0,41.0,household_agent_0,0.0,41.0,173.0
4,,,38.0,175.0,household_agent_1,1001.0,41.0,household_agent_0,0.0,41.0,175.0
5,,,70.0,211.0,household_agent_1,1001.0,41.0,household_agent_0,0.0,41.0,211.0
6,,,102.0,234.0,household_agent_1,1001.0,41.0,household_agent_0,0.0,41.0,234.0
7,,,134.0,328.0,household_agent_1,1001.0,41.0,household_agent_0,0.0,41.0,328.0
8,,,2.0,189.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,189.0
9,,,3.0,189.0,household_agent_2,1002.0,41.0,household_agent_1,0.0,41.0,189.0
10,,,4.0,173.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,173.0
11,,,5.0,173.0,household_agent_2,1002.0,41.0,household_agent_1,1.0,41.0,174.0
12,,,36.0,175.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,175.0
13,,,37.0,175.0,household_agent_2,1002.0,41.0,household_agent_1,1.0,41.0,176.0
14,,,68.0,211.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,211.0
15,,,69.0,211.0,household_agent_2,1002.0,41.0,household_agent_1,1.0,41.0,212.0
16,,,100.0,234.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,234.0
17,,,101.0,234.0,household_agent_2,1002.0,41.0,household_agent_1,1.0,41.0,235.0
18,,,132.0,328.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,328.0
19,,,133.0,328.0,household_agent_2,1002.0,41.0,household_agent_1,1.0,41.0,329.0
20,,,164.0,198.0,aggregator_agent,1017.0,41.0,household_agent_1,0.0,41.0,198.0
21,,,7.0,173.0,household_agent_1,1001.0,41.0,household_agent_2,0.0,41.0,173.0
22,,,8.0,173.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,174.0
23,,,39.0,175.0,household_agent_1,1001.0,41.0,household_agent_2,0.0,41.0,175.0
24,,,40.0,175.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,176.0
25,,,71.0,211.0,household_agent_1,1001.0,41.0,household_agent_2,0.0,41.0,211.0
26,,,72.0,211.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,212.0
27,,,103.0,234.0,household_agent_1,1001.0,41.0,household_agent_2,0.0,41.0,234.0
28,,,104.0,234.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,235.0
29,,,135.0,328.0,household_agent_1,1001.0,41.0,household_agent_2,0.0,41.0,328.0
30,,,136.0,328.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,329.0
31,,,9.0,173.0,household_agent_2,1002.0,41.0,household_agent_3,0.0,41.0,173.0
32,,,10.0,173.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,173.0
33,,,41.0,175.0,household_agent_2,1002.0,41.0,household_agent_3,0.0,41.0,175.0
34,,,42.0,175.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,175.0
35,,,73.0,211.0,household_agent_2,1002.0,41.0,household_agent_3,0.0,41.0,211.0
36,,,74.0,211.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,211.0
37,,,105.0,234.0,household_agent_2,1002.0,41.0,household_agent_3,0.0,41.0,234.0
38,,,106.0,234.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,234.0
39,,,137.0,328.0,household_agent_2,1002.0,41.0,household_agent_3,0.0,41.0,328.0
40,,,138.0,328.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,328.0
41,,,11.0,173.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,173.0
42,,,12.0,173.0,household_agent_5,1005.0,41.0,household_agent_4,1.0,41.0,174.0
43,,,43.0,175.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,175.0
44,,,44.0,175.0,household_agent_5,1005.0,41.0,household_agent_4,1.0,41.0,176.0
45,,,75.0,211.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,211.0
46,,,76.0,211.0,household_agent_5,1005.0,41.0,household_agent_4,1.0,41.0,212.0
47,,,107.0,234.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,234.0
48,,,108.0,234.0,household_agent_5,1005.0,41.0,household_agent_4,1.0,41.0,235.0
49,,,139.0,328.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,328.0
50,,,140.0,328.0,household_agent_5,1005.0,41.0,household_agent_4,1.0,41.0,329.0
51,,,13.0,173.0,household_agent_4,1004.0,41.0,household_agent_5,1.0,41.0,174.0
52,,,14.0,173.0,household_agent_6,1006.0,41.0,household_agent_5,0.0,41.0,173.0
53,,,45.0,175.0,household_agent_4,1004.0,41.0,household_agent_5,1.0,41.0,176.0
54,,,46.0,175.0,household_agent_6,1006.0,41.0,household_agent_5,0.0,41.0,175.0
55,,,77.0,211.0,household_agent_4,1004.0,41.0,household_agent_5,1.0,41.0,212.0
56,,,78.0,211.0,household_agent_6,1006.0,41.0,household_agent_5,0.0,41.0,211.0
57,,,109.0,234.0,household_agent_4,1004.0,41.0,household_agent_5,1.0,41.0,235.0
58,,,110.0,234.0,household_agent_6,1006.0,41.0,household_agent_5,0.0,41.0,234.0
59,,,141.0,328.0,household_agent_4,1004.0,41.0,household_agent_5,1.0,41.0,329.0
60,,,142.0,328.0,household_agent_6,1006.0,41.0,household_agent_5,0.0,41.0,328.0
61,,,15.0,173.0,household_agent_5,1005.0,41.0,household_agent_6,0.0,41.0,173.0
62,,,16.0,173.0,household_agent_7,1007.0,41.0,household_agent_6,1.0,41.0,174.0
63,,,47.0,175.0,household_agent_5,1005.0,41.0,household_agent_6,0.0,41.0,175.0
64,,,48.0,175.0,household_agent_7,1007.0,41.0,household_agent_6,1.0,41.0,176.0
65,,,79.0,211.0,household_agent_5,1005.0,41.0,household_agent_6,0.0,41.0,211.0
66,,,80.0,211.0,household_agent_7,1007.0,41.0,household_agent_6,1.0,41.0,212.0
67,,,111.0,234.0,household_agent_5,1005.0,41.0,household_agent_6,0.0,41.0,234.0
68,,,112.0,234.0,household_agent_7,1007.0,41.0,household_agent_6,1.0,41.0,235.0
69,,,143.0,328.0,household_agent_5,1005.0,41.0,household_agent_6,0.0,41.0,328.0
70,,,144.0,328.0,household_agent_7,1007.0,41.0,household_agent_6,1.0,41.0,329.0
71,,,17.0,173.0,household_agent_6,1006.0,41.0,household_agent_7,1.0,41.0,174.0
72,,,18.0,173.0,household_agent_8,1008.0,41.0,household_agent_7,1.0,41.0,174.0
73,,,49.0,175.0,household_agent_6,1006.0,41.0,household_agent_7,1.0,41.0,176.0
74,,,50.0,175.0,household_agent_8,1008.0,41.0,household_agent_7,1.0,41.0,176.0
75,,,81.0,211.0,household_agent_6,1006.0,41.0,household_agent_7,1.0,41.0,212.0
76,,,82.0,211.0,household_agent_8,1008.0,41.0,household_agent_7,1.0,41.0,212.0
77,,,113.0,234.0,household_agent_6,1006.0,41.0,household_agent_7,1.0,41.0,235.0
78,,,114.0,234.0,household_agent_8,1008.0,41.0,household_agent_7,1.0,41.0,235.0
79,,,145.0,328.0,household_agent_6,1006.0,41.0,household_agent_7,1.0,41.0,329.0
80,,,146.0,328.0,household_agent_8,1008.0,41.0,household_agent_7,1.0,41.0,329.0
81,,,19.0,173.0,household_agent_7,1007.0,41.0,household_agent_8,0.0,41.0,173.0
82,,,20.0,173.0,household_agent_9,1009.0,41.0,household_agent_8,0.0,41.0,173.0
83,,,51.0,175.0,household_agent_7,1007.0,41.0,household_agent_8,0.0,41.0,175.0
84,,,52.0,175.0,household_agent_9,1009.0,41.0,household_agent_8,0.0,41.0,175.0
85,,,83.0,211.0,household_agent_7,1007.0,41.0,household_agent_8,0.0,41.0,211.0
86,,,84.0,211.0,household_agent_9,1009.0,41.0,household_agent_8,0.0,41.0,211.0
87,,,115.0,234.0,household_agent_7,1007.0,41.0,household_agent_8,0.0,41.0,234.0
88,,,116.0,234.0,household_agent_9,1009.0,41.0,household_agent_8,0.0,41.0,234.0
89,,,147.0,328.0,household_agent_7,1007.0,41.0,household_agent_8,0.0,41.0,328.0
90,,,148.0,328.0,household_agent_9,1009.0,41.0,household_agent_8,0.0,41.0,328.0
91,,,21.0,173.0,household_agent_8,1008.0,41.0,household_agent_9,0.0,41.0,173.0
92,,,22.0,173.0,household_agent_10,1010.0,41.0,household_agent_9,0.0,41.0,173.0
93,,,53.0,175.0,household_agent_8,1008.0,41.0,household_agent_9,0.0,41.0,175.0
94,,,54.0,175.0,household_agent_10,1010.0,41.0,household_agent_9,0.0,41.0,175.0
95,,,85.0,211.0,household_agent_8,1008.0,41.0,household_agent_9,0.0,41.0,211.0
96,,,86.0,211.0,household_agent_10,1010.0,41.0,household_agent_9,0.0,41.0,211.0
