,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-18 00:26:50.966603,,,,,,,,,
1,Simulation configuration ID,61d8b7a9-7a5b-44fe-b845-f95e06c7f93f,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,29.0,household_agent_1,668.0,household_agent_0,0.0,1.0,536.0,30.0
1,,,0.0,29.0,household_agent_1,668.0,household_agent_0,0.0,1.0,132.0,30.0
2,,,1.0,29.0,household_agent_0,790.0,household_agent_1,0.0,1.0,536.0,30.0
3,,,1.0,29.0,household_agent_0,790.0,household_agent_1,0.0,1.0,254.0,30.0
4,,,2.0,29.0,household_agent_2,742.0,household_agent_1,0.0,3.0,536.0,32.0
5,,,2.0,29.0,household_agent_2,742.0,household_agent_1,0.0,4.0,206.0,33.0
6,,,3.0,29.0,household_agent_1,378.0,household_agent_2,0.0,1.0,378.0,30.0
7,,,4.0,29.0,household_agent_3,420.0,household_agent_2,0.0,4.0,420.0,33.0
8,,,5.0,29.0,household_agent_2,330.0,household_agent_3,0.0,2.0,330.0,31.0
9,,,6.0,29.0,household_agent_4,803.0,household_agent_3,0.0,1.0,536.0,30.0
10,,,6.0,29.0,household_agent_4,803.0,household_agent_3,0.0,1.0,267.0,30.0
11,,,7.0,29.0,household_agent_3,777.0,household_agent_4,0.0,1.0,536.0,30.0
12,,,7.0,29.0,household_agent_3,777.0,household_agent_4,0.0,1.0,241.0,30.0
13,,,8.0,29.0,household_agent_5,279.0,household_agent_4,0.0,4.0,279.0,33.0
14,,,9.0,29.0,household_agent_4,877.0,household_agent_5,0.0,4.0,536.0,33.0
15,,,9.0,29.0,household_agent_4,877.0,household_agent_5,0.0,6.0,341.0,35.0
16,,,10.0,29.0,household_agent_6,772.0,household_agent_5,0.0,1.0,536.0,30.0
