,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 15:05:33.472658,,,,,,,,,
1,Simulation configuration ID,657860d8-36a2-4e96-9bcc-64e988a39e41,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,67.0,household_agent_9,31.0,household_agent_10,0.0,0.0,31.0,67.0
1,,,1.0,67.0,household_agent_11,43.0,household_agent_10,0.0,0.0,43.0,67.0
2,,,100900.0,282430.0,household_agent_10,31.0,household_agent_9,67.0,0.0,31.0,282430.0
3,,,101100.0,280329.0,household_agent_10,43.0,household_agent_11,67.0,0.0,43.0,280329.0
