,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 11:52:31.058289,,,,,,,,,
1,Simulation configuration ID,6ea277e7-ba8f-466e-b822-2b8ca3c0ebcb,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,64.0,9.0,household_agent_1,44.0,household_agent_0,0.0,5.0,44.0,14.0
1,,,65.0,9.0,household_agent_2,38.0,household_agent_0,0.0,6.0,38.0,15.0
2,,,66.0,9.0,household_agent_3,17.0,household_agent_0,0.0,6.0,17.0,15.0
3,,,67.0,9.0,household_agent_4,39.0,household_agent_0,0.0,6.0,39.0,15.0
4,,,68.0,9.0,household_agent_5,16.0,household_agent_0,0.0,6.0,16.0,15.0
5,,,69.0,9.0,household_agent_6,28.0,household_agent_0,0.0,6.0,28.0,15.0
6,,,70.0,9.0,household_agent_7,31.0,household_agent_0,0.0,6.0,31.0,15.0
7,,,71.0,9.0,household_agent_8,30.0,household_agent_0,0.0,5.0,30.0,14.0
8,,,72.0,9.0,household_agent_9,19.0,household_agent_0,0.0,6.0,19.0,15.0
9,,,73.0,9.0,household_agent_10,45.0,household_agent_0,0.0,6.0,45.0,15.0
10,,,74.0,9.0,household_agent_11,45.0,household_agent_0,0.0,6.0,45.0,15.0
11,,,75.0,9.0,household_agent_12,17.0,household_agent_0,0.0,6.0,17.0,15.0
12,,,76.0,9.0,generation_agent_0,47.0,household_agent_0,0.0,6.0,47.0,15.0
13,,,77.0,9.0,generation_agent_1,12.0,household_agent_0,0.0,6.0,12.0,15.0
14,,,78.0,9.0,generation_agent_2,16.0,household_agent_0,0.0,6.0,16.0,15.0
15,,,79.0,9.0,generation_agent_3,40.0,household_agent_0,0.0,6.0,40.0,15.0
16,,,100100.0,145900.0,household_agent_0,44.0,household_agent_1,14.0,0.0,44.0,145900.0
17,,,100200.0,192043.0,household_agent_0,38.0,household_agent_2,15.0,0.0,38.0,192043.0
18,,,100300.0,155693.0,household_agent_0,17.0,household_agent_3,15.0,0.0,17.0,155693.0
19,,,100400.0,34940.0,household_agent_0,39.0,household_agent_4,15.0,0.0,39.0,34940.0
20,,,100500.0,31370.0,household_agent_0,16.0,household_agent_5,15.0,0.0,16.0,31370.0
21,,,100600.0,39256.0,household_agent_0,28.0,household_agent_6,15.0,0.0,28.0,39256.0
22,,,100700.0,121703.0,household_agent_0,31.0,household_agent_7,15.0,0.0,31.0,121703.0
23,,,100800.0,225922.0,household_agent_0,30.0,household_agent_8,14.0,0.0,30.0,225922.0
24,,,100900.0,211817.0,household_agent_0,19.0,household_agent_9,15.0,0.0,19.0,211817.0
25,,,101000.0,271827.0,household_agent_0,45.0,household_agent_10,15.0,0.0,45.0,271827.0
26,,,101100.0,48886.0,household_agent_0,45.0,household_agent_11,15.0,0.0,45.0,48886.0
27,,,101200.0,111611.0,household_agent_0,17.0,household_agent_12,15.0,0.0,17.0,111611.0
28,,,101300.0,94310.0,household_agent_0,47.0,generation_agent_0,15.0,0.0,47.0,94310.0
29,,,101400.0,136220.0,household_agent_0,12.0,generation_agent_1,15.0,0.0,12.0,136220.0
30,,,101500.0,110016.0,household_agent_0,16.0,generation_agent_2,15.0,0.0,16.0,110016.0
31,,,101600.0,228764.0,household_agent_0,40.0,generation_agent_3,15.0,0.0,40.0,228764.0
