,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 04:34:47.814877,,,,,,,,,
1,Simulation configuration ID,71eb4146-5cb7-411b-b9c0-c93b951c64c2,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 25 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,91.0,household_agent_1,17.0,household_agent_0,0.0,0.0,17.0,91.0
1,,,1.0,101.0,household_agent_8,27.0,household_agent_0,0.0,0.0,27.0,101.0
2,,,34.0,1247.0,household_agent_1,25.0,household_agent_0,0.0,0.0,25.0,1247.0
3,,,35.0,1181.0,household_agent_8,11.0,household_agent_0,0.0,0.0,11.0,1181.0
4,,,68.0,2335.0,household_agent_1,8.0,household_agent_0,0.0,0.0,8.0,2335.0
5,,,69.0,2325.0,household_agent_8,43.0,household_agent_0,0.0,0.0,43.0,2325.0
6,,,102.0,3398.0,household_agent_1,28.0,household_agent_0,0.0,0.0,28.0,3398.0
7,,,103.0,3443.0,household_agent_8,16.0,household_agent_0,0.0,0.0,16.0,3443.0
8,,,136.0,4504.0,household_agent_1,43.0,household_agent_0,0.0,0.0,43.0,4504.0
9,,,137.0,4534.0,household_agent_8,48.0,household_agent_0,0.0,0.0,48.0,4534.0
10,,,2.0,54.0,household_agent_0,24.0,household_agent_1,0.0,0.0,24.0,54.0
11,,,3.0,88.0,household_agent_2,32.0,household_agent_1,0.0,0.0,32.0,88.0
12,,,36.0,1211.0,household_agent_0,32.0,household_agent_1,0.0,0.0,32.0,1211.0
13,,,37.0,1161.0,household_agent_2,28.0,household_agent_1,0.0,0.0,28.0,1161.0
14,,,70.0,2263.0,household_agent_0,35.0,household_agent_1,0.0,0.0,35.0,2263.0
15,,,71.0,2275.0,household_agent_2,42.0,household_agent_1,0.0,0.0,42.0,2275.0
16,,,104.0,3357.0,household_agent_0,20.0,household_agent_1,0.0,0.0,20.0,3357.0
17,,,105.0,3354.0,household_agent_2,12.0,household_agent_1,0.0,0.0,12.0,3354.0
18,,,138.0,4490.0,household_agent_0,44.0,household_agent_1,0.0,0.0,44.0,4490.0
19,,,139.0,4488.0,household_agent_2,29.0,household_agent_1,0.0,0.0,29.0,4488.0
20,,,4.0,77.0,household_agent_1,48.0,household_agent_2,0.0,0.0,48.0,77.0
21,,,5.0,113.0,household_agent_3,26.0,household_agent_2,0.0,0.0,26.0,113.0
22,,,38.0,1178.0,household_agent_1,22.0,household_agent_2,0.0,0.0,22.0,1178.0
23,,,39.0,1231.0,household_agent_3,17.0,household_agent_2,0.0,0.0,17.0,1231.0
24,,,72.0,2268.0,household_agent_1,15.0,household_agent_2,0.0,0.0,15.0,2268.0
25,,,73.0,2291.0,household_agent_3,40.0,household_agent_2,0.0,0.0,40.0,2291.0
26,,,106.0,3404.0,household_agent_1,34.0,household_agent_2,0.0,0.0,34.0,3404.0
27,,,107.0,3369.0,household_agent_3,35.0,household_agent_2,0.0,0.0,35.0,3369.0
28,,,140.0,4489.0,household_agent_1,11.0,household_agent_2,0.0,0.0,11.0,4489.0
29,,,141.0,4485.0,household_agent_3,41.0,household_agent_2,0.0,0.0,41.0,4485.0
30,,,6.0,68.0,household_agent_2,27.0,household_agent_3,0.0,0.0,27.0,68.0
31,,,7.0,123.0,household_agent_4,21.0,household_agent_3,0.0,0.0,21.0,123.0
32,,,8.0,101.0,household_agent_11,22.0,household_agent_3,0.0,0.0,22.0,101.0
33,,,9.0,101.0,household_agent_5,12.0,household_agent_3,0.0,0.0,12.0,101.0
34,,,40.0,1152.0,household_agent_2,43.0,household_agent_3,0.0,0.0,43.0,1152.0
35,,,41.0,1235.0,household_agent_4,13.0,household_agent_3,0.0,0.0,13.0,1235.0
36,,,42.0,1240.0,household_agent_11,25.0,household_agent_3,0.0,0.0,25.0,1240.0
37,,,43.0,1178.0,household_agent_5,11.0,household_agent_3,0.0,0.0,11.0,1178.0
38,,,74.0,2301.0,household_agent_2,16.0,household_agent_3,0.0,0.0,16.0,2301.0
39,,,75.0,2296.0,household_agent_4,30.0,household_agent_3,0.0,0.0,30.0,2296.0
40,,,76.0,2264.0,household_agent_11,21.0,household_agent_3,0.0,0.0,21.0,2264.0
41,,,77.0,2276.0,household_agent_5,20.0,household_agent_3,0.0,0.0,20.0,2276.0
42,,,108.0,3379.0,household_agent_2,26.0,household_agent_3,0.0,0.0,26.0,3379.0
