,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 20:14:18.690299,,,,,,,,,
1,Simulation configuration ID,7aecfe2e-4699-4ad5-9aa2-9ad8b4089b35,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 25 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,84.0,aggregator_agent,1017.0,191.0,control_center_agent,0.0,191.0,84.0
1,,,1.0,253.0,household_agent_1,1001.0,191.0,aggregator_agent,1.0,191.0,254.0
2,,,246.0,265.0,control_center_agent,1018.0,191.0,aggregator_agent,0.0,191.0,265.0
3,,,8.0,221.0,household_agent_1,1001.0,191.0,household_agent_0,0.0,191.0,221.0
4,,,9.0,221.0,household_agent_10,1010.0,191.0,household_agent_0,1.0,191.0,222.0
5,,,10.0,221.0,generation_agent_2,1015.0,191.0,household_agent_0,1.0,191.0,222.0
6,,,11.0,221.0,generation_agent_3,1016.0,191.0,household_agent_0,3.0,191.0,224.0
7,,,56.0,274.0,household_agent_1,1001.0,191.0,household_agent_0,0.0,191.0,274.0
8,,,57.0,274.0,household_agent_10,1010.0,191.0,household_agent_0,1.0,191.0,275.0
9,,,58.0,274.0,generation_agent_2,1015.0,191.0,household_agent_0,1.0,191.0,275.0
10,,,59.0,274.0,generation_agent_3,1016.0,191.0,household_agent_0,3.0,191.0,277.0
11,,,104.0,320.0,household_agent_1,1001.0,191.0,household_agent_0,0.0,191.0,320.0
12,,,105.0,320.0,household_agent_10,1010.0,191.0,household_agent_0,1.0,191.0,321.0
13,,,106.0,320.0,generation_agent_2,1015.0,191.0,household_agent_0,1.0,191.0,321.0
14,,,107.0,320.0,generation_agent_3,1016.0,191.0,household_agent_0,3.0,191.0,323.0
15,,,152.0,323.0,household_agent_1,1001.0,191.0,household_agent_0,0.0,191.0,323.0
16,,,153.0,323.0,household_agent_10,1010.0,191.0,household_agent_0,1.0,191.0,324.0
17,,,154.0,323.0,generation_agent_2,1015.0,191.0,household_agent_0,1.0,191.0,324.0
18,,,155.0,323.0,generation_agent_3,1016.0,191.0,household_agent_0,3.0,191.0,326.0
19,,,200.0,339.0,household_agent_1,1001.0,191.0,household_agent_0,0.0,191.0,339.0
20,,,201.0,339.0,household_agent_10,1010.0,191.0,household_agent_0,1.0,191.0,340.0
21,,,202.0,339.0,generation_agent_2,1015.0,191.0,household_agent_0,1.0,191.0,340.0
22,,,203.0,339.0,generation_agent_3,1016.0,191.0,household_agent_0,3.0,191.0,342.0
23,,,2.0,237.0,household_agent_0,1000.0,191.0,household_agent_1,0.0,191.0,237.0
24,,,3.0,237.0,household_agent_2,1002.0,191.0,household_agent_1,1.0,191.0,238.0
25,,,4.0,237.0,household_agent_8,1008.0,191.0,household_agent_1,0.0,191.0,237.0
26,,,5.0,221.0,household_agent_0,1000.0,191.0,household_agent_1,0.0,191.0,221.0
27,,,6.0,221.0,household_agent_2,1002.0,191.0,household_agent_1,2.0,191.0,223.0
28,,,7.0,221.0,household_agent_8,1008.0,191.0,household_agent_1,0.0,191.0,221.0
29,,,53.0,274.0,household_agent_0,1000.0,191.0,household_agent_1,0.0,191.0,274.0
30,,,54.0,274.0,household_agent_2,1002.0,191.0,household_agent_1,2.0,191.0,276.0
31,,,55.0,274.0,household_agent_8,1008.0,191.0,household_agent_1,0.0,191.0,274.0
32,,,101.0,320.0,household_agent_0,1000.0,191.0,household_agent_1,0.0,191.0,320.0
33,,,102.0,320.0,household_agent_2,1002.0,191.0,household_agent_1,2.0,191.0,322.0
34,,,103.0,320.0,household_agent_8,1008.0,191.0,household_agent_1,0.0,191.0,320.0
35,,,149.0,323.0,household_agent_0,1000.0,191.0,household_agent_1,0.0,191.0,323.0
36,,,150.0,323.0,household_agent_2,1002.0,191.0,household_agent_1,2.0,191.0,325.0
37,,,151.0,323.0,household_agent_8,1008.0,191.0,household_agent_1,0.0,191.0,323.0
38,,,197.0,339.0,household_agent_0,1000.0,191.0,household_agent_1,0.0,191.0,339.0
39,,,198.0,339.0,household_agent_2,1002.0,191.0,household_agent_1,2.0,191.0,341.0
40,,,199.0,339.0,household_agent_8,1008.0,191.0,household_agent_1,0.0,191.0,339.0
41,,,245.0,175.0,aggregator_agent,1017.0,191.0,household_agent_1,1.0,191.0,176.0
42,,,12.0,221.0,household_agent_1,1001.0,191.0,household_agent_2,1.0,191.0,222.0
43,,,13.0,221.0,household_agent_3,1003.0,191.0,household_agent_2,2.0,191.0,223.0
44,,,14.0,221.0,household_agent_8,1008.0,191.0,household_agent_2,2.0,191.0,223.0
45,,,60.0,274.0,household_agent_1,1001.0,191.0,household_agent_2,1.0,191.0,275.0
46,,,61.0,274.0,household_agent_3,1003.0,191.0,household_agent_2,2.0,191.0,276.0
47,,,62.0,274.0,household_agent_8,1008.0,191.0,household_agent_2,2.0,191.0,276.0
48,,,108.0,320.0,household_agent_1,1001.0,191.0,household_agent_2,1.0,191.0,321.0
49,,,109.0,320.0,household_agent_3,1003.0,191.0,household_agent_2,2.0,191.0,322.0
50,,,110.0,320.0,household_agent_8,1008.0,191.0,household_agent_2,2.0,191.0,322.0
51,,,156.0,323.0,household_agent_1,1001.0,191.0,household_agent_2,2.0,191.0,325.0
52,,,157.0,323.0,household_agent_3,1003.0,191.0,household_agent_2,2.0,191.0,325.0
53,,,158.0,323.0,household_agent_8,1008.0,191.0,household_agent_2,3.0,191.0,326.0
54,,,204.0,339.0,household_agent_1,1001.0,191.0,household_agent_2,1.0,191.0,340.0
55,,,205.0,339.0,household_agent_3,1003.0,191.0,household_agent_2,2.0,191.0,341.0
56,,,206.0,339.0,household_agent_8,1008.0,191.0,household_agent_2,2.0,191.0,341.0
57,,,28.0,221.0,household_agent_2,1002.0,191.0,household_agent_3,2.0,191.0,223.0
58,,,29.0,221.0,household_agent_4,1004.0,191.0,household_agent_3,0.0,191.0,221.0
59,,,76.0,274.0,household_agent_2,1002.0,191.0,household_agent_3,2.0,191.0,276.0
60,,,77.0,274.0,household_agent_4,1004.0,191.0,household_agent_3,0.0,191.0,274.0
61,,,124.0,320.0,household_agent_2,1002.0,191.0,household_agent_3,2.0,191.0,322.0
62,,,125.0,320.0,household_agent_4,1004.0,191.0,household_agent_3,0.0,191.0,320.0
63,,,172.0,323.0,household_agent_2,1002.0,191.0,household_agent_3,1.0,191.0,324.0
64,,,173.0,323.0,household_agent_4,1004.0,191.0,household_agent_3,0.0,191.0,323.0
65,,,220.0,339.0,household_agent_2,1002.0,191.0,household_agent_3,2.0,191.0,341.0
66,,,221.0,339.0,household_agent_4,1004.0,191.0,household_agent_3,0.0,191.0,339.0
67,,,37.0,221.0,household_agent_3,1003.0,191.0,household_agent_4,0.0,191.0,221.0
68,,,38.0,221.0,household_agent_5,1005.0,191.0,household_agent_4,2.0,191.0,223.0
69,,,39.0,221.0,household_agent_10,1010.0,191.0,household_agent_4,3.0,191.0,224.0
70,,,40.0,221.0,household_agent_11,1011.0,191.0,household_agent_4,0.0,191.0,221.0
71,,,85.0,274.0,household_agent_3,1003.0,191.0,household_agent_4,0.0,191.0,274.0
72,,,86.0,274.0,household_agent_5,1005.0,191.0,household_agent_4,2.0,191.0,276.0
73,,,87.0,274.0,household_agent_10,1010.0,191.0,household_agent_4,3.0,191.0,277.0
74,,,88.0,274.0,household_agent_11,1011.0,191.0,household_agent_4,0.0,191.0,274.0
75,,,133.0,320.0,household_agent_3,1003.0,191.0,household_agent_4,0.0,191.0,320.0
76,,,134.0,320.0,household_agent_5,1005.0,191.0,household_agent_4,2.0,191.0,322.0
77,,,135.0,320.0,household_agent_10,1010.0,191.0,household_agent_4,3.0,191.0,323.0
78,,,136.0,320.0,household_agent_11,1011.0,191.0,household_agent_4,0.0,191.0,320.0
79,,,181.0,323.0,household_agent_3,1003.0,191.0,household_agent_4,0.0,191.0,323.0
80,,,182.0,323.0,household_agent_5,1005.0,191.0,household_agent_4,3.0,191.0,326.0
81,,,183.0,323.0,household_agent_10,1010.0,191.0,household_agent_4,3.0,191.0,326.0
82,,,184.0,323.0,household_agent_11,1011.0,191.0,household_agent_4,0.0,191.0,323.0
83,,,229.0,339.0,household_agent_3,1003.0,191.0,household_agent_4,0.0,191.0,339.0
84,,,230.0,339.0,household_agent_5,1005.0,191.0,household_agent_4,2.0,191.0,341.0
85,,,231.0,339.0,household_agent_10,1010.0,191.0,household_agent_4,3.0,191.0,342.0
86,,,232.0,339.0,household_agent_11,1011.0,191.0,household_agent_4,0.0,191.0,339.0
87,,,49.0,221.0,household_agent_4,1004.0,191.0,household_agent_5,2.0,191.0,223.0
88,,,50.0,221.0,household_agent_6,1006.0,191.0,household_agent_5,0.0,191.0,221.0
89,,,97.0,274.0,household_agent_4,1004.0,191.0,household_agent_5,2.0,191.0,276.0
90,,,98.0,274.0,household_agent_6,1006.0,191.0,household_agent_5,0.0,191.0,274.0
91,,,145.0,320.0,household_agent_4,1004.0,191.0,household_agent_5,2.0,191.0,322.0
92,,,146.0,320.0,household_agent_6,1006.0,191.0,household_agent_5,0.0,191.0,320.0
93,,,193.0,323.0,household_agent_4,1004.0,191.0,household_agent_5,3.0,191.0,326.0
94,,,194.0,323.0,household_agent_6,1006.0,191.0,household_agent_5,0.0,191.0,323.0
95,,,241.0,339.0,household_agent_4,1004.0,191.0,household_agent_5,2.0,191.0,341.0
96,,,242.0,339.0,household_agent_6,1006.0,191.0,household_agent_5,0.0,191.0,339.0
97,,,44.0,221.0,household_agent_5,1005.0,191.0,household_agent_6,0.0,191.0,221.0
98,,,45.0,221.0,household_agent_7,1007.0,191.0,household_agent_6,1.0,191.0,222.0
99,,,92.0,274.0,household_agent_5,1005.0,191.0,household_agent_6,0.0,191.0,274.0
100,,,93.0,274.0,household_agent_7,1007.0,191.0,household_agent_6,1.0,191.0,275.0
101,,,140.0,320.0,household_agent_5,1005.0,191.0,household_agent_6,0.0,191.0,320.0
