,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 04:50:29.520247,,,,,,,,,
1,Simulation configuration ID,823a8bcb-40ef-4916-b4c2-0a1ab140f262,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,64.0,aggregator_agent,853.0,market_agent,0.0,1.0,536.0,65.0
1,,,0.0,64.0,aggregator_agent,853.0,market_agent,0.0,2.0,317.0,66.0
2,,,1.0,41.0,aggregator_agent,250.0,grid_operator_agent,0.0,0.0,250.0,41.0
3,,,2.0,103.0,aggregator_agent,719.0,household_agent_0,0.0,2.0,536.0,105.0
4,,,2.0,103.0,aggregator_agent,719.0,household_agent_0,0.0,3.0,183.0,106.0
5,,,3.0,129.0,aggregator_agent,528.0,household_agent_1,0.0,2.0,528.0,131.0
6,,,4.0,164.0,aggregator_agent,848.0,household_agent_2,0.0,1.0,536.0,165.0
7,,,4.0,164.0,aggregator_agent,848.0,household_agent_2,0.0,1.0,312.0,165.0
8,,,5.0,152.0,aggregator_agent,777.0,household_agent_3,0.0,2.0,536.0,154.0
9,,,5.0,152.0,aggregator_agent,777.0,household_agent_3,0.0,3.0,241.0,155.0
10,,,6.0,136.0,aggregator_agent,528.0,household_agent_4,0.0,2.0,528.0,138.0
11,,,7.0,66.0,aggregator_agent,740.0,household_agent_5,0.0,1.0,536.0,67.0
12,,,7.0,66.0,aggregator_agent,740.0,household_agent_5,0.0,1.0,204.0,67.0
13,,,8.0,147.0,aggregator_agent,613.0,household_agent_6,0.0,1.0,536.0,148.0
14,,,8.0,147.0,aggregator_agent,613.0,household_agent_6,0.0,1.0,77.0,148.0
15,,,9.0,75.0,aggregator_agent,314.0,household_agent_7,0.0,1.0,314.0,76.0
16,,,10.0,123.0,aggregator_agent,952.0,household_agent_8,0.0,3.0,536.0,126.0
17,,,10.0,123.0,aggregator_agent,952.0,household_agent_8,0.0,4.0,416.0,127.0
18,,,11.0,122.0,aggregator_agent,606.0,household_agent_9,0.0,2.0,536.0,124.0
19,,,11.0,122.0,aggregator_agent,606.0,household_agent_9,0.0,2.0,70.0,124.0
20,,,12.0,149.0,aggregator_agent,787.0,household_agent_10,0.0,2.0,536.0,151.0
21,,,12.0,149.0,aggregator_agent,787.0,household_agent_10,0.0,3.0,251.0,152.0
22,,,13.0,149.0,aggregator_agent,280.0,household_agent_11,0.0,1.0,280.0,150.0
23,,,14.0,88.0,aggregator_agent,749.0,household_agent_12,0.0,1.0,536.0,89.0
24,,,14.0,88.0,aggregator_agent,749.0,household_agent_12,0.0,1.0,213.0,89.0
25,,,101701.0,1740.0,household_agent_5,740.0,aggregator_agent,67.0,1.0,536.0,1741.0
26,,,101701.0,1740.0,household_agent_5,740.0,aggregator_agent,67.0,1.0,204.0,1741.0
27,,,101702.0,7381.0,household_agent_7,314.0,aggregator_agent,76.0,1.0,314.0,7382.0
28,,,101704.0,9792.0,household_agent_12,749.0,aggregator_agent,89.0,1.0,536.0,9793.0
29,,,101704.0,9792.0,household_agent_12,749.0,aggregator_agent,89.0,1.0,213.0,9793.0
30,,,101705.0,26602.0,household_agent_0,719.0,aggregator_agent,105.0,2.0,536.0,26604.0
