,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 08:46:48.681455,,,,,,,,,
1,Simulation configuration ID,8a10df11-ea59-457e-9a69-bcebeeb12b22,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 17 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,3.0,98.0,generation_agent_2,167.0,generation_agent_1,0.0,1.0,134.0,5.0
1,,,4.0,98.0,generation_agent_0,82.0,generation_agent_1,0.0,1.0,70.0,5.0
2,,,5.0,98.0,generation_agent_2,151.0,generation_agent_1,0.0,1.0,70.0,5.0
3,,,6.0,98.0,generation_agent_0,163.0,generation_agent_1,0.0,1.0,68.0,5.0
4,,,7.0,98.0,generation_agent_2,56.0,generation_agent_1,0.0,1.0,95.0,5.0
5,,,8.0,98.0,generation_agent_0,149.0,generation_agent_1,0.0,1.0,149.0,99.0
6,,,9.0,98.0,generation_agent_2,178.0,generation_agent_1,0.0,1.0,178.0,99.0
7,,,101301.0,196.0,generation_agent_1,149.0,generation_agent_0,99.0,0.0,149.0,196.0
8,,,101501.0,148.0,generation_agent_1,178.0,generation_agent_2,99.0,0.0,178.0,148.0
