,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 22:11:24.975466,,,,,,,,,
1,Simulation configuration ID,8cf336d6-95dc-4a74-b3a4-7f020fc4b6e8,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,36.0,aggregator_agent,16.0,market_agent,0.0,0.0,16.0,36.0
1,,,36.0,900244.0,aggregator_agent,48.0,market_agent,0.0,0.0,48.0,900244.0
2,,,72.0,1800400.0,aggregator_agent,49.0,market_agent,0.0,0.0,49.0,1800400.0
3,,,108.0,2700608.0,aggregator_agent,19.0,market_agent,0.0,0.0,19.0,2700608.0
4,,,1.0,125.0,household_agent_0,25.0,aggregator_agent,0.0,1.0,25.0,126.0
5,,,2.0,125.0,household_agent_1,50.0,aggregator_agent,0.0,1.0,50.0,126.0
6,,,3.0,125.0,household_agent_2,49.0,aggregator_agent,0.0,0.0,49.0,125.0
7,,,4.0,125.0,household_agent_3,32.0,aggregator_agent,0.0,1.0,32.0,126.0
8,,,5.0,125.0,household_agent_4,17.0,aggregator_agent,0.0,1.0,17.0,126.0
9,,,6.0,125.0,household_agent_5,17.0,aggregator_agent,0.0,1.0,17.0,126.0
10,,,7.0,125.0,household_agent_6,38.0,aggregator_agent,0.0,1.0,38.0,126.0
11,,,8.0,125.0,household_agent_7,18.0,aggregator_agent,0.0,1.0,18.0,126.0
12,,,9.0,125.0,household_agent_8,35.0,aggregator_agent,0.0,1.0,35.0,126.0
13,,,10.0,125.0,household_agent_9,20.0,aggregator_agent,0.0,1.0,20.0,126.0
14,,,11.0,125.0,household_agent_10,42.0,aggregator_agent,0.0,2.0,42.0,127.0
15,,,12.0,125.0,household_agent_11,21.0,aggregator_agent,0.0,2.0,21.0,127.0
16,,,13.0,125.0,household_agent_12,8.0,aggregator_agent,0.0,1.0,8.0,126.0
17,,,14.0,125.0,generation_agent_0,10.0,aggregator_agent,0.0,2.0,10.0,127.0
18,,,15.0,125.0,generation_agent_1,18.0,aggregator_agent,0.0,2.0,18.0,127.0
19,,,16.0,125.0,generation_agent_2,16.0,aggregator_agent,0.0,2.0,16.0,127.0
20,,,17.0,125.0,generation_agent_3,26.0,aggregator_agent,0.0,2.0,26.0,127.0
21,,,18.0,152.0,household_agent_0,45.0,aggregator_agent,0.0,1.0,45.0,153.0
22,,,19.0,152.0,household_agent_1,13.0,aggregator_agent,0.0,1.0,13.0,153.0
23,,,20.0,152.0,household_agent_2,43.0,aggregator_agent,0.0,0.0,43.0,152.0
24,,,21.0,152.0,household_agent_3,41.0,aggregator_agent,0.0,1.0,41.0,153.0
25,,,22.0,152.0,household_agent_4,45.0,aggregator_agent,0.0,1.0,45.0,153.0
26,,,23.0,152.0,household_agent_5,42.0,aggregator_agent,0.0,1.0,42.0,153.0
27,,,24.0,152.0,household_agent_6,17.0,aggregator_agent,0.0,1.0,17.0,153.0
28,,,25.0,152.0,household_agent_7,38.0,aggregator_agent,0.0,1.0,38.0,153.0
29,,,26.0,152.0,household_agent_8,44.0,aggregator_agent,0.0,1.0,44.0,153.0
30,,,27.0,152.0,household_agent_9,37.0,aggregator_agent,0.0,2.0,37.0,154.0
31,,,28.0,152.0,household_agent_10,47.0,aggregator_agent,0.0,2.0,47.0,154.0
32,,,29.0,152.0,household_agent_11,47.0,aggregator_agent,0.0,2.0,47.0,154.0
33,,,30.0,152.0,household_agent_12,29.0,aggregator_agent,0.0,1.0,29.0,153.0
34,,,31.0,152.0,generation_agent_0,37.0,aggregator_agent,0.0,2.0,37.0,154.0
35,,,32.0,152.0,generation_agent_1,44.0,aggregator_agent,0.0,2.0,44.0,154.0
36,,,33.0,152.0,generation_agent_2,26.0,aggregator_agent,0.0,2.0,26.0,154.0
37,,,34.0,152.0,generation_agent_3,13.0,aggregator_agent,0.0,2.0,13.0,154.0
38,,,35.0,244.0,market_agent,37.0,aggregator_agent,0.0,0.0,37.0,244.0
39,,,37.0,900318.0,household_agent_0,8.0,aggregator_agent,0.0,0.0,8.0,900318.0
40,,,38.0,900318.0,household_agent_1,18.0,aggregator_agent,0.0,1.0,18.0,900319.0
41,,,39.0,900318.0,household_agent_2,8.0,aggregator_agent,0.0,0.0,8.0,900318.0
42,,,40.0,900318.0,household_agent_3,28.0,aggregator_agent,0.0,1.0,28.0,900319.0
43,,,41.0,900318.0,household_agent_4,25.0,aggregator_agent,0.0,1.0,25.0,900319.0
44,,,42.0,900318.0,household_agent_5,22.0,aggregator_agent,0.0,1.0,22.0,900319.0
45,,,43.0,900318.0,household_agent_6,12.0,aggregator_agent,0.0,1.0,12.0,900319.0
46,,,44.0,900318.0,household_agent_7,41.0,aggregator_agent,0.0,1.0,41.0,900319.0
47,,,45.0,900318.0,household_agent_8,32.0,aggregator_agent,0.0,1.0,32.0,900319.0
48,,,46.0,900318.0,household_agent_9,46.0,aggregator_agent,0.0,1.0,46.0,900319.0
49,,,47.0,900318.0,household_agent_10,37.0,aggregator_agent,0.0,2.0,37.0,900320.0
50,,,48.0,900318.0,household_agent_11,50.0,aggregator_agent,0.0,2.0,50.0,900320.0
51,,,49.0,900318.0,household_agent_12,35.0,aggregator_agent,0.0,1.0,35.0,900319.0
52,,,50.0,900318.0,generation_agent_0,29.0,aggregator_agent,0.0,2.0,29.0,900320.0
53,,,51.0,900318.0,generation_agent_1,21.0,aggregator_agent,0.0,2.0,21.0,900320.0
54,,,52.0,900318.0,generation_agent_2,28.0,aggregator_agent,0.0,2.0,28.0,900320.0
55,,,53.0,900318.0,generation_agent_3,34.0,aggregator_agent,0.0,2.0,34.0,900320.0
56,,,54.0,900351.0,household_agent_0,40.0,aggregator_agent,0.0,1.0,40.0,900352.0
57,,,55.0,900351.0,household_agent_1,40.0,aggregator_agent,0.0,1.0,40.0,900352.0
58,,,56.0,900351.0,household_agent_2,45.0,aggregator_agent,0.0,0.0,45.0,900351.0
59,,,57.0,900351.0,household_agent_3,37.0,aggregator_agent,0.0,1.0,37.0,900352.0
60,,,58.0,900351.0,household_agent_4,24.0,aggregator_agent,0.0,1.0,24.0,900352.0
61,,,59.0,900351.0,household_agent_5,16.0,aggregator_agent,0.0,1.0,16.0,900352.0
62,,,60.0,900351.0,household_agent_6,8.0,aggregator_agent,0.0,1.0,8.0,900352.0
63,,,61.0,900351.0,household_agent_7,39.0,aggregator_agent,0.0,1.0,39.0,900352.0
64,,,62.0,900351.0,household_agent_8,41.0,aggregator_agent,0.0,1.0,41.0,900352.0
65,,,63.0,900351.0,household_agent_9,35.0,aggregator_agent,0.0,2.0,35.0,900353.0
66,,,64.0,900351.0,household_agent_10,14.0,aggregator_agent,0.0,2.0,14.0,900353.0
67,,,65.0,900351.0,household_agent_11,12.0,aggregator_agent,0.0,2.0,12.0,900353.0
68,,,66.0,900351.0,household_agent_12,46.0,aggregator_agent,0.0,1.0,46.0,900352.0
69,,,67.0,900351.0,generation_agent_0,25.0,aggregator_agent,0.0,2.0,25.0,900353.0
70,,,68.0,900351.0,generation_agent_1,33.0,aggregator_agent,0.0,2.0,33.0,900353.0
71,,,69.0,900351.0,generation_agent_2,9.0,aggregator_agent,0.0,2.0,9.0,900353.0
72,,,70.0,900351.0,generation_agent_3,9.0,aggregator_agent,0.0,2.0,9.0,900353.0
73,,,71.0,900400.0,market_agent,41.0,aggregator_agent,0.0,0.0,41.0,900400.0
74,,,73.0,1800494.0,household_agent_0,25.0,aggregator_agent,0.0,1.0,25.0,1800495.0
75,,,74.0,1800494.0,household_agent_1,25.0,aggregator_agent,0.0,1.0,25.0,1800495.0
76,,,75.0,1800494.0,household_agent_2,8.0,aggregator_agent,0.0,0.0,8.0,1800494.0
77,,,76.0,1800494.0,household_agent_3,41.0,aggregator_agent,0.0,1.0,41.0,1800495.0
78,,,77.0,1800494.0,household_agent_4,24.0,aggregator_agent,0.0,1.0,24.0,1800495.0
79,,,78.0,1800494.0,household_agent_5,35.0,aggregator_agent,0.0,1.0,35.0,1800495.0
80,,,79.0,1800494.0,household_agent_6,14.0,aggregator_agent,0.0,1.0,14.0,1800495.0
81,,,80.0,1800494.0,household_agent_7,41.0,aggregator_agent,0.0,1.0,41.0,1800495.0
82,,,81.0,1800494.0,household_agent_8,32.0,aggregator_agent,0.0,1.0,32.0,1800495.0
83,,,82.0,1800494.0,household_agent_9,33.0,aggregator_agent,0.0,1.0,33.0,1800495.0
84,,,83.0,1800494.0,household_agent_10,20.0,aggregator_agent,0.0,2.0,20.0,1800496.0
85,,,84.0,1800494.0,household_agent_11,38.0,aggregator_agent,0.0,2.0,38.0,1800496.0
86,,,85.0,1800494.0,household_agent_12,24.0,aggregator_agent,0.0,1.0,24.0,1800495.0
87,,,86.0,1800494.0,generation_agent_0,27.0,aggregator_agent,0.0,2.0,27.0,1800496.0
88,,,87.0,1800494.0,generation_agent_1,8.0,aggregator_agent,0.0,2.0,8.0,1800496.0
89,,,88.0,1800494.0,generation_agent_2,18.0,aggregator_agent,0.0,2.0,18.0,1800496.0
90,,,89.0,1800494.0,generation_agent_3,24.0,aggregator_agent,0.0,2.0,24.0,1800496.0
91,,,90.0,1800535.0,household_agent_0,10.0,aggregator_agent,0.0,0.0,10.0,1800535.0
92,,,91.0,1800535.0,household_agent_1,43.0,aggregator_agent,0.0,1.0,43.0,1800536.0
93,,,92.0,1800535.0,household_agent_2,10.0,aggregator_agent,0.0,0.0,10.0,1800535.0
94,,,93.0,1800535.0,household_agent_3,10.0,aggregator_agent,0.0,1.0,10.0,1800536.0
95,,,94.0,1800535.0,household_agent_4,49.0,aggregator_agent,0.0,1.0,49.0,1800536.0
96,,,95.0,1800535.0,household_agent_5,28.0,aggregator_agent,0.0,1.0,28.0,1800536.0
97,,,96.0,1800535.0,household_agent_6,12.0,aggregator_agent,0.0,1.0,12.0,1800536.0
98,,,97.0,1800535.0,household_agent_7,23.0,aggregator_agent,0.0,1.0,23.0,1800536.0
99,,,98.0,1800535.0,household_agent_8,15.0,aggregator_agent,0.0,1.0,15.0,1800536.0
100,,,99.0,1800535.0,household_agent_9,39.0,aggregator_agent,0.0,1.0,39.0,1800536.0
101,,,100.0,1800535.0,household_agent_10,39.0,aggregator_agent,0.0,2.0,39.0,1800537.0
102,,,101.0,1800535.0,household_agent_11,38.0,aggregator_agent,0.0,2.0,38.0,1800537.0
103,,,102.0,1800535.0,household_agent_12,30.0,aggregator_agent,0.0,1.0,30.0,1800536.0
