,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 17:19:01.793438,,,,,,,,,
1,Simulation configuration ID,9d85f146-10be-479b-8e58-b892361f4c4f,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 22 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,19.0,aggregator_agent,1017.0,191.0,control_center_agent,0.0,191.0,19.0
1,,,1.0,172.0,generation_agent_0,1013.0,191.0,aggregator_agent,1.0,191.0,173.0
2,,,1836.0,629.0,control_center_agent,1018.0,191.0,aggregator_agent,5.0,191.0,634.0
3,,,28.0,183.0,household_agent_4,1004.0,191.0,household_agent_2,3.0,191.0,186.0
4,,,28.0,183.0,household_agent_4,1004.0,191.0,household_agent_2,0.0,191.0,131.0
5,,,29.0,183.0,household_agent_5,1005.0,191.0,household_agent_2,1.0,191.0,184.0
6,,,29.0,183.0,household_agent_5,1005.0,191.0,household_agent_2,1.0,191.0,132.0
7,,,30.0,183.0,household_agent_0,1000.0,191.0,household_agent_2,5.0,191.0,188.0
8,,,30.0,183.0,household_agent_0,1000.0,191.0,household_agent_2,1.0,191.0,132.0
9,,,31.0,183.0,household_agent_11,1011.0,191.0,household_agent_2,4.0,191.0,187.0
10,,,31.0,183.0,household_agent_11,1011.0,191.0,household_agent_2,1.0,191.0,132.0
11,,,32.0,183.0,household_agent_1,1001.0,191.0,household_agent_2,6.0,191.0,189.0
12,,,33.0,183.0,household_agent_7,1007.0,191.0,household_agent_2,6.0,191.0,189.0
13,,,34.0,183.0,household_agent_6,1006.0,191.0,household_agent_2,1.0,191.0,175.0
14,,,34.0,183.0,household_agent_6,1006.0,191.0,household_agent_2,1.0,191.0,184.0
15,,,35.0,183.0,household_agent_12,1012.0,191.0,household_agent_2,2.0,191.0,185.0
16,,,35.0,183.0,household_agent_12,1012.0,191.0,household_agent_2,0.0,191.0,174.0
17,,,36.0,183.0,household_agent_8,1008.0,191.0,household_agent_2,8.0,191.0,191.0
18,,,37.0,183.0,generation_agent_0,1013.0,191.0,household_agent_2,9.0,191.0,192.0
19,,,38.0,183.0,generation_agent_1,1014.0,191.0,household_agent_2,12.0,191.0,195.0
20,,,39.0,183.0,generation_agent_2,1015.0,191.0,household_agent_2,0.0,191.0,131.0
21,,,39.0,183.0,generation_agent_2,1015.0,191.0,household_agent_2,11.0,191.0,194.0
22,,,40.0,183.0,generation_agent_3,1016.0,191.0,household_agent_2,1.0,191.0,132.0
23,,,40.0,183.0,generation_agent_3,1016.0,191.0,household_agent_2,11.0,191.0,194.0
24,,,210.0,201.0,household_agent_4,1004.0,191.0,household_agent_2,3.0,191.0,204.0
25,,,211.0,201.0,household_agent_5,1005.0,191.0,household_agent_2,1.0,191.0,202.0
26,,,212.0,201.0,household_agent_0,1000.0,191.0,household_agent_2,5.0,191.0,206.0
27,,,213.0,201.0,household_agent_11,1011.0,191.0,household_agent_2,4.0,191.0,205.0
28,,,214.0,201.0,household_agent_1,1001.0,191.0,household_agent_2,6.0,191.0,207.0
29,,,215.0,201.0,household_agent_7,1007.0,191.0,household_agent_2,6.0,191.0,207.0
30,,,216.0,201.0,household_agent_6,1006.0,191.0,household_agent_2,1.0,191.0,469.0
31,,,216.0,201.0,household_agent_6,1006.0,191.0,household_agent_2,1.0,191.0,202.0
32,,,217.0,201.0,household_agent_12,1012.0,191.0,household_agent_2,2.0,191.0,203.0
