,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 02:47:16.676739,,,,,,,,,
1,Simulation configuration ID,9f044918-9f4e-4c3e-8c16-37425d97f97a,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 25 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,8.0,aggregator_agent,1017.0,991.0,control_center_agent,1.0,536.0,9.0
1,,,0.0,8.0,aggregator_agent,1017.0,991.0,control_center_agent,2.0,455.0,10.0
2,,,1.0,144.0,household_agent_3,1003.0,991.0,aggregator_agent,2.0,536.0,146.0
3,,,1.0,144.0,household_agent_3,1003.0,991.0,aggregator_agent,3.0,455.0,147.0
4,,,98.0,2343.0,control_center_agent,1018.0,991.0,aggregator_agent,1.0,536.0,2344.0
5,,,98.0,2343.0,control_center_agent,1018.0,991.0,aggregator_agent,2.0,455.0,2345.0
6,,,23.0,559.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,560.0
7,,,23.0,559.0,household_agent_1,1001.0,991.0,household_agent_0,2.0,455.0,561.0
8,,,24.0,559.0,generation_agent_3,1016.0,991.0,household_agent_0,5.0,536.0,564.0
9,,,24.0,559.0,generation_agent_3,1016.0,991.0,household_agent_0,11.0,455.0,570.0
10,,,69.0,1208.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,1209.0
11,,,69.0,1208.0,household_agent_1,1001.0,991.0,household_agent_0,2.0,455.0,1210.0
12,,,70.0,1208.0,generation_agent_3,1016.0,991.0,household_agent_0,5.0,536.0,1213.0
13,,,70.0,1208.0,generation_agent_3,1016.0,991.0,household_agent_0,11.0,455.0,1219.0
14,,,13.0,559.0,household_agent_0,1000.0,991.0,household_agent_1,1.0,536.0,560.0
15,,,13.0,559.0,household_agent_0,1000.0,991.0,household_agent_1,2.0,455.0,561.0
16,,,14.0,559.0,household_agent_2,1002.0,991.0,household_agent_1,3.0,536.0,562.0
17,,,14.0,559.0,household_agent_2,1002.0,991.0,household_agent_1,9.0,455.0,568.0
18,,,15.0,559.0,household_agent_3,1003.0,991.0,household_agent_1,6.0,536.0,565.0
19,,,15.0,559.0,household_agent_3,1003.0,991.0,household_agent_1,12.0,455.0,571.0
20,,,59.0,1208.0,household_agent_0,1000.0,991.0,household_agent_1,1.0,536.0,1209.0
21,,,59.0,1208.0,household_agent_0,1000.0,991.0,household_agent_1,2.0,455.0,1210.0
22,,,60.0,1208.0,household_agent_2,1002.0,991.0,household_agent_1,2.0,536.0,1210.0
23,,,60.0,1208.0,household_agent_2,1002.0,991.0,household_agent_1,8.0,455.0,1216.0
24,,,61.0,1208.0,household_agent_3,1003.0,991.0,household_agent_1,6.0,536.0,1214.0
25,,,61.0,1208.0,household_agent_3,1003.0,991.0,household_agent_1,11.0,455.0,1219.0
26,,,8.0,559.0,household_agent_1,1001.0,991.0,household_agent_2,3.0,536.0,562.0
27,,,8.0,559.0,household_agent_1,1001.0,991.0,household_agent_2,10.0,455.0,569.0
28,,,9.0,559.0,household_agent_3,1003.0,991.0,household_agent_2,5.0,536.0,564.0
29,,,9.0,559.0,household_agent_3,1003.0,991.0,household_agent_2,9.0,455.0,568.0
30,,,54.0,1208.0,household_agent_1,1001.0,991.0,household_agent_2,3.0,536.0,1211.0
31,,,54.0,1208.0,household_agent_1,1001.0,991.0,household_agent_2,10.0,455.0,1218.0
32,,,55.0,1208.0,household_agent_3,1003.0,991.0,household_agent_2,5.0,536.0,1213.0
33,,,55.0,1208.0,household_agent_3,1003.0,991.0,household_agent_2,9.0,455.0,1217.0
34,,,2.0,578.0,household_agent_2,1002.0,991.0,household_agent_3,2.0,536.0,580.0
35,,,2.0,578.0,household_agent_2,1002.0,991.0,household_agent_3,4.0,455.0,582.0
36,,,3.0,578.0,household_agent_4,1004.0,991.0,household_agent_3,1.0,536.0,579.0
37,,,3.0,578.0,household_agent_4,1004.0,991.0,household_agent_3,2.0,455.0,580.0
38,,,4.0,578.0,household_agent_1,1001.0,991.0,household_agent_3,3.0,536.0,581.0
39,,,4.0,578.0,household_agent_1,1001.0,991.0,household_agent_3,4.0,455.0,582.0
40,,,5.0,559.0,household_agent_2,1002.0,991.0,household_agent_3,3.0,536.0,562.0
41,,,5.0,559.0,household_agent_2,1002.0,991.0,household_agent_3,9.0,455.0,568.0
42,,,6.0,559.0,household_agent_4,1004.0,991.0,household_agent_3,1.0,536.0,560.0
43,,,6.0,559.0,household_agent_4,1004.0,991.0,household_agent_3,2.0,455.0,561.0
44,,,7.0,559.0,household_agent_1,1001.0,991.0,household_agent_3,5.0,536.0,564.0
45,,,7.0,559.0,household_agent_1,1001.0,991.0,household_agent_3,11.0,455.0,570.0
46,,,51.0,1208.0,household_agent_2,1002.0,991.0,household_agent_3,4.0,536.0,1212.0
47,,,51.0,1208.0,household_agent_2,1002.0,991.0,household_agent_3,9.0,455.0,1217.0
48,,,52.0,1208.0,household_agent_4,1004.0,991.0,household_agent_3,1.0,536.0,1209.0
49,,,52.0,1208.0,household_agent_4,1004.0,991.0,household_agent_3,2.0,455.0,1210.0
50,,,53.0,1208.0,household_agent_1,1001.0,991.0,household_agent_3,7.0,536.0,1215.0
51,,,53.0,1208.0,household_agent_1,1001.0,991.0,household_agent_3,11.0,455.0,1219.0
52,,,97.0,1466.0,aggregator_agent,1017.0,991.0,household_agent_3,2.0,536.0,1468.0
53,,,97.0,1466.0,aggregator_agent,1017.0,991.0,household_agent_3,3.0,455.0,1469.0
54,,,10.0,559.0,household_agent_3,1003.0,991.0,household_agent_4,1.0,536.0,560.0
55,,,10.0,559.0,household_agent_3,1003.0,991.0,household_agent_4,3.0,455.0,562.0
56,,,11.0,559.0,household_agent_5,1005.0,991.0,household_agent_4,5.0,536.0,564.0
57,,,11.0,559.0,household_agent_5,1005.0,991.0,household_agent_4,10.0,455.0,569.0
58,,,12.0,559.0,generation_agent_0,1013.0,991.0,household_agent_4,8.0,536.0,567.0
59,,,12.0,559.0,generation_agent_0,1013.0,991.0,household_agent_4,14.0,455.0,573.0
60,,,56.0,1208.0,household_agent_3,1003.0,991.0,household_agent_4,1.0,536.0,1209.0
61,,,56.0,1208.0,household_agent_3,1003.0,991.0,household_agent_4,3.0,455.0,1211.0
62,,,57.0,1208.0,household_agent_5,1005.0,991.0,household_agent_4,5.0,536.0,1213.0
63,,,57.0,1208.0,household_agent_5,1005.0,991.0,household_agent_4,10.0,455.0,1218.0
64,,,58.0,1208.0,generation_agent_0,1013.0,991.0,household_agent_4,8.0,536.0,1216.0
65,,,58.0,1208.0,generation_agent_0,1013.0,991.0,household_agent_4,14.0,455.0,1222.0
66,,,16.0,559.0,household_agent_4,1004.0,991.0,household_agent_5,5.0,536.0,564.0
67,,,16.0,559.0,household_agent_4,1004.0,991.0,household_agent_5,9.0,455.0,568.0
68,,,17.0,559.0,household_agent_6,1006.0,991.0,household_agent_5,1.0,536.0,560.0
69,,,17.0,559.0,household_agent_6,1006.0,991.0,household_agent_5,3.0,455.0,562.0
70,,,18.0,559.0,generation_agent_2,1015.0,991.0,household_agent_5,7.0,536.0,566.0
71,,,18.0,559.0,generation_agent_2,1015.0,991.0,household_agent_5,13.0,455.0,572.0
72,,,62.0,1208.0,household_agent_4,1004.0,991.0,household_agent_5,5.0,536.0,1213.0
73,,,62.0,1208.0,household_agent_4,1004.0,991.0,household_agent_5,9.0,455.0,1217.0
74,,,63.0,1208.0,household_agent_6,1006.0,991.0,household_agent_5,1.0,536.0,1209.0
75,,,63.0,1208.0,household_agent_6,1006.0,991.0,household_agent_5,3.0,455.0,1211.0
76,,,64.0,1208.0,generation_agent_2,1015.0,991.0,household_agent_5,7.0,536.0,1215.0
77,,,64.0,1208.0,generation_agent_2,1015.0,991.0,household_agent_5,13.0,455.0,1221.0
78,,,25.0,559.0,household_agent_5,1005.0,991.0,household_agent_6,1.0,536.0,560.0
79,,,25.0,559.0,household_agent_5,1005.0,991.0,household_agent_6,2.0,455.0,561.0
80,,,26.0,559.0,household_agent_7,1007.0,991.0,household_agent_6,3.0,536.0,562.0
81,,,26.0,559.0,household_agent_7,1007.0,991.0,household_agent_6,8.0,455.0,567.0
82,,,27.0,559.0,generation_agent_0,1013.0,991.0,household_agent_6,6.0,536.0,565.0
83,,,27.0,559.0,generation_agent_0,1013.0,991.0,household_agent_6,11.0,455.0,570.0
84,,,71.0,1208.0,household_agent_5,1005.0,991.0,household_agent_6,1.0,536.0,1209.0
85,,,71.0,1208.0,household_agent_5,1005.0,991.0,household_agent_6,2.0,455.0,1210.0
86,,,72.0,1208.0,household_agent_7,1007.0,991.0,household_agent_6,3.0,536.0,1211.0
87,,,72.0,1208.0,household_agent_7,1007.0,991.0,household_agent_6,9.0,455.0,1217.0
