,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 19:10:09.350194,,,,,,,,,
1,Simulation configuration ID,a8382b5e-b117-4fbe-8692-4bf11ca880ee,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 25 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,39.0,household_agent_5,68.0,household_agent_6,0.0,0.0,68.0,39.0
1,,,1.0,39.0,household_agent_7,126.0,household_agent_6,0.0,1.0,126.0,40.0
2,,,2.0,39.0,household_agent_12,129.0,household_agent_6,0.0,0.0,129.0,39.0
3,,,3.0,39.0,generation_agent_2,127.0,household_agent_6,0.0,1.0,127.0,40.0
4,,,100500.0,102637.0,household_agent_6,68.0,household_agent_5,39.0,0.0,68.0,102637.0
5,,,100700.0,129629.0,household_agent_6,126.0,household_agent_7,40.0,0.0,126.0,129629.0
6,,,101200.0,128028.0,household_agent_6,129.0,household_agent_12,39.0,0.0,129.0,128028.0
7,,,101500.0,296072.0,household_agent_6,127.0,generation_agent_2,40.0,0.0,127.0,296072.0
