,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 23:21:14.850369,,,,,,,,,
1,Simulation configuration ID,c2b43250-9e95-4b3a-a08e-d77b14e9d529,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 17 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,66.0,household_agent_5,80.0,household_agent_12,0.0,0.0,80.0,66.0
1,,,1.0,66.0,generation_agent_3,98.0,household_agent_12,0.0,0.0,181.0,94.0
2,,,1.0,66.0,generation_agent_3,98.0,household_agent_12,0.0,1.0,98.0,67.0
3,,,2.0,66.0,household_agent_2,183.0,household_agent_12,0.0,0.0,114.0,94.0
4,,,2.0,66.0,household_agent_2,183.0,household_agent_12,0.0,0.0,183.0,66.0
5,,,3.0,66.0,household_agent_12,168.0,household_agent_5,0.0,0.0,168.0,66.0
6,,,4.0,66.0,household_agent_2,71.0,household_agent_5,0.0,0.0,71.0,66.0
7,,,5.0,66.0,household_agent_5,192.0,household_agent_2,0.0,0.0,192.0,66.0
8,,,6.0,66.0,household_agent_1,174.0,household_agent_2,0.0,1.0,174.0,67.0
9,,,7.0,66.0,household_agent_12,71.0,household_agent_2,0.0,0.0,71.0,66.0
10,,,7.0,66.0,household_agent_12,71.0,household_agent_2,0.0,1.0,160.0,95.0
11,,,8.0,66.0,household_agent_2,152.0,household_agent_1,0.0,1.0,152.0,67.0
12,,,8.0,66.0,household_agent_2,152.0,household_agent_1,0.0,1.0,152.0,95.0
13,,,9.0,66.0,household_agent_6,173.0,household_agent_1,0.0,1.0,173.0,67.0
14,,,10.0,66.0,household_agent_1,158.0,household_agent_6,0.0,1.0,158.0,67.0
15,,,11.0,66.0,generation_agent_0,131.0,household_agent_6,0.0,1.0,131.0,67.0
16,,,12.0,66.0,generation_agent_3,188.0,household_agent_6,0.0,1.0,188.0,67.0
