,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 16:41:12.823302,,,,,,,,,
1,Simulation configuration ID,cbde2cb5-9870-421e-aeb1-8908317443e7,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,64.0,34.0,household_agent_0,603.0,household_agent_2,0.0,7.0,536.0,41.0
1,,,64.0,34.0,household_agent_0,603.0,household_agent_2,0.0,12.0,67.0,46.0
2,,,65.0,34.0,household_agent_1,373.0,household_agent_2,0.0,8.0,373.0,42.0
3,,,66.0,34.0,household_agent_3,497.0,household_agent_2,0.0,9.0,497.0,43.0
4,,,67.0,34.0,household_agent_4,614.0,household_agent_2,0.0,9.0,536.0,43.0
5,,,67.0,34.0,household_agent_4,614.0,household_agent_2,0.0,13.0,78.0,47.0
6,,,68.0,34.0,household_agent_5,449.0,household_agent_2,0.0,6.0,449.0,40.0
7,,,69.0,34.0,household_agent_6,510.0,household_agent_2,0.0,7.0,510.0,41.0
8,,,70.0,34.0,household_agent_7,545.0,household_agent_2,0.0,10.0,536.0,44.0
9,,,70.0,34.0,household_agent_7,545.0,household_agent_2,0.0,13.0,9.0,47.0
10,,,71.0,34.0,household_agent_8,729.0,household_agent_2,0.0,10.0,536.0,44.0
11,,,71.0,34.0,household_agent_8,729.0,household_agent_2,0.0,13.0,193.0,47.0
12,,,72.0,34.0,household_agent_9,441.0,household_agent_2,0.0,11.0,441.0,45.0
13,,,73.0,34.0,household_agent_10,912.0,household_agent_2,0.0,11.0,536.0,45.0
14,,,73.0,34.0,household_agent_10,912.0,household_agent_2,0.0,14.0,376.0,48.0
15,,,74.0,34.0,household_agent_11,235.0,household_agent_2,0.0,11.0,235.0,45.0
16,,,75.0,34.0,household_agent_12,434.0,household_agent_2,0.0,9.0,434.0,43.0
17,,,76.0,34.0,generation_agent_0,509.0,household_agent_2,0.0,12.0,509.0,46.0
18,,,77.0,34.0,generation_agent_1,273.0,household_agent_2,0.0,12.0,273.0,46.0
19,,,78.0,34.0,generation_agent_2,479.0,household_agent_2,0.0,13.0,479.0,47.0
20,,,79.0,34.0,generation_agent_3,554.0,household_agent_2,0.0,13.0,536.0,47.0
21,,,79.0,34.0,generation_agent_3,554.0,household_agent_2,0.0,13.0,18.0,47.0
22,,,100000.0,69.0,household_agent_2,603.0,household_agent_0,41.0,2.0,536.0,71.0
23,,,100000.0,69.0,household_agent_2,603.0,household_agent_0,41.0,3.0,67.0,72.0
24,,,100001.0,74.0,household_agent_2,603.0,household_agent_0,46.0,2.0,536.0,76.0
25,,,100001.0,74.0,household_agent_2,603.0,household_agent_0,46.0,2.0,67.0,76.0
26,,,100100.0,122.0,household_agent_2,373.0,household_agent_1,42.0,1.0,373.0,123.0
27,,,100300.0,69.0,household_agent_2,497.0,household_agent_3,43.0,2.0,497.0,71.0
28,,,100400.0,136.0,household_agent_2,614.0,household_agent_4,43.0,2.0,536.0,138.0
29,,,100400.0,136.0,household_agent_2,614.0,household_agent_4,43.0,2.0,78.0,138.0
30,,,100401.0,140.0,household_agent_2,614.0,household_agent_4,47.0,2.0,536.0,142.0
31,,,100401.0,140.0,household_agent_2,614.0,household_agent_4,47.0,2.0,78.0,142.0
32,,,100500.0,61.0,household_agent_2,449.0,household_agent_5,40.0,0.0,449.0,61.0
33,,,100600.0,135.0,household_agent_2,510.0,household_agent_6,41.0,1.0,510.0,136.0
34,,,100700.0,83.0,household_agent_2,545.0,household_agent_7,44.0,2.0,536.0,85.0
35,,,100700.0,83.0,household_agent_2,545.0,household_agent_7,44.0,2.0,9.0,85.0
36,,,100701.0,86.0,household_agent_2,545.0,household_agent_7,47.0,2.0,536.0,88.0
37,,,100701.0,86.0,household_agent_2,545.0,household_agent_7,47.0,2.0,9.0,88.0
38,,,100800.0,93.0,household_agent_2,729.0,household_agent_8,44.0,2.0,536.0,95.0
39,,,100800.0,93.0,household_agent_2,729.0,household_agent_8,44.0,3.0,193.0,96.0
40,,,100801.0,96.0,household_agent_2,729.0,household_agent_8,47.0,2.0,536.0,98.0
41,,,100801.0,96.0,household_agent_2,729.0,household_agent_8,47.0,3.0,193.0,99.0
42,,,100900.0,89.0,household_agent_2,441.0,household_agent_9,45.0,1.0,441.0,90.0
43,,,101000.0,52.0,household_agent_2,912.0,household_agent_10,45.0,2.0,536.0,54.0
44,,,101000.0,52.0,household_agent_2,912.0,household_agent_10,45.0,3.0,376.0,55.0
45,,,101001.0,55.0,household_agent_2,912.0,household_agent_10,48.0,2.0,536.0,57.0
46,,,101001.0,55.0,household_agent_2,912.0,household_agent_10,48.0,4.0,376.0,59.0
47,,,101100.0,52.0,household_agent_2,235.0,household_agent_11,45.0,1.0,235.0,53.0
48,,,101200.0,120.0,household_agent_2,434.0,household_agent_12,43.0,0.0,434.0,120.0
49,,,101300.0,135.0,household_agent_2,509.0,generation_agent_0,46.0,2.0,509.0,137.0
50,,,101400.0,60.0,household_agent_2,273.0,generation_agent_1,46.0,1.0,273.0,61.0
51,,,101500.0,107.0,household_agent_2,479.0,generation_agent_2,47.0,2.0,479.0,109.0
52,,,101601.0,140.0,household_agent_2,554.0,generation_agent_3,47.0,2.0,536.0,142.0
53,,,101601.0,140.0,household_agent_2,554.0,generation_agent_3,47.0,3.0,18.0,143.0
