,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 18:08:43.002599,,,,,,,,,
1,Simulation configuration ID,d3c0436f-f7f7-418c-b136-05c2283a9de8,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,32.0,household_agent_0,338.0,household_agent_6,0.0,2.0,338.0,34.0
1,,,1.0,32.0,household_agent_1,662.0,household_agent_6,0.0,3.0,536.0,35.0
2,,,1.0,32.0,household_agent_1,662.0,household_agent_6,0.0,8.0,126.0,40.0
3,,,2.0,32.0,household_agent_2,909.0,household_agent_6,0.0,1.0,536.0,33.0
4,,,2.0,32.0,household_agent_2,909.0,household_agent_6,0.0,8.0,373.0,40.0
5,,,3.0,32.0,household_agent_3,440.0,household_agent_6,0.0,3.0,440.0,35.0
6,,,4.0,32.0,household_agent_4,751.0,household_agent_6,0.0,4.0,536.0,36.0
7,,,4.0,32.0,household_agent_4,751.0,household_agent_6,0.0,9.0,215.0,41.0
8,,,5.0,32.0,household_agent_5,230.0,household_agent_6,0.0,1.0,230.0,33.0
9,,,6.0,32.0,household_agent_7,808.0,household_agent_6,0.0,5.0,536.0,37.0
10,,,6.0,32.0,household_agent_7,808.0,household_agent_6,0.0,10.0,272.0,42.0
11,,,7.0,32.0,household_agent_8,502.0,household_agent_6,0.0,5.0,502.0,37.0
12,,,8.0,32.0,household_agent_9,560.0,household_agent_6,0.0,6.0,536.0,38.0
13,,,8.0,32.0,household_agent_9,560.0,household_agent_6,0.0,9.0,24.0,41.0
14,,,9.0,32.0,household_agent_10,543.0,household_agent_6,0.0,7.0,536.0,39.0
15,,,9.0,32.0,household_agent_10,543.0,household_agent_6,0.0,9.0,7.0,41.0
16,,,10.0,32.0,household_agent_11,398.0,household_agent_6,0.0,7.0,398.0,39.0
17,,,11.0,32.0,household_agent_12,861.0,household_agent_6,0.0,4.0,536.0,36.0
18,,,11.0,32.0,household_agent_12,861.0,household_agent_6,0.0,9.0,325.0,41.0
19,,,12.0,32.0,generation_agent_0,581.0,household_agent_6,0.0,7.0,536.0,39.0
20,,,12.0,32.0,generation_agent_0,581.0,household_agent_6,0.0,9.0,45.0,41.0
21,,,13.0,32.0,generation_agent_1,712.0,household_agent_6,0.0,8.0,536.0,40.0
22,,,13.0,32.0,generation_agent_1,712.0,household_agent_6,0.0,10.0,176.0,42.0
23,,,14.0,32.0,generation_agent_2,603.0,household_agent_6,0.0,8.0,536.0,40.0
24,,,14.0,32.0,generation_agent_2,603.0,household_agent_6,0.0,10.0,67.0,42.0
25,,,15.0,32.0,generation_agent_3,973.0,household_agent_6,0.0,9.0,536.0,41.0
26,,,15.0,32.0,generation_agent_3,973.0,household_agent_6,0.0,11.0,437.0,43.0
27,,,100000.0,139908.0,household_agent_6,338.0,household_agent_0,34.0,1.0,338.0,139909.0
28,,,100100.0,98443.0,household_agent_6,662.0,household_agent_1,35.0,2.0,536.0,98445.0
