,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 18:28:57.587862,,,,,,,,,
1,Simulation configuration ID,d7b22654-4945-4254-a69c-e0acc9dbf22c,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,53.0,aggregator_agent,160.0,market_agent,0.0,0.0,160.0,53.0
1,,,36.0,900307.0,aggregator_agent,150.0,market_agent,0.0,0.0,150.0,900307.0
2,,,72.0,1800515.0,aggregator_agent,194.0,market_agent,0.0,0.0,194.0,1800515.0
3,,,108.0,2700709.0,aggregator_agent,67.0,market_agent,0.0,0.0,67.0,2700709.0
4,,,1.0,163.0,household_agent_0,147.0,aggregator_agent,0.0,1.0,147.0,164.0
5,,,2.0,163.0,household_agent_1,129.0,aggregator_agent,0.0,1.0,129.0,164.0
6,,,3.0,163.0,household_agent_2,166.0,aggregator_agent,0.0,1.0,166.0,164.0
7,,,4.0,163.0,household_agent_3,155.0,aggregator_agent,0.0,2.0,155.0,165.0
8,,,5.0,163.0,household_agent_4,193.0,aggregator_agent,0.0,2.0,193.0,165.0
9,,,6.0,163.0,household_agent_5,65.0,aggregator_agent,0.0,1.0,65.0,164.0
10,,,7.0,163.0,household_agent_6,100.0,aggregator_agent,0.0,1.0,100.0,164.0
11,,,8.0,163.0,household_agent_7,167.0,aggregator_agent,0.0,2.0,167.0,165.0
12,,,9.0,163.0,household_agent_8,193.0,aggregator_agent,0.0,3.0,193.0,166.0
13,,,10.0,163.0,household_agent_9,108.0,aggregator_agent,0.0,3.0,108.0,166.0
14,,,11.0,163.0,household_agent_10,87.0,aggregator_agent,0.0,3.0,87.0,166.0
15,,,12.0,163.0,household_agent_11,157.0,aggregator_agent,0.0,3.0,157.0,166.0
16,,,13.0,163.0,household_agent_12,191.0,aggregator_agent,0.0,2.0,191.0,165.0
17,,,14.0,163.0,generation_agent_0,194.0,aggregator_agent,0.0,3.0,194.0,166.0
18,,,15.0,163.0,generation_agent_1,109.0,aggregator_agent,0.0,4.0,109.0,167.0
19,,,16.0,163.0,generation_agent_2,148.0,aggregator_agent,0.0,4.0,148.0,167.0
20,,,17.0,163.0,generation_agent_3,199.0,aggregator_agent,0.0,4.0,199.0,167.0
21,,,18.0,241.0,household_agent_0,149.0,aggregator_agent,0.0,1.0,149.0,242.0
22,,,19.0,241.0,household_agent_1,192.0,aggregator_agent,0.0,2.0,192.0,243.0
23,,,20.0,241.0,household_agent_2,144.0,aggregator_agent,0.0,1.0,144.0,242.0
24,,,21.0,241.0,household_agent_3,170.0,aggregator_agent,0.0,2.0,170.0,243.0
25,,,22.0,241.0,household_agent_4,56.0,aggregator_agent,0.0,2.0,56.0,243.0
26,,,23.0,241.0,household_agent_5,107.0,aggregator_agent,0.0,1.0,107.0,242.0
27,,,24.0,241.0,household_agent_6,84.0,aggregator_agent,0.0,1.0,84.0,242.0
28,,,25.0,241.0,household_agent_7,195.0,aggregator_agent,0.0,2.0,195.0,243.0
29,,,26.0,241.0,household_agent_8,70.0,aggregator_agent,0.0,2.0,70.0,243.0
30,,,27.0,241.0,household_agent_9,68.0,aggregator_agent,0.0,2.0,68.0,243.0
31,,,28.0,241.0,household_agent_10,92.0,aggregator_agent,0.0,3.0,92.0,244.0
32,,,29.0,241.0,household_agent_11,120.0,aggregator_agent,0.0,3.0,120.0,244.0
33,,,30.0,241.0,household_agent_12,82.0,aggregator_agent,0.0,2.0,82.0,243.0
34,,,31.0,241.0,generation_agent_0,142.0,aggregator_agent,0.0,3.0,142.0,244.0
35,,,32.0,241.0,generation_agent_1,192.0,aggregator_agent,0.0,3.0,192.0,244.0
36,,,33.0,241.0,generation_agent_2,71.0,aggregator_agent,0.0,3.0,71.0,244.0
37,,,34.0,241.0,generation_agent_3,87.0,aggregator_agent,0.0,3.0,87.0,244.0
38,,,35.0,307.0,market_agent,149.0,aggregator_agent,0.0,0.0,149.0,307.0
39,,,37.0,900439.0,household_agent_0,121.0,aggregator_agent,0.0,1.0,121.0,900440.0
40,,,38.0,900439.0,household_agent_1,135.0,aggregator_agent,0.0,1.0,135.0,900440.0
41,,,39.0,900439.0,household_agent_2,71.0,aggregator_agent,0.0,0.0,71.0,900439.0
42,,,40.0,900439.0,household_agent_3,66.0,aggregator_agent,0.0,2.0,66.0,900441.0
43,,,41.0,900439.0,household_agent_4,183.0,aggregator_agent,0.0,2.0,183.0,900441.0
44,,,42.0,900439.0,household_agent_5,194.0,aggregator_agent,0.0,1.0,194.0,900440.0
45,,,43.0,900439.0,household_agent_6,147.0,aggregator_agent,0.0,1.0,147.0,900440.0
46,,,44.0,900439.0,household_agent_7,65.0,aggregator_agent,0.0,2.0,65.0,900441.0
47,,,45.0,900439.0,household_agent_8,115.0,aggregator_agent,0.0,2.0,115.0,900441.0
48,,,46.0,900439.0,household_agent_9,55.0,aggregator_agent,0.0,2.0,55.0,900441.0
49,,,47.0,900439.0,household_agent_10,77.0,aggregator_agent,0.0,3.0,77.0,900442.0
50,,,48.0,900439.0,household_agent_11,108.0,aggregator_agent,0.0,3.0,108.0,900442.0
51,,,49.0,900439.0,household_agent_12,98.0,aggregator_agent,0.0,2.0,98.0,900441.0
52,,,50.0,900439.0,generation_agent_0,187.0,aggregator_agent,0.0,3.0,187.0,900442.0
53,,,51.0,900439.0,generation_agent_1,89.0,aggregator_agent,0.0,3.0,89.0,900442.0
54,,,52.0,900439.0,generation_agent_2,149.0,aggregator_agent,0.0,3.0,149.0,900442.0
55,,,53.0,900439.0,generation_agent_3,73.0,aggregator_agent,0.0,3.0,73.0,900442.0
56,,,54.0,900478.0,household_agent_0,103.0,aggregator_agent,0.0,1.0,103.0,900479.0
57,,,55.0,900478.0,household_agent_1,175.0,aggregator_agent,0.0,1.0,175.0,900479.0
58,,,56.0,900478.0,household_agent_2,175.0,aggregator_agent,0.0,1.0,175.0,900479.0
59,,,57.0,900478.0,household_agent_3,77.0,aggregator_agent,0.0,2.0,77.0,900480.0
60,,,58.0,900478.0,household_agent_4,153.0,aggregator_agent,0.0,2.0,153.0,900480.0
61,,,59.0,900478.0,household_agent_5,102.0,aggregator_agent,0.0,1.0,102.0,900479.0
