,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 20:05:48.899030,,,,,,,,,
1,Simulation configuration ID,e02ecf1f-c4d7-4fc5-b166-6b0265d0d938,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,CENTRALIZED,,,,,,,,,
0,,,0.0,56.0,household_agent_0,35.0,market_agent,0.0,0.0,35.0,56.0
1,,,1.0,56.0,household_agent_1,49.0,market_agent,0.0,1.0,49.0,57.0
2,,,2.0,56.0,household_agent_2,19.0,market_agent,0.0,1.0,19.0,57.0
3,,,3.0,56.0,household_agent_3,28.0,market_agent,0.0,1.0,28.0,57.0
4,,,4.0,56.0,household_agent_4,24.0,market_agent,0.0,1.0,24.0,57.0
5,,,5.0,56.0,household_agent_5,31.0,market_agent,0.0,1.0,31.0,57.0
6,,,6.0,56.0,household_agent_6,16.0,market_agent,0.0,1.0,16.0,57.0
7,,,7.0,56.0,household_agent_7,31.0,market_agent,0.0,1.0,31.0,57.0
8,,,8.0,56.0,household_agent_8,38.0,market_agent,0.0,1.0,38.0,57.0
9,,,9.0,56.0,household_agent_9,24.0,market_agent,0.0,1.0,24.0,57.0
10,,,10.0,56.0,household_agent_10,37.0,market_agent,0.0,1.0,37.0,57.0
11,,,11.0,56.0,household_agent_11,21.0,market_agent,0.0,1.0,21.0,57.0
12,,,12.0,56.0,household_agent_12,31.0,market_agent,0.0,2.0,31.0,58.0
13,,,13.0,56.0,generation_agent_0,37.0,market_agent,0.0,2.0,37.0,58.0
14,,,14.0,56.0,generation_agent_1,22.0,market_agent,0.0,2.0,22.0,58.0
15,,,15.0,56.0,generation_agent_2,12.0,market_agent,0.0,2.0,12.0,58.0
16,,,16.0,56.0,generation_agent_3,27.0,market_agent,0.0,2.0,27.0,58.0
17,,,17.0,900056.0,household_agent_0,26.0,market_agent,0.0,0.0,26.0,900056.0
18,,,18.0,900056.0,household_agent_1,38.0,market_agent,0.0,1.0,38.0,900057.0
19,,,19.0,900056.0,household_agent_2,22.0,market_agent,0.0,1.0,22.0,900057.0
20,,,20.0,900056.0,household_agent_3,8.0,market_agent,0.0,1.0,8.0,900057.0
21,,,21.0,900056.0,household_agent_4,44.0,market_agent,0.0,1.0,44.0,900057.0
22,,,22.0,900056.0,household_agent_5,11.0,market_agent,0.0,1.0,11.0,900057.0
23,,,23.0,900056.0,household_agent_6,11.0,market_agent,0.0,1.0,11.0,900057.0
24,,,24.0,900056.0,household_agent_7,14.0,market_agent,0.0,1.0,14.0,900057.0
25,,,25.0,900056.0,household_agent_8,11.0,market_agent,0.0,1.0,11.0,900057.0
26,,,26.0,900056.0,household_agent_9,33.0,market_agent,0.0,1.0,33.0,900057.0
27,,,27.0,900056.0,household_agent_10,20.0,market_agent,0.0,1.0,20.0,900057.0
