,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 18:13:00.508269,,,,,,,,,
1,Simulation configuration ID,e210a016-c38c-41e2-b73d-f2b9fc7f11ff,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,18.0,aggregator_agent,32.0,market_agent,0.0,0.0,32.0,18.0
1,,,36.0,900350.0,aggregator_agent,28.0,market_agent,0.0,0.0,28.0,900350.0
2,,,72.0,1800555.0,aggregator_agent,29.0,market_agent,0.0,0.0,29.0,1800555.0
3,,,108.0,2700871.0,aggregator_agent,31.0,market_agent,0.0,0.0,31.0,2700871.0
4,,,1.0,195.0,household_agent_0,24.0,aggregator_agent,0.0,1.0,24.0,196.0
5,,,2.0,195.0,household_agent_1,42.0,aggregator_agent,0.0,1.0,42.0,196.0
6,,,3.0,195.0,household_agent_2,18.0,aggregator_agent,0.0,0.0,18.0,195.0
7,,,4.0,195.0,household_agent_3,35.0,aggregator_agent,0.0,1.0,35.0,196.0
8,,,5.0,195.0,household_agent_4,17.0,aggregator_agent,0.0,1.0,17.0,196.0
9,,,6.0,195.0,household_agent_5,20.0,aggregator_agent,0.0,1.0,20.0,196.0
10,,,7.0,195.0,household_agent_6,47.0,aggregator_agent,0.0,1.0,47.0,196.0
11,,,8.0,195.0,household_agent_7,26.0,aggregator_agent,0.0,1.0,26.0,196.0
12,,,9.0,195.0,household_agent_8,18.0,aggregator_agent,0.0,1.0,18.0,196.0
13,,,10.0,195.0,household_agent_9,39.0,aggregator_agent,0.0,1.0,39.0,196.0
14,,,11.0,195.0,household_agent_10,11.0,aggregator_agent,0.0,2.0,11.0,197.0
15,,,12.0,195.0,household_agent_11,22.0,aggregator_agent,0.0,2.0,22.0,197.0
16,,,13.0,195.0,household_agent_12,29.0,aggregator_agent,0.0,1.0,29.0,196.0
17,,,14.0,195.0,generation_agent_0,45.0,aggregator_agent,0.0,2.0,45.0,197.0
18,,,15.0,195.0,generation_agent_1,49.0,aggregator_agent,0.0,2.0,49.0,197.0
19,,,16.0,195.0,generation_agent_2,17.0,aggregator_agent,0.0,2.0,17.0,197.0
20,,,17.0,195.0,generation_agent_3,48.0,aggregator_agent,0.0,2.0,48.0,197.0
21,,,18.0,265.0,household_agent_0,16.0,aggregator_agent,0.0,1.0,16.0,266.0
22,,,19.0,265.0,household_agent_1,23.0,aggregator_agent,0.0,1.0,23.0,266.0
23,,,20.0,265.0,household_agent_2,22.0,aggregator_agent,0.0,0.0,22.0,265.0
24,,,21.0,265.0,household_agent_3,46.0,aggregator_agent,0.0,1.0,46.0,266.0
25,,,22.0,265.0,household_agent_4,21.0,aggregator_agent,0.0,1.0,21.0,266.0
26,,,23.0,265.0,household_agent_5,21.0,aggregator_agent,0.0,1.0,21.0,266.0
27,,,24.0,265.0,household_agent_6,27.0,aggregator_agent,0.0,1.0,27.0,266.0
28,,,25.0,265.0,household_agent_7,8.0,aggregator_agent,0.0,1.0,8.0,266.0
29,,,26.0,265.0,household_agent_8,13.0,aggregator_agent,0.0,1.0,13.0,266.0
30,,,27.0,265.0,household_agent_9,30.0,aggregator_agent,0.0,1.0,30.0,266.0
31,,,28.0,265.0,household_agent_10,27.0,aggregator_agent,0.0,2.0,27.0,267.0
32,,,29.0,265.0,household_agent_11,20.0,aggregator_agent,0.0,2.0,20.0,267.0
33,,,30.0,265.0,household_agent_12,31.0,aggregator_agent,0.0,1.0,31.0,266.0
34,,,31.0,265.0,generation_agent_0,38.0,aggregator_agent,0.0,2.0,38.0,267.0
35,,,32.0,265.0,generation_agent_1,41.0,aggregator_agent,0.0,2.0,41.0,267.0
36,,,33.0,265.0,generation_agent_2,41.0,aggregator_agent,0.0,2.0,41.0,267.0
37,,,34.0,265.0,generation_agent_3,18.0,aggregator_agent,0.0,2.0,18.0,267.0
38,,,35.0,350.0,market_agent,14.0,aggregator_agent,0.0,0.0,14.0,350.0
39,,,37.0,900489.0,household_agent_0,48.0,aggregator_agent,0.0,1.0,48.0,900490.0
40,,,38.0,900489.0,household_agent_1,50.0,aggregator_agent,0.0,1.0,50.0,900490.0
41,,,39.0,900489.0,household_agent_2,18.0,aggregator_agent,0.0,0.0,18.0,900489.0
42,,,40.0,900489.0,household_agent_3,15.0,aggregator_agent,0.0,1.0,15.0,900490.0
43,,,41.0,900489.0,household_agent_4,19.0,aggregator_agent,0.0,1.0,19.0,900490.0
44,,,42.0,900489.0,household_agent_5,28.0,aggregator_agent,0.0,1.0,28.0,900490.0
45,,,43.0,900489.0,household_agent_6,31.0,aggregator_agent,0.0,1.0,31.0,900490.0
46,,,44.0,900489.0,household_agent_7,36.0,aggregator_agent,0.0,1.0,36.0,900490.0
47,,,45.0,900489.0,household_agent_8,38.0,aggregator_agent,0.0,1.0,38.0,900490.0
48,,,46.0,900489.0,household_agent_9,44.0,aggregator_agent,0.0,2.0,44.0,900491.0
49,,,47.0,900489.0,household_agent_10,32.0,aggregator_agent,0.0,2.0,32.0,900491.0
50,,,48.0,900489.0,household_agent_11,21.0,aggregator_agent,0.0,2.0,21.0,900491.0
51,,,49.0,900489.0,household_agent_12,19.0,aggregator_agent,0.0,1.0,19.0,900490.0
52,,,50.0,900489.0,generation_agent_0,29.0,aggregator_agent,0.0,2.0,29.0,900491.0
53,,,51.0,900489.0,generation_agent_1,32.0,aggregator_agent,0.0,2.0,32.0,900491.0
54,,,52.0,900489.0,generation_agent_2,34.0,aggregator_agent,0.0,2.0,34.0,900491.0
55,,,53.0,900489.0,generation_agent_3,21.0,aggregator_agent,0.0,2.0,21.0,900491.0
56,,,54.0,900512.0,household_agent_0,13.0,aggregator_agent,0.0,1.0,13.0,900513.0
57,,,55.0,900512.0,household_agent_1,35.0,aggregator_agent,0.0,1.0,35.0,900513.0
58,,,56.0,900512.0,household_agent_2,43.0,aggregator_agent,0.0,0.0,43.0,900512.0
59,,,57.0,900512.0,household_agent_3,37.0,aggregator_agent,0.0,1.0,37.0,900513.0
60,,,58.0,900512.0,household_agent_4,8.0,aggregator_agent,0.0,1.0,8.0,900513.0
61,,,59.0,900512.0,household_agent_5,24.0,aggregator_agent,0.0,1.0,24.0,900513.0
62,,,60.0,900512.0,household_agent_6,8.0,aggregator_agent,0.0,1.0,8.0,900513.0
63,,,61.0,900512.0,household_agent_7,14.0,aggregator_agent,0.0,1.0,14.0,900513.0
64,,,62.0,900512.0,household_agent_8,13.0,aggregator_agent,0.0,1.0,13.0,900513.0
65,,,63.0,900512.0,household_agent_9,12.0,aggregator_agent,0.0,1.0,12.0,900513.0
66,,,64.0,900512.0,household_agent_10,45.0,aggregator_agent,0.0,2.0,45.0,900514.0
67,,,65.0,900512.0,household_agent_11,46.0,aggregator_agent,0.0,2.0,46.0,900514.0
68,,,66.0,900512.0,household_agent_12,21.0,aggregator_agent,0.0,1.0,21.0,900513.0
69,,,67.0,900512.0,generation_agent_0,36.0,aggregator_agent,0.0,2.0,36.0,900514.0
70,,,68.0,900512.0,generation_agent_1,48.0,aggregator_agent,0.0,2.0,48.0,900514.0
71,,,69.0,900512.0,generation_agent_2,49.0,aggregator_agent,0.0,2.0,49.0,900514.0
72,,,70.0,900512.0,generation_agent_3,13.0,aggregator_agent,0.0,2.0,13.0,900514.0
