,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 23:22:18.942929,,,,,,,,,
1,Simulation configuration ID,e24b092c-031f-4a4f-87c9-95c86a4602cb,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,8.0,household_agent_10,1010.0,191.0,control_center_agent,0.0,191.0,8.0
1,,,34.0,29635.0,household_agent_1,1001.0,191.0,household_agent_0,0.0,191.0,29635.0
2,,,32.0,29635.0,household_agent_0,1000.0,191.0,household_agent_1,0.0,191.0,29635.0
3,,,33.0,29635.0,household_agent_2,1002.0,191.0,household_agent_1,1.0,191.0,29636.0
4,,,30.0,29635.0,household_agent_1,1001.0,191.0,household_agent_2,1.0,191.0,29636.0
5,,,31.0,29635.0,household_agent_3,1003.0,191.0,household_agent_2,2.0,191.0,29637.0
6,,,28.0,29635.0,household_agent_2,1002.0,191.0,household_agent_3,1.0,191.0,29636.0
7,,,29.0,29635.0,household_agent_4,1004.0,191.0,household_agent_3,0.0,191.0,29635.0
8,,,25.0,29635.0,household_agent_3,1003.0,191.0,household_agent_4,0.0,191.0,29635.0
9,,,26.0,29635.0,household_agent_5,1005.0,191.0,household_agent_4,2.0,191.0,29637.0
10,,,21.0,29635.0,household_agent_4,1004.0,191.0,household_agent_5,1.0,191.0,29636.0
11,,,22.0,29635.0,household_agent_6,1006.0,191.0,household_agent_5,0.0,191.0,29635.0
12,,,17.0,29635.0,household_agent_5,1005.0,191.0,household_agent_6,0.0,191.0,29635.0
13,,,18.0,29635.0,household_agent_7,1007.0,191.0,household_agent_6,2.0,191.0,29637.0
14,,,13.0,29635.0,household_agent_6,1006.0,191.0,household_agent_7,1.0,191.0,29636.0
15,,,14.0,29635.0,household_agent_8,1008.0,191.0,household_agent_7,2.0,191.0,29637.0
16,,,9.0,29635.0,household_agent_7,1007.0,191.0,household_agent_8,2.0,191.0,29637.0
17,,,10.0,29635.0,household_agent_9,1009.0,191.0,household_agent_8,0.0,191.0,29635.0
18,,,5.0,29635.0,household_agent_8,1008.0,191.0,household_agent_9,0.0,191.0,29635.0
19,,,6.0,29635.0,household_agent_10,1010.0,191.0,household_agent_9,0.0,191.0,29635.0
20,,,1.0,25001.0,household_agent_9,1009.0,191.0,household_agent_10,0.0,191.0,25001.0
21,,,2.0,25001.0,household_agent_11,1011.0,191.0,household_agent_10,1.0,191.0,25002.0
22,,,3.0,29635.0,household_agent_9,1009.0,191.0,household_agent_10,0.0,191.0,29635.0
23,,,4.0,29635.0,household_agent_11,1011.0,191.0,household_agent_10,2.0,191.0,29637.0
24,,,7.0,29635.0,household_agent_10,1010.0,191.0,household_agent_11,2.0,191.0,29637.0
25,,,8.0,29635.0,household_agent_12,1012.0,191.0,household_agent_11,2.0,191.0,29637.0
26,,,11.0,29635.0,household_agent_11,1011.0,191.0,household_agent_12,1.0,191.0,29636.0
27,,,12.0,29635.0,generation_agent_0,1013.0,191.0,household_agent_12,2.0,191.0,29637.0
28,,,15.0,29635.0,household_agent_12,1012.0,191.0,generation_agent_0,2.0,191.0,29637.0
29,,,16.0,29635.0,generation_agent_1,1014.0,191.0,generation_agent_0,0.0,191.0,29635.0
30,,,19.0,29635.0,generation_agent_0,1013.0,191.0,generation_agent_1,0.0,191.0,29635.0
31,,,20.0,29635.0,generation_agent_2,1015.0,191.0,generation_agent_1,0.0,191.0,29635.0
32,,,23.0,29635.0,generation_agent_1,1014.0,191.0,generation_agent_2,0.0,191.0,29635.0
33,,,24.0,29635.0,generation_agent_3,1016.0,191.0,generation_agent_2,1.0,191.0,29636.0
34,,,27.0,29635.0,generation_agent_2,1015.0,191.0,generation_agent_3,1.0,191.0,29636.0
