,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 02:25:12.854447,,,,,,,,,
1,Simulation configuration ID,f5f4df94-3e18-441b-9f3f-ed94cd088c0c,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 25 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,9.0,generation_agent_2,1015.0,191.0,control_center_agent,0.0,191.0,9.0
1,,,23.0,7365.0,household_agent_1,1001.0,191.0,household_agent_0,0.0,191.0,7365.0
2,,,24.0,7365.0,generation_agent_3,1016.0,191.0,household_agent_0,2.0,191.0,7367.0
3,,,25.0,7365.0,household_agent_6,1006.0,191.0,household_agent_0,3.0,191.0,7368.0
4,,,43.0,7365.0,household_agent_0,1000.0,191.0,household_agent_1,0.0,191.0,7365.0
5,,,44.0,7365.0,household_agent_2,1002.0,191.0,household_agent_1,1.0,191.0,7366.0
6,,,26.0,7365.0,household_agent_1,1001.0,191.0,household_agent_2,1.0,191.0,7366.0
7,,,27.0,7365.0,household_agent_3,1003.0,191.0,household_agent_2,2.0,191.0,7367.0
8,,,12.0,7365.0,household_agent_2,1002.0,191.0,household_agent_3,2.0,191.0,7367.0
9,,,13.0,7365.0,household_agent_4,1004.0,191.0,household_agent_3,0.0,191.0,7365.0
10,,,14.0,7365.0,household_agent_7,1007.0,191.0,household_agent_3,0.0,191.0,7365.0
11,,,15.0,7365.0,generation_agent_2,1015.0,191.0,household_agent_3,3.0,191.0,7368.0
12,,,28.0,7365.0,household_agent_3,1003.0,191.0,household_agent_4,0.0,191.0,7365.0
13,,,29.0,7365.0,household_agent_5,1005.0,191.0,household_agent_4,2.0,191.0,7367.0
14,,,30.0,7365.0,household_agent_9,1009.0,191.0,household_agent_4,3.0,191.0,7368.0
15,,,45.0,7365.0,household_agent_4,1004.0,191.0,household_agent_5,1.0,191.0,7366.0
16,,,46.0,7365.0,household_agent_6,1006.0,191.0,household_agent_5,0.0,191.0,7365.0
17,,,31.0,7365.0,household_agent_5,1005.0,191.0,household_agent_6,0.0,191.0,7365.0
18,,,32.0,7365.0,household_agent_7,1007.0,191.0,household_agent_6,3.0,191.0,7368.0
19,,,33.0,7365.0,household_agent_0,1000.0,191.0,household_agent_6,2.0,191.0,7367.0
20,,,34.0,7365.0,household_agent_12,1012.0,191.0,household_agent_6,0.0,191.0,7365.0
21,,,16.0,7365.0,household_agent_3,1003.0,191.0,household_agent_7,0.0,191.0,7365.0
22,,,17.0,7365.0,household_agent_6,1006.0,191.0,household_agent_7,2.0,191.0,7367.0
23,,,18.0,7365.0,household_agent_8,1008.0,191.0,household_agent_7,3.0,191.0,7368.0
24,,,19.0,7365.0,generation_agent_1,1014.0,191.0,household_agent_7,3.0,191.0,7368.0
25,,,20.0,7365.0,household_agent_11,1011.0,191.0,household_agent_7,1.0,191.0,7366.0
26,,,35.0,7365.0,household_agent_7,1007.0,191.0,household_agent_8,2.0,191.0,7367.0
27,,,36.0,7365.0,household_agent_9,1009.0,191.0,household_agent_8,0.0,191.0,7365.0
28,,,47.0,7365.0,household_agent_8,1008.0,191.0,household_agent_9,0.0,191.0,7365.0
29,,,48.0,7365.0,household_agent_10,1010.0,191.0,household_agent_9,0.0,191.0,7365.0
30,,,49.0,7365.0,household_agent_4,1004.0,191.0,household_agent_9,3.0,191.0,7368.0
31,,,50.0,7365.0,household_agent_9,1009.0,191.0,household_agent_10,0.0,191.0,7365.0
32,,,51.0,7365.0,household_agent_11,1011.0,191.0,household_agent_10,3.0,191.0,7368.0
33,,,37.0,7365.0,household_agent_10,1010.0,191.0,household_agent_11,1.0,191.0,7366.0
34,,,38.0,7365.0,household_agent_12,1012.0,191.0,household_agent_11,2.0,191.0,7367.0
35,,,39.0,7365.0,household_agent_7,1007.0,191.0,household_agent_11,0.0,191.0,7365.0
36,,,40.0,7365.0,household_agent_11,1011.0,191.0,household_agent_12,1.0,191.0,7366.0
37,,,41.0,7365.0,generation_agent_0,1013.0,191.0,household_agent_12,2.0,191.0,7367.0
38,,,42.0,7365.0,household_agent_6,1006.0,191.0,household_agent_12,0.0,191.0,7365.0
39,,,21.0,7365.0,household_agent_12,1012.0,191.0,generation_agent_0,1.0,191.0,7366.0
40,,,22.0,7365.0,generation_agent_1,1014.0,191.0,generation_agent_0,0.0,191.0,7365.0
41,,,7.0,7365.0,household_agent_7,1007.0,191.0,generation_agent_1,3.0,191.0,7368.0
42,,,8.0,7365.0,generation_agent_0,1013.0,191.0,generation_agent_1,0.0,191.0,7365.0
43,,,9.0,7365.0,generation_agent_2,1015.0,191.0,generation_agent_1,0.0,191.0,7365.0
44,,,1.0,3282.0,generation_agent_1,1014.0,191.0,generation_agent_2,0.0,191.0,3282.0
45,,,2.0,3282.0,generation_agent_3,1016.0,191.0,generation_agent_2,1.0,191.0,3283.0
46,,,3.0,3282.0,household_agent_3,1003.0,191.0,generation_agent_2,1.0,191.0,3283.0
47,,,4.0,7365.0,generation_agent_1,1014.0,191.0,generation_agent_2,0.0,191.0,7365.0
48,,,5.0,7365.0,generation_agent_3,1016.0,191.0,generation_agent_2,2.0,191.0,7367.0
49,,,6.0,7365.0,household_agent_3,1003.0,191.0,generation_agent_2,4.0,191.0,7369.0
50,,,52.0,20432.0,control_center_agent,1018.0,191.0,generation_agent_2,0.0,191.0,20432.0
51,,,10.0,7365.0,household_agent_0,1000.0,191.0,generation_agent_3,1.0,191.0,7366.0
52,,,11.0,7365.0,generation_agent_2,1015.0,191.0,generation_agent_3,2.0,191.0,7367.0
