,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-28 12:19:37.409164,,,,,,,,,
1,Simulation configuration ID,22f15dda-4003-47c8-8fe8-5e6d1701239d,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,93.0,household_agent_2,18.0,household_agent_3,0.0,41.0,18.0,134.0
1,,,0.0,93.0,household_agent_2,18.0,household_agent_3,0.0,41.0,39.0,75.0
2,,,1.0,93.0,household_agent_12,44.0,household_agent_3,0.0,47.0,44.0,140.0
3,,,1.0,93.0,household_agent_12,44.0,household_agent_3,0.0,47.0,48.0,81.0
4,,,1.0,93.0,household_agent_12,44.0,household_agent_3,0.0,47.0,28.0,102.0
5,,,2.0,93.0,household_agent_6,23.0,household_agent_3,0.0,52.0,23.0,145.0
6,,,2.0,93.0,household_agent_6,23.0,household_agent_3,0.0,52.0,49.0,107.0
7,,,3.0,93.0,household_agent_8,37.0,household_agent_3,0.0,58.0,37.0,151.0
8,,,4.0,93.0,generation_agent_0,22.0,household_agent_3,0.0,58.0,22.0,151.0
9,,,5.0,93.0,generation_agent_1,16.0,household_agent_3,0.0,63.0,16.0,156.0
10,,,6.0,93.0,generation_agent_2,31.0,household_agent_3,0.0,69.0,31.0,162.0
11,,,7.0,93.0,generation_agent_3,45.0,household_agent_3,0.0,74.0,45.0,167.0
12,,,100200.0,11797.0,household_agent_3,18.0,household_agent_2,134.0,41.0,18.0,11838.0
13,,,101200.0,27434.0,generation_agent_0,39.0,household_agent_12,75.0,41.0,39.0,27475.0
14,,,101201.0,21560.0,household_agent_3,44.0,household_agent_12,140.0,41.0,44.0,21601.0
15,,,100600.0,28174.0,household_agent_3,23.0,household_agent_6,145.0,41.0,23.0,28215.0
16,,,100800.0,23132.0,household_agent_3,37.0,household_agent_8,151.0,41.0,37.0,23173.0
17,,,101300.0,16775.0,household_agent_3,22.0,generation_agent_0,151.0,41.0,22.0,16816.0
18,,,101400.0,4861.0,generation_agent_0,48.0,generation_agent_1,81.0,41.0,48.0,4902.0
19,,,101401.0,17551.0,generation_agent_2,28.0,generation_agent_1,102.0,41.0,28.0,17592.0
20,,,101402.0,22784.0,household_agent_3,16.0,generation_agent_1,156.0,41.0,16.0,22825.0
21,,,101500.0,15104.0,household_agent_3,31.0,generation_agent_2,162.0,47.0,31.0,15151.0
22,,,101600.0,13435.0,generation_agent_2,49.0,generation_agent_3,107.0,41.0,49.0,13476.0
23,,,101601.0,25877.0,household_agent_3,45.0,generation_agent_3,167.0,41.0,45.0,25918.0
