,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-28 13:01:49.058755,,,,,,,,,
1,Simulation configuration ID,ea1522e3-edc9-457a-8be5-f62b9613c978,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,20.0,household_agent_3,563.0,household_agent_9,0.0,47.0,536.0,67.0
1,,,0.0,20.0,household_agent_3,563.0,household_agent_9,0.0,74.0,27.0,94.0
2,,,1.0,20.0,aggregator_agent,585.0,household_agent_9,0.0,58.0,536.0,78.0
3,,,1.0,20.0,aggregator_agent,585.0,household_agent_9,0.0,86.0,49.0,106.0
4,,,2.0,20.0,pdc_agent,652.0,household_agent_9,0.0,69.0,536.0,89.0
5,,,2.0,20.0,pdc_agent,652.0,household_agent_9,0.0,103.0,116.0,123.0
6,,,3.0,20.0,substation_agent,577.0,household_agent_9,0.0,80.0,536.0,100.0
7,,,3.0,20.0,substation_agent,577.0,household_agent_9,0.0,108.0,41.0,128.0
