,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-28 13:58:29.675329,,,,,,,,,
1,Simulation configuration ID,ec30cb06-959d-4434-bfd2-5412381b5591,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 20 agents,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,82.0,household_agent_12,655.0,generation_agent_2,0.0,54.0,536.0,136.0
1,,,0.0,82.0,household_agent_12,655.0,generation_agent_2,0.0,50.0,536.0,142.0
2,,,0.0,82.0,household_agent_12,655.0,generation_agent_2,0.0,87.0,119.0,169.0
3,,,0.0,82.0,household_agent_12,655.0,generation_agent_2,0.0,84.0,186.0,176.0
4,,,0.0,82.0,household_agent_12,655.0,generation_agent_2,0.0,49.0,470.0,141.0
5,,,1.0,82.0,household_agent_5,593.0,generation_agent_2,0.0,66.0,536.0,148.0
6,,,1.0,82.0,household_agent_5,593.0,generation_agent_2,0.0,98.0,57.0,180.0
7,,,1.0,82.0,household_agent_5,593.0,generation_agent_2,0.0,60.0,294.0,152.0
8,,,2.0,82.0,household_agent_8,418.0,generation_agent_2,0.0,76.0,418.0,158.0
9,,,2.0,82.0,household_agent_8,418.0,generation_agent_2,0.0,71.0,528.0,163.0
10,,,3.0,82.0,household_agent_10,814.0,generation_agent_2,0.0,111.0,536.0,193.0
11,,,3.0,82.0,household_agent_10,814.0,generation_agent_2,0.0,143.0,278.0,225.0
12,,,4.0,82.0,household_agent_7,482.0,generation_agent_2,0.0,121.0,482.0,203.0
13,,,5.0,82.0,household_agent_3,441.0,generation_agent_2,0.0,132.0,441.0,214.0
14,,,6.0,82.0,household_agent_11,594.0,generation_agent_2,0.0,156.0,536.0,238.0
15,,,6.0,82.0,household_agent_11,594.0,generation_agent_2,0.0,190.0,58.0,272.0
16,,,7.0,82.0,household_agent_0,707.0,generation_agent_2,0.0,168.0,536.0,250.0
17,,,7.0,82.0,household_agent_0,707.0,generation_agent_2,0.0,201.0,171.0,283.0
18,,,8.0,82.0,household_agent_4,694.0,generation_agent_2,0.0,180.0,536.0,262.0
19,,,8.0,82.0,household_agent_4,694.0,generation_agent_2,0.0,212.0,158.0,294.0
20,,,9.0,82.0,household_agent_2,431.0,generation_agent_2,0.0,224.0,431.0,306.0
21,,,10.0,82.0,generation_agent_0,361.0,generation_agent_2,0.0,235.0,361.0,317.0
22,,,11.0,82.0,generation_agent_1,653.0,generation_agent_2,0.0,248.0,536.0,330.0
23,,,11.0,82.0,generation_agent_1,653.0,generation_agent_2,0.0,282.0,117.0,364.0
24,,,12.0,82.0,generation_agent_3,762.0,generation_agent_2,0.0,260.0,536.0,342.0
25,,,12.0,82.0,generation_agent_3,762.0,generation_agent_2,0.0,294.0,226.0,376.0
26,,,101200.0,25341.0,generation_agent_2,655.0,household_agent_12,136.0,49.0,536.0,25390.0
