,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-08-05 09:17:45.181009,,,,,,,,,
1,Simulation configuration ID,13aab264-559b-4f0b-9105-843512dc3226,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,48.0,aggregator_agent,26.0,market_agent,0.0,19.0,26.0,67.0
1,,,20.0,1800258.0,aggregator_agent,47.0,market_agent,0.0,19.0,47.0,1800277.0
2,,,1.0,158.0,household_agent_10,36.0,aggregator_agent,0.0,47.0,36.0,205.0
3,,,2.0,158.0,household_agent_5,27.0,aggregator_agent,0.0,52.0,27.0,210.0
4,,,3.0,158.0,household_agent_8,48.0,aggregator_agent,0.0,58.0,48.0,216.0
5,,,4.0,158.0,household_agent_1,12.0,aggregator_agent,0.0,63.0,12.0,221.0
6,,,5.0,158.0,household_agent_0,36.0,aggregator_agent,0.0,69.0,36.0,227.0
7,,,6.0,158.0,generation_agent_0,29.0,aggregator_agent,0.0,91.0,29.0,249.0
8,,,7.0,158.0,generation_agent_1,9.0,aggregator_agent,0.0,96.0,9.0,254.0
9,,,8.0,158.0,generation_agent_2,34.0,aggregator_agent,0.0,184.0,34.0,342.0
10,,,9.0,158.0,generation_agent_3,49.0,aggregator_agent,0.0,201.0,49.0,359.0
11,,,10.0,220.0,household_agent_10,24.0,aggregator_agent,0.0,40.0,24.0,260.0
12,,,11.0,220.0,household_agent_5,18.0,aggregator_agent,0.0,51.0,18.0,271.0
13,,,12.0,220.0,household_agent_8,27.0,aggregator_agent,0.0,68.0,27.0,288.0
14,,,13.0,220.0,household_agent_1,44.0,aggregator_agent,0.0,73.0,44.0,293.0
15,,,14.0,220.0,household_agent_0,21.0,aggregator_agent,0.0,84.0,21.0,304.0
16,,,15.0,220.0,generation_agent_0,11.0,aggregator_agent,0.0,95.0,11.0,315.0
17,,,16.0,220.0,generation_agent_1,45.0,aggregator_agent,0.0,106.0,45.0,326.0
18,,,17.0,220.0,generation_agent_2,38.0,aggregator_agent,0.0,162.0,38.0,382.0
19,,,18.0,220.0,generation_agent_3,17.0,aggregator_agent,0.0,178.0,17.0,398.0
20,,,19.0,258.0,market_agent,22.0,aggregator_agent,0.0,24.0,22.0,282.0
21,,,21.0,1800319.0,household_agent_10,15.0,aggregator_agent,0.0,47.0,15.0,1800366.0
22,,,22.0,1800319.0,household_agent_5,24.0,aggregator_agent,0.0,52.0,24.0,1800371.0
23,,,23.0,1800319.0,household_agent_8,12.0,aggregator_agent,0.0,58.0,12.0,1800377.0
24,,,24.0,1800319.0,household_agent_1,42.0,aggregator_agent,0.0,69.0,42.0,1800388.0
25,,,25.0,1800319.0,household_agent_0,11.0,aggregator_agent,0.0,74.0,11.0,1800393.0
26,,,26.0,1800319.0,generation_agent_0,48.0,aggregator_agent,0.0,80.0,48.0,1800399.0
27,,,27.0,1800319.0,generation_agent_1,25.0,aggregator_agent,0.0,85.0,25.0,1800404.0
28,,,28.0,1800319.0,generation_agent_2,15.0,aggregator_agent,0.0,96.0,15.0,1800415.0
29,,,29.0,1800319.0,generation_agent_3,8.0,aggregator_agent,0.0,233.0,8.0,1800552.0
30,,,30.0,1800408.0,household_agent_10,37.0,aggregator_agent,0.0,45.0,37.0,1800453.0
31,,,31.0,1800408.0,household_agent_5,48.0,aggregator_agent,0.0,56.0,48.0,1800464.0
32,,,32.0,1800408.0,household_agent_8,43.0,aggregator_agent,0.0,62.0,43.0,1800470.0
33,,,33.0,1800408.0,household_agent_1,27.0,aggregator_agent,0.0,73.0,27.0,1800481.0
34,,,34.0,1800408.0,household_agent_0,45.0,aggregator_agent,0.0,111.0,45.0,1800519.0
35,,,35.0,1800408.0,generation_agent_0,11.0,aggregator_agent,0.0,122.0,11.0,1800530.0
36,,,36.0,1800408.0,generation_agent_1,8.0,aggregator_agent,0.0,127.0,8.0,1800535.0
37,,,37.0,1800408.0,generation_agent_2,30.0,aggregator_agent,0.0,144.0,30.0,1800552.0
38,,,38.0,1800408.0,generation_agent_3,42.0,aggregator_agent,0.0,184.0,42.0,1800592.0
39,,,39.0,1800422.0,market_agent,48.0,aggregator_agent,0.0,21.0,48.0,1800443.0
40,,,101000.0,250.0,aggregator_agent,36.0,household_agent_10,205.0,47.0,36.0,297.0
41,,,101001.0,1800402.0,aggregator_agent,15.0,household_agent_10,1800366.0,45.0,15.0,1800447.0
