,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-08-02 06:22:39.500736,,,,,,,,,
1,Simulation configuration ID,345bbdee-2078-4bcd-9314-b7f93847a9cc,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,10.0,aggregator_agent,16.0,market_agent,0.0,19.0,16.0,29.0
1,,,20.0,900139.0,aggregator_agent,41.0,market_agent,0.0,19.0,41.0,900158.0
2,,,40.0,1800368.0,aggregator_agent,46.0,market_agent,0.0,19.0,46.0,1800387.0
3,,,60.0,2700577.0,aggregator_agent,15.0,market_agent,0.0,19.0,15.0,2700596.0
4,,,1.0,94.0,household_agent_11,45.0,aggregator_agent,0.0,59.0,45.0,153.0
5,,,2.0,94.0,household_agent_12,45.0,aggregator_agent,0.0,70.0,45.0,164.0
6,,,3.0,94.0,household_agent_8,41.0,aggregator_agent,0.0,70.0,41.0,164.0
7,,,4.0,94.0,household_agent_2,18.0,aggregator_agent,0.0,76.0,18.0,170.0
8,,,5.0,94.0,household_agent_4,13.0,aggregator_agent,0.0,76.0,13.0,170.0
9,,,6.0,94.0,generation_agent_0,45.0,aggregator_agent,0.0,81.0,45.0,175.0
10,,,7.0,94.0,generation_agent_1,50.0,aggregator_agent,0.0,81.0,50.0,175.0
11,,,8.0,94.0,generation_agent_2,11.0,aggregator_agent,0.0,115.0,11.0,209.0
12,,,9.0,94.0,generation_agent_3,22.0,aggregator_agent,0.0,120.0,22.0,214.0
13,,,10.0,113.0,household_agent_11,28.0,aggregator_agent,0.0,68.0,28.0,181.0
14,,,11.0,113.0,household_agent_12,34.0,aggregator_agent,0.0,79.0,34.0,192.0
15,,,12.0,113.0,household_agent_8,15.0,aggregator_agent,0.0,79.0,15.0,192.0
16,,,13.0,113.0,household_agent_2,9.0,aggregator_agent,0.0,85.0,9.0,198.0
17,,,14.0,113.0,household_agent_4,16.0,aggregator_agent,0.0,85.0,16.0,198.0
18,,,15.0,113.0,generation_agent_0,45.0,aggregator_agent,0.0,90.0,45.0,203.0
19,,,16.0,113.0,generation_agent_1,16.0,aggregator_agent,0.0,96.0,16.0,209.0
20,,,17.0,113.0,generation_agent_2,13.0,aggregator_agent,0.0,124.0,13.0,237.0
21,,,18.0,113.0,generation_agent_3,30.0,aggregator_agent,0.0,129.0,30.0,242.0
22,,,19.0,139.0,market_agent,39.0,aggregator_agent,0.0,15.0,39.0,154.0
23,,,21.0,900243.0,household_agent_11,15.0,aggregator_agent,0.0,41.0,15.0,900284.0
24,,,22.0,900243.0,household_agent_12,44.0,aggregator_agent,0.0,47.0,44.0,900290.0
25,,,23.0,900243.0,household_agent_8,31.0,aggregator_agent,0.0,52.0,31.0,900295.0
26,,,24.0,900243.0,household_agent_2,41.0,aggregator_agent,0.0,58.0,41.0,900301.0
27,,,25.0,900243.0,household_agent_4,43.0,aggregator_agent,0.0,63.0,43.0,900306.0
28,,,26.0,900243.0,generation_agent_0,20.0,aggregator_agent,0.0,63.0,20.0,900306.0
29,,,27.0,900243.0,generation_agent_1,23.0,aggregator_agent,0.0,79.0,23.0,900322.0
30,,,28.0,900243.0,generation_agent_2,26.0,aggregator_agent,0.0,85.0,26.0,900328.0
31,,,29.0,900243.0,generation_agent_3,19.0,aggregator_agent,0.0,90.0,19.0,900333.0
32,,,30.0,900298.0,household_agent_11,32.0,aggregator_agent,0.0,41.0,32.0,900339.0
