,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-29 07:07:09.935318,,,,,,,,,
1,Simulation configuration ID,56b39b9a-5ceb-4415-a9ca-5b6b1b582895,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,49.0,household_agent_12,35.0,household_agent_9,0.0,52.0,31.0,118.0
1,,,1.0,49.0,generation_agent_0,8.0,household_agent_9,0.0,41.0,25.0,107.0
2,,,3.0,49.0,generation_agent_0,9.0,household_agent_9,0.0,52.0,14.0,118.0
3,,,4.0,49.0,household_agent_12,24.0,household_agent_9,0.0,58.0,18.0,124.0
4,,,5.0,49.0,generation_agent_0,42.0,household_agent_9,0.0,63.0,39.0,129.0
5,,,6.0,49.0,household_agent_12,13.0,household_agent_9,0.0,69.0,49.0,135.0
6,,,7.0,49.0,generation_agent_0,22.0,household_agent_9,0.0,74.0,15.0,140.0
7,,,8.0,49.0,household_agent_12,18.0,household_agent_9,0.0,47.0,18.0,96.0
8,,,9.0,49.0,generation_agent_0,24.0,household_agent_9,0.0,58.0,24.0,107.0
9,,,101200.0,615.0,household_agent_9,18.0,household_agent_12,96.0,41.0,18.0,656.0
10,,,101300.0,928.0,household_agent_9,24.0,generation_agent_0,107.0,41.0,24.0,969.0
