,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-30 19:42:20.741263,,,,,,,,,
1,Simulation configuration ID,7bfa52ae-b6a8-4ced-8e21-4dde433797fa,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,CENTRALIZED,,,,,,,,,
0,,,0.0,100.0,household_agent_7,121.0,market_agent,0.0,19.0,121.0,119.0
1,,,1.0,100.0,household_agent_11,78.0,market_agent,0.0,19.0,78.0,119.0
2,,,2.0,100.0,household_agent_6,142.0,market_agent,0.0,19.0,142.0,119.0
3,,,3.0,100.0,household_agent_12,76.0,market_agent,0.0,19.0,76.0,119.0
4,,,4.0,100.0,household_agent_1,95.0,market_agent,0.0,19.0,95.0,119.0
5,,,5.0,100.0,generation_agent_0,130.0,market_agent,0.0,19.0,130.0,119.0
6,,,6.0,100.0,generation_agent_1,197.0,market_agent,0.0,19.0,197.0,119.0
7,,,7.0,100.0,generation_agent_2,92.0,market_agent,0.0,19.0,92.0,119.0
8,,,8.0,100.0,generation_agent_3,177.0,market_agent,0.0,19.0,177.0,119.0
9,,,9.0,300100.0,household_agent_7,143.0,market_agent,0.0,19.0,143.0,300119.0
10,,,10.0,300100.0,household_agent_11,113.0,market_agent,0.0,19.0,113.0,300119.0
11,,,11.0,300100.0,household_agent_6,188.0,market_agent,0.0,19.0,188.0,300119.0
12,,,12.0,300100.0,household_agent_12,126.0,market_agent,0.0,19.0,126.0,300119.0
13,,,13.0,300100.0,household_agent_1,182.0,market_agent,0.0,19.0,182.0,300119.0
14,,,14.0,300100.0,generation_agent_0,107.0,market_agent,0.0,19.0,107.0,300119.0
15,,,15.0,300100.0,generation_agent_1,65.0,market_agent,0.0,19.0,65.0,300119.0
16,,,16.0,300100.0,generation_agent_2,145.0,market_agent,0.0,19.0,145.0,300119.0
17,,,17.0,300100.0,generation_agent_3,194.0,market_agent,0.0,19.0,194.0,300119.0
18,,,18.0,600100.0,household_agent_7,93.0,market_agent,0.0,19.0,93.0,600119.0
19,,,19.0,600100.0,household_agent_11,127.0,market_agent,0.0,19.0,127.0,600119.0
20,,,20.0,600100.0,household_agent_6,181.0,market_agent,0.0,19.0,181.0,600119.0
21,,,21.0,600100.0,household_agent_12,72.0,market_agent,0.0,19.0,72.0,600119.0
22,,,22.0,600100.0,household_agent_1,73.0,market_agent,0.0,19.0,73.0,600119.0
23,,,23.0,600100.0,generation_agent_0,83.0,market_agent,0.0,19.0,83.0,600119.0
24,,,24.0,600100.0,generation_agent_1,91.0,market_agent,0.0,19.0,91.0,600119.0
25,,,25.0,600100.0,generation_agent_2,108.0,market_agent,0.0,19.0,108.0,600119.0
26,,,26.0,600100.0,generation_agent_3,157.0,market_agent,0.0,19.0,157.0,600119.0
27,,,27.0,900100.0,household_agent_7,69.0,market_agent,0.0,19.0,69.0,900119.0
28,,,28.0,900100.0,household_agent_11,178.0,market_agent,0.0,19.0,178.0,900119.0
