,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-30 18:57:45.770278,,,,,,,,,
1,Simulation configuration ID,9a4b79ba-da9e-44ab-a55d-044e3c5e4126,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 15 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,50.0,aggregator_agent,80.0,market_agent,0.0,19.0,80.0,69.0
1,,,56.0,300418.0,aggregator_agent,179.0,market_agent,0.0,19.0,179.0,300437.0
2,,,112.0,600835.0,aggregator_agent,60.0,market_agent,0.0,19.0,60.0,600854.0
3,,,168.0,901240.0,aggregator_agent,73.0,market_agent,0.0,19.0,73.0,901259.0
4,,,224.0,1201750.0,aggregator_agent,192.0,market_agent,0.0,19.0,192.0,1201769.0
5,,,280.0,1502217.0,aggregator_agent,150.0,market_agent,0.0,19.0,150.0,1502236.0
6,,,336.0,1802650.0,aggregator_agent,77.0,market_agent,0.0,19.0,77.0,1802669.0
7,,,392.0,2103016.0,aggregator_agent,198.0,market_agent,0.0,19.0,198.0,2103035.0
8,,,448.0,2403468.0,aggregator_agent,56.0,market_agent,0.0,19.0,56.0,2403487.0
9,,,504.0,2703986.0,aggregator_agent,60.0,market_agent,0.0,19.0,60.0,2704005.0
10,,,560.0,3004404.0,aggregator_agent,124.0,market_agent,0.0,19.0,124.0,3004423.0
11,,,616.0,3304723.0,aggregator_agent,101.0,market_agent,0.0,19.0,101.0,3304742.0
12,,,1.0,125.0,household_agent_5,144.0,aggregator_agent,0.0,47.0,144.0,172.0
13,,,2.0,125.0,household_agent_11,199.0,aggregator_agent,0.0,58.0,199.0,183.0
14,,,3.0,125.0,household_agent_0,81.0,aggregator_agent,0.0,69.0,81.0,194.0
15,,,4.0,125.0,household_agent_3,66.0,aggregator_agent,0.0,80.0,66.0,205.0
16,,,5.0,125.0,household_agent_7,115.0,aggregator_agent,0.0,102.0,115.0,227.0
17,,,6.0,125.0,generation_agent_0,144.0,aggregator_agent,0.0,377.0,144.0,502.0
18,,,7.0,125.0,generation_agent_1,113.0,aggregator_agent,0.0,399.0,113.0,524.0
19,,,8.0,125.0,generation_agent_2,53.0,aggregator_agent,0.0,481.0,53.0,606.0
20,,,9.0,125.0,generation_agent_3,168.0,aggregator_agent,0.0,498.0,168.0,623.0
21,,,10.0,201.0,household_agent_5,115.0,aggregator_agent,0.0,42.0,115.0,243.0
22,,,11.0,201.0,household_agent_11,80.0,aggregator_agent,0.0,48.0,80.0,249.0
23,,,12.0,201.0,household_agent_0,185.0,aggregator_agent,0.0,70.0,185.0,271.0
24,,,13.0,201.0,household_agent_3,116.0,aggregator_agent,0.0,97.0,116.0,298.0
25,,,14.0,201.0,household_agent_7,144.0,aggregator_agent,0.0,290.0,144.0,491.0
26,,,15.0,201.0,generation_agent_0,181.0,aggregator_agent,0.0,357.0,310.0,558.0
27,,,16.0,201.0,generation_agent_1,57.0,aggregator_agent,0.0,400.0,336.0,601.0
28,,,17.0,201.0,generation_agent_2,123.0,aggregator_agent,0.0,458.0,517.0,659.0
29,,,18.0,201.0,generation_agent_3,197.0,aggregator_agent,0.0,468.0,197.0,669.0
30,,,19.0,245.0,household_agent_5,115.0,aggregator_agent,0.0,42.0,115.0,287.0
31,,,20.0,245.0,household_agent_11,64.0,aggregator_agent,0.0,48.0,64.0,293.0
