,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-08-04 08:26:52.719464,,,,,,,,,
1,Simulation configuration ID,9e3a13ae-ec12-41c2-87ec-1a8b94e9698b,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,32.0,88.0,household_agent_8,872.0,generation_agent_0,0.0,52.0,536.0,140.0
1,,,32.0,88.0,household_agent_8,872.0,generation_agent_0,0.0,85.0,336.0,173.0
2,,,33.0,88.0,household_agent_3,462.0,generation_agent_0,0.0,63.0,462.0,151.0
3,,,34.0,88.0,household_agent_5,277.0,generation_agent_0,0.0,74.0,277.0,162.0
4,,,35.0,88.0,household_agent_7,473.0,generation_agent_0,0.0,118.0,473.0,206.0
5,,,36.0,88.0,household_agent_12,857.0,generation_agent_0,0.0,140.0,536.0,228.0
6,,,36.0,88.0,household_agent_12,857.0,generation_agent_0,0.0,173.0,321.0,261.0
7,,,37.0,88.0,generation_agent_1,987.0,generation_agent_0,0.0,151.0,536.0,239.0
8,,,37.0,88.0,generation_agent_1,987.0,generation_agent_0,0.0,184.0,451.0,272.0
9,,,38.0,88.0,generation_agent_2,612.0,generation_agent_0,0.0,195.0,536.0,283.0
10,,,38.0,88.0,generation_agent_2,612.0,generation_agent_0,0.0,223.0,76.0,311.0
11,,,39.0,88.0,generation_agent_3,782.0,generation_agent_0,0.0,229.0,536.0,317.0
12,,,39.0,88.0,generation_agent_3,782.0,generation_agent_0,0.0,263.0,246.0,351.0
13,,,100800.0,590.0,generation_agent_0,872.0,household_agent_8,140.0,47.0,536.0,637.0
14,,,100800.0,590.0,generation_agent_0,872.0,household_agent_8,140.0,78.0,336.0,668.0
15,,,100801.0,623.0,generation_agent_0,872.0,household_agent_8,173.0,45.0,536.0,668.0
16,,,100801.0,623.0,generation_agent_0,872.0,household_agent_8,173.0,79.0,336.0,702.0
17,,,100300.0,978.0,generation_agent_0,462.0,household_agent_3,151.0,47.0,462.0,1025.0
18,,,100500.0,1118.0,generation_agent_0,277.0,household_agent_5,162.0,47.0,277.0,1165.0
19,,,100700.0,700.0,generation_agent_0,473.0,household_agent_7,206.0,47.0,473.0,747.0
20,,,101200.0,1160.0,generation_agent_0,857.0,household_agent_12,228.0,47.0,536.0,1207.0
21,,,101200.0,1160.0,generation_agent_0,857.0,household_agent_12,228.0,81.0,321.0,1241.0
22,,,101201.0,1193.0,generation_agent_0,857.0,household_agent_12,261.0,48.0,536.0,1241.0
23,,,101201.0,1193.0,generation_agent_0,857.0,household_agent_12,261.0,82.0,321.0,1275.0
24,,,101400.0,1182.0,generation_agent_0,987.0,generation_agent_1,239.0,47.0,536.0,1229.0
25,,,101400.0,1182.0,generation_agent_0,987.0,generation_agent_1,239.0,81.0,451.0,1263.0
26,,,101401.0,1215.0,generation_agent_0,987.0,generation_agent_1,272.0,48.0,536.0,1263.0
27,,,101401.0,1215.0,generation_agent_0,987.0,generation_agent_1,272.0,82.0,451.0,1297.0
28,,,101500.0,620.0,generation_agent_0,612.0,generation_agent_2,283.0,47.0,536.0,667.0
29,,,101500.0,620.0,generation_agent_0,612.0,generation_agent_2,283.0,81.0,76.0,701.0
30,,,101501.0,648.0,generation_agent_0,612.0,generation_agent_2,311.0,64.0,536.0,712.0
31,,,101501.0,648.0,generation_agent_0,612.0,generation_agent_2,311.0,98.0,76.0,746.0
32,,,101600.0,445.0,generation_agent_0,782.0,generation_agent_3,317.0,47.0,536.0,492.0
33,,,101600.0,445.0,generation_agent_0,782.0,generation_agent_3,317.0,81.0,246.0,526.0
34,,,101601.0,479.0,generation_agent_0,782.0,generation_agent_3,351.0,47.0,536.0,526.0
35,,,101601.0,479.0,generation_agent_0,782.0,generation_agent_3,351.0,81.0,246.0,560.0
