,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-08-01 03:40:02.088418,,,,,,,,,
1,Simulation configuration ID,be38e375-ccec-4502-8d4b-3674e6be61e7,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,CENTRALIZED,,,,,,,,,
0,,,0.0,34.0,household_agent_6,484.0,market_agent,0.0,30.0,484.0,64.0
1,,,1.0,34.0,household_agent_5,463.0,market_agent,0.0,29.0,463.0,63.0
2,,,2.0,34.0,household_agent_7,979.0,market_agent,0.0,21.0,536.0,55.0
3,,,2.0,34.0,household_agent_7,979.0,market_agent,0.0,35.0,443.0,69.0
4,,,3.0,34.0,household_agent_9,960.0,market_agent,0.0,29.0,536.0,63.0
5,,,3.0,34.0,household_agent_9,960.0,market_agent,0.0,44.0,424.0,78.0
6,,,4.0,34.0,household_agent_8,302.0,market_agent,0.0,19.0,302.0,53.0
7,,,5.0,34.0,generation_agent_0,611.0,market_agent,0.0,23.0,536.0,57.0
8,,,5.0,34.0,generation_agent_0,611.0,market_agent,0.0,37.0,75.0,71.0
9,,,6.0,34.0,generation_agent_1,852.0,market_agent,0.0,28.0,536.0,62.0
10,,,6.0,34.0,generation_agent_1,852.0,market_agent,0.0,43.0,316.0,77.0
11,,,7.0,34.0,generation_agent_2,588.0,market_agent,0.0,26.0,536.0,60.0
12,,,7.0,34.0,generation_agent_2,588.0,market_agent,0.0,40.0,52.0,74.0
13,,,8.0,34.0,generation_agent_3,887.0,market_agent,0.0,28.0,536.0,62.0
14,,,8.0,34.0,generation_agent_3,887.0,market_agent,0.0,42.0,351.0,76.0
15,,,9.0,300034.0,household_agent_6,917.0,market_agent,0.0,28.0,536.0,300062.0
16,,,9.0,300034.0,household_agent_6,917.0,market_agent,0.0,42.0,381.0,300076.0
17,,,10.0,300034.0,household_agent_5,879.0,market_agent,0.0,29.0,536.0,300063.0
18,,,10.0,300034.0,household_agent_5,879.0,market_agent,0.0,44.0,343.0,300078.0
19,,,11.0,300034.0,household_agent_7,268.0,market_agent,0.0,20.0,268.0,300054.0
20,,,12.0,300034.0,household_agent_9,730.0,market_agent,0.0,22.0,536.0,300056.0
21,,,12.0,300034.0,household_agent_9,730.0,market_agent,0.0,36.0,194.0,300070.0
22,,,13.0,300034.0,household_agent_8,486.0,market_agent,0.0,26.0,486.0,300060.0
23,,,14.0,300034.0,generation_agent_0,688.0,market_agent,0.0,20.0,536.0,300054.0
24,,,14.0,300034.0,generation_agent_0,688.0,market_agent,0.0,34.0,152.0,300068.0
25,,,15.0,300034.0,generation_agent_1,806.0,market_agent,0.0,28.0,536.0,300062.0
26,,,15.0,300034.0,generation_agent_1,806.0,market_agent,0.0,43.0,270.0,300077.0
27,,,16.0,300034.0,generation_agent_2,278.0,market_agent,0.0,27.0,278.0,300061.0
28,,,17.0,300034.0,generation_agent_3,724.0,market_agent,0.0,25.0,536.0,300059.0
29,,,17.0,300034.0,generation_agent_3,724.0,market_agent,0.0,39.0,188.0,300073.0
30,,,18.0,600034.0,household_agent_6,964.0,market_agent,0.0,25.0,536.0,600059.0
31,,,18.0,600034.0,household_agent_6,964.0,market_agent,0.0,39.0,428.0,600073.0
32,,,19.0,600034.0,household_agent_5,761.0,market_agent,0.0,26.0,536.0,600060.0
33,,,19.0,600034.0,household_agent_5,761.0,market_agent,0.0,40.0,225.0,600074.0
34,,,20.0,600034.0,household_agent_7,224.0,market_agent,0.0,22.0,224.0,600056.0
35,,,21.0,600034.0,household_agent_9,483.0,market_agent,0.0,29.0,483.0,600063.0
36,,,22.0,600034.0,household_agent_8,708.0,market_agent,0.0,20.0,536.0,600054.0
37,,,22.0,600034.0,household_agent_8,708.0,market_agent,0.0,34.0,172.0,600068.0
38,,,23.0,600034.0,generation_agent_0,630.0,market_agent,0.0,28.0,536.0,600062.0
39,,,23.0,600034.0,generation_agent_0,630.0,market_agent,0.0,42.0,94.0,600076.0
40,,,24.0,600034.0,generation_agent_1,298.0,market_agent,0.0,26.0,298.0,600060.0
41,,,25.0,600034.0,generation_agent_2,402.0,market_agent,0.0,23.0,402.0,600057.0
