,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-30 13:15:51.873911,,,,,,,,,
1,Simulation configuration ID,06ca5130-daf9-40a4-a9f9-337635ba6547,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 332 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,2.0,aggregator_agent,1324.0,991.0,control_center_agent,1.0,536.0,3.0
1,,,0.0,2.0,aggregator_agent,1324.0,991.0,control_center_agent,2.0,455.0,4.0
2,,,1.0,101.0,generation_agent_91,1215.0,991.0,aggregator_agent,1.0,536.0,102.0
3,,,1.0,101.0,generation_agent_91,1215.0,991.0,aggregator_agent,2.0,455.0,103.0
4,,,5.0,629.0,control_center_agent,1325.0,991.0,aggregator_agent,1.0,536.0,630.0
5,,,5.0,629.0,control_center_agent,1325.0,991.0,aggregator_agent,2.0,455.0,631.0
6,,,2.0,178.0,generation_agent_90,1214.0,991.0,generation_agent_91,1.0,536.0,179.0
7,,,2.0,178.0,generation_agent_90,1214.0,991.0,generation_agent_91,2.0,455.0,180.0
8,,,3.0,178.0,generation_agent_92,1216.0,991.0,generation_agent_91,1.0,536.0,179.0
9,,,3.0,178.0,generation_agent_92,1216.0,991.0,generation_agent_91,2.0,455.0,180.0
10,,,4.0,600.0,aggregator_agent,1324.0,991.0,generation_agent_91,1.0,536.0,601.0
11,,,4.0,600.0,aggregator_agent,1324.0,991.0,generation_agent_91,2.0,455.0,602.0
