,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-19 10:06:39.618426,,,,,,,,,
1,Simulation configuration ID,0f04456e-adf7-4a46-9768-8ef5385c2d52,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 324 agents,,,,,,,,,
4,Agent communication pattern,FaultLocationIsolation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,Fixed data size generator with data size = 50 B,,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,300000,,,,,,,,,
9,Communication mode,BROADCAST,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
0,,,0.0,78.0,household_agent_0,50.0,control_center_agent,0.0,26.0,50.0,104.0
1,,,1.0,78.0,household_agent_8,50.0,control_center_agent,0.0,31.0,50.0,109.0
2,,,2.0,78.0,household_agent_9,50.0,control_center_agent,0.0,25.0,50.0,103.0
3,,,3.0,78.0,household_agent_15,50.0,control_center_agent,0.0,25.0,50.0,103.0
4,,,4.0,78.0,household_agent_16,50.0,control_center_agent,0.0,31.0,50.0,109.0
5,,,5.0,78.0,household_agent_22,50.0,control_center_agent,0.0,25.0,50.0,103.0
6,,,6.0,78.0,household_agent_27,50.0,control_center_agent,0.0,31.0,50.0,109.0
7,,,7.0,78.0,household_agent_30,50.0,control_center_agent,0.0,25.0,50.0,103.0
8,,,8.0,78.0,household_agent_32,50.0,control_center_agent,0.0,26.0,50.0,104.0
9,,,9.0,78.0,household_agent_34,50.0,control_center_agent,0.0,26.0,50.0,104.0
10,,,10.0,78.0,household_agent_41,50.0,control_center_agent,0.0,31.0,50.0,109.0
11,,,13.0,78.0,household_agent_57,50.0,control_center_agent,0.0,38.0,50.0,116.0
12,,,14.0,78.0,household_agent_58,50.0,control_center_agent,0.0,26.0,50.0,104.0
13,,,16.0,78.0,household_agent_61,50.0,control_center_agent,0.0,32.0,50.0,110.0
14,,,17.0,78.0,household_agent_62,50.0,control_center_agent,0.0,36.0,50.0,114.0
15,,,19.0,78.0,household_agent_69,50.0,control_center_agent,0.0,36.0,50.0,114.0
16,,,20.0,78.0,household_agent_74,50.0,control_center_agent,0.0,30.0,50.0,108.0
17,,,21.0,78.0,household_agent_77,50.0,control_center_agent,0.0,24.0,50.0,102.0
18,,,22.0,78.0,household_agent_79,50.0,control_center_agent,0.0,24.0,50.0,102.0
19,,,23.0,78.0,household_agent_90,50.0,control_center_agent,0.0,30.0,50.0,108.0
20,,,24.0,78.0,household_agent_92,50.0,control_center_agent,0.0,30.0,50.0,108.0
21,,,25.0,78.0,household_agent_97,50.0,control_center_agent,0.0,36.0,50.0,114.0
22,,,26.0,78.0,generation_agent_5,50.0,control_center_agent,0.0,40.0,50.0,118.0
23,,,27.0,78.0,generation_agent_7,50.0,control_center_agent,0.0,45.0,50.0,123.0
24,,,28.0,78.0,generation_agent_15,50.0,control_center_agent,0.0,39.0,50.0,117.0
25,,,33.0,78.0,generation_agent_29,50.0,control_center_agent,0.0,50.0,50.0,128.0
26,,,34.0,78.0,generation_agent_30,50.0,control_center_agent,0.0,56.0,50.0,134.0
27,,,37.0,78.0,generation_agent_41,50.0,control_center_agent,0.0,63.0,50.0,141.0
28,,,39.0,78.0,generation_agent_49,50.0,control_center_agent,0.0,56.0,50.0,134.0
29,,,40.0,78.0,generation_agent_52,50.0,control_center_agent,0.0,50.0,50.0,128.0
30,,,42.0,78.0,generation_agent_74,50.0,control_center_agent,0.0,54.0,50.0,132.0
31,,,43.0,78.0,generation_agent_84,50.0,control_center_agent,0.0,60.0,50.0,138.0
32,,,44.0,78.0,generation_agent_85,50.0,control_center_agent,0.0,60.0,50.0,138.0
33,,,45.0,78.0,generation_agent_87,50.0,control_center_agent,0.0,54.0,50.0,132.0
34,,,46.0,78.0,generation_agent_95,50.0,control_center_agent,0.0,65.0,50.0,143.0
35,,,47.0,78.0,grid_infrastructure_agent_3,50.0,control_center_agent,0.0,24.0,50.0,102.0
