,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-20 04:21:11.682465,,,,,,,,,
1,Simulation configuration ID,0f4b27b0-800e-4f15-88c2-1e6cfca6ad70,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,900000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,CENTRALIZED,,,,,,,,,
0,,,0.0,79.0,household_agent_0,514.0,market_agent,0.0,35.0,514.0,114.0
1,,,1.0,79.0,household_agent_14,305.0,market_agent,0.0,27.0,305.0,106.0
2,,,2.0,79.0,household_agent_13,508.0,market_agent,0.0,22.0,508.0,101.0
3,,,3.0,79.0,household_agent_50,639.0,market_agent,0.0,32.0,536.0,111.0
4,,,3.0,79.0,household_agent_50,639.0,market_agent,0.0,46.0,103.0,125.0
5,,,4.0,79.0,household_agent_44,577.0,market_agent,0.0,30.0,536.0,109.0
6,,,4.0,79.0,household_agent_44,577.0,market_agent,0.0,44.0,41.0,123.0
7,,,5.0,79.0,household_agent_23,447.0,market_agent,0.0,23.0,447.0,102.0
8,,,6.0,79.0,household_agent_27,599.0,market_agent,0.0,37.0,536.0,116.0
9,,,6.0,79.0,household_agent_27,599.0,market_agent,0.0,51.0,63.0,130.0
10,,,7.0,79.0,storage_agent_0,236.0,market_agent,0.0,33.0,236.0,112.0
11,,,8.0,79.0,household_agent_15,633.0,market_agent,0.0,27.0,536.0,106.0
12,,,8.0,79.0,household_agent_15,633.0,market_agent,0.0,41.0,97.0,120.0
13,,,9.0,79.0,household_agent_16,888.0,market_agent,0.0,25.0,536.0,104.0
14,,,9.0,79.0,household_agent_16,888.0,market_agent,0.0,39.0,352.0,118.0
15,,,10.0,79.0,generation_agent_0,400.0,market_agent,0.0,24.0,400.0,103.0
16,,,11.0,79.0,household_agent_43,749.0,market_agent,0.0,34.0,536.0,113.0
17,,,11.0,79.0,household_agent_43,749.0,market_agent,0.0,49.0,213.0,128.0
18,,,12.0,79.0,household_agent_20,699.0,market_agent,0.0,28.0,536.0,107.0
19,,,12.0,79.0,household_agent_20,699.0,market_agent,0.0,48.0,163.0,127.0
20,,,13.0,79.0,household_agent_7,460.0,market_agent,0.0,29.0,460.0,108.0
21,,,14.0,79.0,household_agent_11,576.0,market_agent,0.0,30.0,536.0,109.0
22,,,14.0,79.0,household_agent_11,576.0,market_agent,0.0,44.0,40.0,123.0
23,,,100300.0,146.0,market_agent,514.0,household_agent_0,114.0,29.0,514.0,175.0
24,,,101000.0,113.0,market_agent,460.0,household_agent_7,108.0,31.0,460.0,144.0
25,,,101400.0,183.0,market_agent,576.0,household_agent_11,109.0,29.0,536.0,212.0
26,,,101400.0,183.0,market_agent,576.0,household_agent_11,109.0,43.0,40.0,226.0
27,,,101401.0,197.0,market_agent,576.0,household_agent_11,123.0,36.0,536.0,233.0
28,,,101401.0,197.0,market_agent,576.0,household_agent_11,123.0,50.0,40.0,247.0
29,,,101600.0,189.0,market_agent,508.0,household_agent_13,101.0,29.0,508.0,218.0
