,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-30 19:23:12.436822,,,,,,,,,
1,Simulation configuration ID,137dd3dc-3e7a-4c15-84f6-d53a4b6ca538,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 330 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,37.0,aggregator_agent,1324.0,991.0,control_center_agent,45.0,536.0,82.0
1,,,0.0,37.0,aggregator_agent,1324.0,991.0,control_center_agent,80.0,455.0,117.0
2,,,1.0,218.0,household_agent_66,1090.0,991.0,aggregator_agent,75.0,536.0,293.0
3,,,1.0,218.0,household_agent_66,1090.0,991.0,aggregator_agent,122.0,455.0,340.0
