,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-22 03:25:45.576930,,,,,,,,,
1,Simulation configuration ID,23217e01-a2d6-4764-9a61-c6c82dc53ba1,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 330 agents,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,CENTRALIZED,,,,,,,,,
0,,,26.0,28252.0,generation_agent_75,1199.0,354.0,control_center_agent,25.0,354.0,28277.0
1,,,27.0,28252.0,household_agent_85,1109.0,752.0,control_center_agent,26.0,536.0,28278.0
2,,,27.0,28252.0,household_agent_85,1109.0,752.0,control_center_agent,46.0,216.0,28298.0
3,,,28.0,28252.0,generation_agent_2,1126.0,874.0,control_center_agent,21.0,536.0,28273.0
4,,,28.0,28252.0,generation_agent_2,1126.0,874.0,control_center_agent,36.0,338.0,28288.0
5,,,29.0,28252.0,generation_agent_65,1189.0,965.0,control_center_agent,21.0,536.0,28273.0
6,,,29.0,28252.0,generation_agent_65,1189.0,965.0,control_center_agent,35.0,429.0,28287.0
7,,,30.0,28252.0,grid_infrastructure_agent_3,1003.0,273.0,control_center_agent,26.0,273.0,28278.0
8,,,31.0,28252.0,generation_agent_27,1151.0,547.0,control_center_agent,32.0,536.0,28284.0
9,,,31.0,28252.0,generation_agent_27,1151.0,547.0,control_center_agent,52.0,11.0,28304.0
10,,,33.0,28252.0,household_agent_33,1057.0,391.0,control_center_agent,28.0,391.0,28280.0
11,,,34.0,28252.0,generation_agent_73,1197.0,590.0,control_center_agent,20.0,536.0,28272.0
12,,,34.0,28252.0,generation_agent_73,1197.0,590.0,control_center_agent,34.0,54.0,28286.0
