,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-08 02:41:51.895998,,,,,,,,,
1,Simulation configuration ID,52be0c7c-26c0-4eb6-8ada-af9ec7e14993,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 330 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,900000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,84.0,aggregator_agent,41.0,market_agent,0.0,25.0,41.0,109.0
1,,,1.0,165.0,generation_agent_97,23.0,aggregator_agent,0.0,63.0,23.0,228.0
2,,,2.0,165.0,storage_agent_72,12.0,aggregator_agent,0.0,74.0,12.0,239.0
3,,,3.0,165.0,storage_agent_59,34.0,aggregator_agent,0.0,85.0,34.0,250.0
4,,,4.0,165.0,storage_agent_36,14.0,aggregator_agent,0.0,96.0,14.0,261.0
5,,,5.0,165.0,generation_agent_99,20.0,aggregator_agent,0.0,255.0,20.0,420.0
6,,,6.0,165.0,generation_agent_20,48.0,aggregator_agent,0.0,453.0,92.0,618.0
7,,,7.0,165.0,household_agent_25,10.0,aggregator_agent,0.0,525.0,10.0,690.0
8,,,10.0,165.0,household_agent_88,21.0,aggregator_agent,0.0,613.0,45.0,778.0
9,,,11.0,165.0,household_agent_20,25.0,aggregator_agent,0.0,624.0,25.0,789.0
10,,,12.0,165.0,storage_agent_12,18.0,aggregator_agent,0.0,679.0,78.0,844.0
11,,,13.0,165.0,household_agent_16,17.0,aggregator_agent,0.0,734.0,85.0,899.0
12,,,14.0,165.0,generation_agent_26,46.0,aggregator_agent,0.0,745.0,46.0,910.0
13,,,15.0,165.0,storage_agent_69,9.0,aggregator_agent,0.0,796.0,9.0,961.0
14,,,16.0,217.0,generation_agent_97,30.0,aggregator_agent,0.0,55.0,30.0,272.0
15,,,17.0,217.0,storage_agent_72,50.0,aggregator_agent,0.0,66.0,50.0,283.0
16,,,18.0,217.0,storage_agent_59,13.0,aggregator_agent,0.0,77.0,13.0,294.0
17,,,19.0,217.0,storage_agent_36,23.0,aggregator_agent,0.0,88.0,23.0,305.0
18,,,20.0,217.0,generation_agent_99,13.0,aggregator_agent,0.0,275.0,13.0,492.0
19,,,22.0,217.0,household_agent_25,20.0,aggregator_agent,0.0,506.0,182.0,723.0
20,,,26.0,217.0,household_agent_20,18.0,aggregator_agent,0.0,610.0,155.0,827.0
21,,,29.0,217.0,generation_agent_26,14.0,aggregator_agent,0.0,733.0,151.0,950.0
22,,,30.0,217.0,storage_agent_69,32.0,aggregator_agent,0.0,784.0,121.0,1001.0
23,,,31.0,297.0,generation_agent_97,41.0,aggregator_agent,0.0,63.0,41.0,360.0
24,,,32.0,297.0,storage_agent_72,9.0,aggregator_agent,0.0,74.0,9.0,371.0
25,,,33.0,297.0,storage_agent_59,28.0,aggregator_agent,0.0,85.0,28.0,382.0
26,,,34.0,297.0,storage_agent_36,37.0,aggregator_agent,0.0,112.0,37.0,409.0
27,,,35.0,297.0,generation_agent_99,18.0,aggregator_agent,0.0,305.0,18.0,602.0
28,,,36.0,297.0,generation_agent_20,40.0,aggregator_agent,0.0,349.0,40.0,646.0
29,,,40.0,297.0,household_agent_88,47.0,aggregator_agent,0.0,514.0,149.0,811.0
30,,,46.0,384.0,generation_agent_97,23.0,aggregator_agent,0.0,42.0,23.0,426.0
31,,,47.0,384.0,storage_agent_72,23.0,aggregator_agent,0.0,53.0,23.0,437.0
32,,,48.0,384.0,storage_agent_59,31.0,aggregator_agent,0.0,64.0,31.0,448.0
33,,,49.0,384.0,storage_agent_36,30.0,aggregator_agent,0.0,75.0,30.0,459.0
34,,,50.0,384.0,generation_agent_99,32.0,aggregator_agent,0.0,240.0,58.0,624.0
35,,,51.0,384.0,generation_agent_20,39.0,aggregator_agent,0.0,300.0,98.0,684.0
36,,,57.0,384.0,storage_agent_12,31.0,aggregator_agent,0.0,493.0,75.0,877.0
37,,,61.0,454.0,generation_agent_97,36.0,aggregator_agent,0.0,49.0,36.0,503.0
38,,,62.0,454.0,storage_agent_72,32.0,aggregator_agent,0.0,65.0,32.0,519.0
39,,,63.0,454.0,storage_agent_59,30.0,aggregator_agent,0.0,82.0,30.0,536.0
40,,,64.0,454.0,storage_agent_36,29.0,aggregator_agent,0.0,104.0,29.0,558.0
41,,,73.0,454.0,household_agent_16,37.0,aggregator_agent,0.0,485.0,76.0,939.0
42,,,76.0,501.0,generation_agent_97,30.0,aggregator_agent,0.0,51.0,30.0,552.0
43,,,77.0,501.0,storage_agent_72,30.0,aggregator_agent,0.0,68.0,30.0,569.0
44,,,78.0,501.0,storage_agent_59,45.0,aggregator_agent,0.0,79.0,45.0,580.0
45,,,79.0,501.0,storage_agent_36,15.0,aggregator_agent,0.0,90.0,15.0,591.0
46,,,80.0,501.0,generation_agent_99,30.0,aggregator_agent,0.0,156.0,30.0,657.0
47,,,91.0,601.0,market_agent,30.0,aggregator_agent,0.0,18.0,30.0,619.0
48,,,104000.0,23395.0,aggregator_agent,17.0,household_agent_16,899.0,59.0,17.0,23454.0
49,,,104001.0,6565.0,aggregator_agent,37.0,household_agent_16,939.0,59.0,37.0,6624.0
