,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-29 23:14:06.136032,,,,,,,,,
1,Simulation configuration ID,58bc8a54-44c2-4019-b56e-8c1d2cef0cd5,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,30.0,aggregator_agent,1059.0,41.0,control_center_agent,25.0,41.0,55.0
1,,,1.0,67.0,household_agent_47,1050.0,41.0,aggregator_agent,53.0,41.0,120.0
2,,,2.0,29429.0,household_agent_46,1049.0,41.0,household_agent_47,47.0,41.0,29476.0
3,,,3.0,29429.0,household_agent_48,1051.0,41.0,household_agent_47,52.0,41.0,29481.0
