,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-29 18:31:46.327489,,,,,,,,,
1,Simulation configuration ID,73121199-5df0-43f8-ad72-afcb95ca7308,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,84.0,aggregator_agent,1059.0,41.0,control_center_agent,25.0,41.0,109.0
1,,,1.0,248.0,household_agent_0,1003.0,41.0,aggregator_agent,940.0,41.0,1188.0
2,,,2791.0,580.0,control_center_agent,1060.0,41.0,aggregator_agent,40.0,41.0,620.0
3,,,228.0,254.0,household_agent_0,1003.0,41.0,household_agent_44,1647.0,492.0,1901.0
4,,,229.0,254.0,household_agent_4,1007.0,41.0,household_agent_44,838.0,410.0,1092.0
5,,,230.0,254.0,household_agent_6,1009.0,41.0,household_agent_44,759.0,410.0,1013.0
6,,,231.0,254.0,household_agent_9,1012.0,41.0,household_agent_44,767.0,369.0,1021.0
7,,,232.0,254.0,household_agent_11,1014.0,41.0,household_agent_44,808.0,492.0,1062.0
8,,,233.0,254.0,household_agent_12,1015.0,41.0,household_agent_44,1050.0,410.0,1304.0
9,,,234.0,254.0,household_agent_17,1020.0,41.0,household_agent_44,1061.0,451.0,1315.0
10,,,235.0,254.0,household_agent_20,1023.0,41.0,household_agent_44,2086.0,451.0,2340.0
11,,,236.0,254.0,household_agent_22,1025.0,41.0,household_agent_44,1456.0,410.0,1710.0
12,,,237.0,254.0,household_agent_25,1028.0,41.0,household_agent_44,1421.0,451.0,1675.0
13,,,238.0,254.0,household_agent_31,1034.0,41.0,household_agent_44,417.0,328.0,671.0
14,,,239.0,254.0,household_agent_42,1045.0,41.0,household_agent_44,570.0,41.0,824.0
15,,,240.0,254.0,household_agent_46,1049.0,41.0,household_agent_44,461.0,328.0,715.0
16,,,241.0,254.0,household_agent_53,1056.0,41.0,household_agent_44,693.0,41.0,947.0
17,,,449.0,283.0,household_agent_42,1045.0,41.0,household_agent_44,545.0,328.0,828.0
18,,,451.0,283.0,household_agent_53,1056.0,41.0,household_agent_44,752.0,451.0,1035.0
19,,,1918.0,506.0,household_agent_31,1034.0,41.0,household_agent_44,302.0,41.0,808.0
20,,,1920.0,506.0,household_agent_46,1049.0,41.0,household_agent_44,346.0,41.0,852.0
21,,,2121.0,597.0,household_agent_9,1012.0,41.0,household_agent_44,505.0,164.0,1102.0
22,,,2128.0,597.0,household_agent_31,1034.0,41.0,household_agent_44,244.0,82.0,841.0
23,,,2129.0,597.0,household_agent_42,1045.0,41.0,household_agent_44,249.0,82.0,846.0
24,,,2130.0,597.0,household_agent_46,1049.0,41.0,household_agent_44,275.0,123.0,872.0
25,,,2329.0,651.0,household_agent_4,1007.0,41.0,household_agent_44,493.0,123.0,1144.0
26,,,2330.0,651.0,household_agent_6,1009.0,41.0,household_agent_44,437.0,123.0,1088.0
27,,,2333.0,651.0,household_agent_12,1015.0,41.0,household_agent_44,694.0,123.0,1345.0
28,,,2336.0,651.0,household_agent_22,1025.0,41.0,household_agent_44,1097.0,123.0,1748.0
29,,,2544.0,684.0,household_agent_17,1020.0,41.0,household_agent_44,672.0,82.0,1356.0
30,,,2545.0,684.0,household_agent_20,1023.0,41.0,household_agent_44,1707.0,82.0,2391.0
31,,,2547.0,684.0,household_agent_25,1028.0,41.0,household_agent_44,1134.0,82.0,1818.0
32,,,2548.0,684.0,household_agent_31,1034.0,41.0,household_agent_44,193.0,82.0,877.0
33,,,2549.0,684.0,household_agent_42,1045.0,41.0,household_agent_44,198.0,82.0,882.0
34,,,2748.0,715.0,household_agent_0,1003.0,41.0,household_agent_44,1215.0,41.0,1930.0
35,,,2752.0,715.0,household_agent_11,1014.0,41.0,household_agent_44,392.0,41.0,1107.0
