,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-20 05:16:25.134269,,,,,,,,,
1,Simulation configuration ID,81a5d055-b2e3-4102-b5ac-382a5ec2fdd3,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,900000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,83.0,aggregator_agent,380.0,market_agent,0.0,25.0,380.0,108.0
1,,,1.0,218.0,household_agent_31,815.0,aggregator_agent,0.0,76.0,536.0,294.0
2,,,1.0,218.0,household_agent_31,815.0,aggregator_agent,0.0,114.0,536.0,332.0
3,,,2.0,218.0,household_agent_27,905.0,aggregator_agent,0.0,89.0,536.0,307.0
4,,,2.0,218.0,household_agent_27,905.0,aggregator_agent,0.0,165.0,536.0,383.0
5,,,3.0,218.0,household_agent_28,200.0,aggregator_agent,0.0,220.0,200.0,438.0
6,,,4.0,218.0,household_agent_45,575.0,aggregator_agent,0.0,575.0,536.0,793.0
7,,,4.0,218.0,household_agent_45,575.0,aggregator_agent,0.0,609.0,536.0,827.0
8,,,5.0,218.0,household_agent_47,516.0,aggregator_agent,0.0,702.0,536.0,920.0
9,,,6.0,218.0,household_agent_6,809.0,aggregator_agent,0.0,821.0,536.0,1039.0
10,,,6.0,218.0,household_agent_6,809.0,aggregator_agent,0.0,858.0,536.0,1076.0
11,,,7.0,218.0,household_agent_36,816.0,aggregator_agent,0.0,1013.0,536.0,1231.0
12,,,7.0,218.0,household_agent_36,816.0,aggregator_agent,0.0,1055.0,536.0,1273.0
13,,,8.0,218.0,household_agent_24,391.0,aggregator_agent,0.0,1078.0,391.0,1296.0
