,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2025-01-09 00:35:24.538698,,,,,,
1,Simulation configuration ID,91dbb0ca-5acf-4a25-99a6-3c9b1ef491ea,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,900000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,
0,,,0.0,10.0,aggregator_agent,1318.0,13.0,market_agent
0,,,1.0,72.0,household_agent_37,1055.0,12.0,aggregator_agent
1,,,2.0,72.0,storage_agent_79,1297.0,43.0,aggregator_agent
2,,,3.0,72.0,storage_agent_55,1273.0,26.0,aggregator_agent
3,,,4.0,72.0,household_agent_10,1028.0,45.0,aggregator_agent
4,,,5.0,72.0,generation_agent_64,1182.0,39.0,aggregator_agent
5,,,6.0,72.0,generation_agent_97,1215.0,23.0,aggregator_agent
6,,,7.0,72.0,household_agent_44,1062.0,33.0,aggregator_agent
7,,,8.0,72.0,generation_agent_82,1200.0,49.0,aggregator_agent
8,,,9.0,72.0,household_agent_53,1071.0,42.0,aggregator_agent
9,,,10.0,72.0,storage_agent_6,1224.0,26.0,aggregator_agent
10,,,11.0,72.0,household_agent_91,1109.0,19.0,aggregator_agent
11,,,12.0,72.0,generation_agent_35,1153.0,11.0,aggregator_agent
12,,,13.0,72.0,household_agent_45,1063.0,18.0,aggregator_agent
13,,,14.0,72.0,storage_agent_18,1236.0,19.0,aggregator_agent
14,,,15.0,72.0,storage_agent_13,1231.0,16.0,aggregator_agent
15,,,16.0,135.0,household_agent_37,1055.0,25.0,aggregator_agent
16,,,17.0,135.0,storage_agent_79,1297.0,28.0,aggregator_agent
17,,,18.0,135.0,storage_agent_55,1273.0,35.0,aggregator_agent
18,,,19.0,135.0,household_agent_10,1028.0,22.0,aggregator_agent
19,,,20.0,135.0,generation_agent_64,1182.0,9.0,aggregator_agent
20,,,21.0,135.0,generation_agent_97,1215.0,16.0,aggregator_agent
21,,,22.0,135.0,household_agent_44,1062.0,9.0,aggregator_agent
22,,,23.0,135.0,generation_agent_82,1200.0,47.0,aggregator_agent
23,,,24.0,135.0,household_agent_53,1071.0,49.0,aggregator_agent
24,,,25.0,135.0,storage_agent_6,1224.0,37.0,aggregator_agent
25,,,26.0,135.0,household_agent_91,1109.0,37.0,aggregator_agent
26,,,27.0,135.0,generation_agent_35,1153.0,25.0,aggregator_agent
27,,,28.0,135.0,household_agent_45,1063.0,23.0,aggregator_agent
28,,,29.0,135.0,storage_agent_18,1236.0,43.0,aggregator_agent
29,,,30.0,135.0,storage_agent_13,1231.0,41.0,aggregator_agent
30,,,31.0,211.0,household_agent_37,1055.0,35.0,aggregator_agent
31,,,32.0,211.0,storage_agent_79,1297.0,10.0,aggregator_agent
32,,,33.0,211.0,storage_agent_55,1273.0,50.0,aggregator_agent
33,,,34.0,211.0,household_agent_10,1028.0,12.0,aggregator_agent
34,,,35.0,211.0,generation_agent_64,1182.0,44.0,aggregator_agent
35,,,36.0,211.0,generation_agent_97,1215.0,33.0,aggregator_agent
36,,,37.0,211.0,household_agent_44,1062.0,11.0,aggregator_agent
37,,,38.0,211.0,generation_agent_82,1200.0,38.0,aggregator_agent
38,,,39.0,211.0,household_agent_53,1071.0,25.0,aggregator_agent
39,,,40.0,211.0,storage_agent_6,1224.0,13.0,aggregator_agent
40,,,41.0,211.0,household_agent_91,1109.0,25.0,aggregator_agent
41,,,42.0,211.0,generation_agent_35,1153.0,48.0,aggregator_agent
42,,,43.0,211.0,household_agent_45,1063.0,25.0,aggregator_agent
43,,,44.0,211.0,storage_agent_18,1236.0,33.0,aggregator_agent
44,,,45.0,211.0,storage_agent_13,1231.0,26.0,aggregator_agent
45,,,46.0,278.0,household_agent_37,1055.0,28.0,aggregator_agent
46,,,47.0,278.0,storage_agent_79,1297.0,40.0,aggregator_agent
47,,,48.0,278.0,storage_agent_55,1273.0,15.0,aggregator_agent
48,,,49.0,278.0,household_agent_10,1028.0,39.0,aggregator_agent
49,,,50.0,278.0,generation_agent_64,1182.0,49.0,aggregator_agent
50,,,51.0,278.0,generation_agent_97,1215.0,11.0,aggregator_agent
51,,,52.0,278.0,household_agent_44,1062.0,9.0,aggregator_agent
52,,,53.0,278.0,generation_agent_82,1200.0,45.0,aggregator_agent
53,,,54.0,278.0,household_agent_53,1071.0,40.0,aggregator_agent
54,,,55.0,278.0,storage_agent_6,1224.0,35.0,aggregator_agent
55,,,56.0,278.0,household_agent_91,1109.0,33.0,aggregator_agent
56,,,57.0,278.0,generation_agent_35,1153.0,22.0,aggregator_agent
57,,,58.0,278.0,household_agent_45,1063.0,12.0,aggregator_agent
58,,,59.0,278.0,storage_agent_18,1236.0,37.0,aggregator_agent
59,,,60.0,278.0,storage_agent_13,1231.0,36.0,aggregator_agent
60,,,61.0,369.0,household_agent_37,1055.0,45.0,aggregator_agent
61,,,62.0,369.0,storage_agent_79,1297.0,17.0,aggregator_agent
62,,,63.0,369.0,storage_agent_55,1273.0,47.0,aggregator_agent
63,,,64.0,369.0,household_agent_10,1028.0,19.0,aggregator_agent
64,,,65.0,369.0,generation_agent_64,1182.0,37.0,aggregator_agent
65,,,66.0,369.0,generation_agent_97,1215.0,37.0,aggregator_agent
66,,,67.0,369.0,household_agent_44,1062.0,19.0,aggregator_agent
67,,,68.0,369.0,generation_agent_82,1200.0,15.0,aggregator_agent
68,,,69.0,369.0,household_agent_53,1071.0,10.0,aggregator_agent
69,,,70.0,369.0,storage_agent_6,1224.0,25.0,aggregator_agent
70,,,71.0,369.0,household_agent_91,1109.0,25.0,aggregator_agent
71,,,72.0,369.0,generation_agent_35,1153.0,20.0,aggregator_agent
72,,,73.0,369.0,household_agent_45,1063.0,20.0,aggregator_agent
73,,,74.0,369.0,storage_agent_18,1236.0,28.0,aggregator_agent
74,,,75.0,369.0,storage_agent_13,1231.0,9.0,aggregator_agent
75,,,76.0,398.0,household_agent_37,1055.0,44.0,aggregator_agent
76,,,77.0,398.0,storage_agent_79,1297.0,31.0,aggregator_agent
77,,,78.0,398.0,storage_agent_55,1273.0,13.0,aggregator_agent
78,,,79.0,398.0,household_agent_10,1028.0,16.0,aggregator_agent
79,,,80.0,398.0,generation_agent_64,1182.0,42.0,aggregator_agent
80,,,81.0,398.0,generation_agent_97,1215.0,30.0,aggregator_agent
