,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 17:59:41.409917,,,,,,,,,
1,Simulation configuration ID,92e667f9-d79b-41fe-a466-43a26ae68f92,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 67 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,CENTRALIZED,,,,,,,,,
0,,,0.0,81.0,grid_operator_agent,128.0,household_agent_22,0.0,2.0,128.0,83.0
1,,,1.0,81.0,grid_operator_agent,132.0,household_agent_43,0.0,3.0,132.0,84.0
2,,,2.0,81.0,grid_operator_agent,54.0,household_agent_45,0.0,3.0,54.0,84.0
3,,,3.0,81.0,grid_operator_agent,62.0,household_agent_24,0.0,2.0,62.0,83.0
4,,,4.0,81.0,grid_operator_agent,95.0,household_agent_6,0.0,1.0,95.0,82.0
5,,,5.0,81.0,grid_operator_agent,171.0,household_agent_40,0.0,3.0,171.0,84.0
6,,,6.0,81.0,grid_operator_agent,81.0,household_agent_15,0.0,0.0,81.0,81.0
7,,,7.0,81.0,grid_operator_agent,166.0,household_agent_19,0.0,1.0,166.0,82.0
8,,,8.0,81.0,grid_operator_agent,149.0,household_agent_20,0.0,2.0,149.0,83.0
9,,,9.0,81.0,grid_operator_agent,179.0,household_agent_10,0.0,1.0,179.0,82.0
10,,,10.0,81.0,grid_operator_agent,116.0,household_agent_5,0.0,1.0,116.0,82.0
11,,,11.0,81.0,grid_operator_agent,151.0,household_agent_33,0.0,2.0,151.0,83.0
12,,,12.0,81.0,grid_operator_agent,170.0,household_agent_36,0.0,2.0,170.0,83.0
13,,,13.0,81.0,grid_operator_agent,57.0,household_agent_8,0.0,1.0,57.0,82.0
14,,,14.0,81.0,grid_operator_agent,87.0,household_agent_46,0.0,2.0,87.0,83.0
