,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-22 04:27:51.751020,,,,,,,,,
1,Simulation configuration ID,b02e3351-4745-4681-b7cf-ac35442d4c45,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 67 agents,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,74.0,grid_infrastructure_agent_1,865.0,grid_infrastructure_agent_0,0.0,1.0,536.0,75.0
1,,,0.0,74.0,grid_infrastructure_agent_1,865.0,grid_infrastructure_agent_0,0.0,2.0,329.0,76.0
2,,,1.0,74.0,grid_infrastructure_agent_2,433.0,grid_infrastructure_agent_0,0.0,1.0,433.0,75.0
3,,,2.0,74.0,grid_infrastructure_agent_0,691.0,grid_infrastructure_agent_1,0.0,1.0,536.0,75.0
4,,,2.0,74.0,grid_infrastructure_agent_0,691.0,grid_infrastructure_agent_1,0.0,1.0,155.0,75.0
5,,,3.0,74.0,grid_infrastructure_agent_2,977.0,grid_infrastructure_agent_1,0.0,1.0,536.0,75.0
6,,,3.0,74.0,grid_infrastructure_agent_2,977.0,grid_infrastructure_agent_1,0.0,3.0,441.0,77.0
7,,,4.0,74.0,grid_infrastructure_agent_0,840.0,grid_infrastructure_agent_2,0.0,1.0,536.0,75.0
8,,,4.0,74.0,grid_infrastructure_agent_0,840.0,grid_infrastructure_agent_2,0.0,2.0,304.0,76.0
9,,,5.0,74.0,grid_infrastructure_agent_1,313.0,grid_infrastructure_agent_2,0.0,1.0,313.0,75.0
