,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-21 21:37:41.717299,,,,,,,,,
1,Simulation configuration ID,c2dfba26-d1e2-49fb-a811-e3730415f0a3,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,41.0,grid_infrastructure_agent_1,131.0,grid_infrastructure_agent_0,0.0,47.0,131.0,88.0
1,,,1.0,41.0,grid_infrastructure_agent_0,76.0,grid_infrastructure_agent_1,0.0,47.0,76.0,88.0
2,,,2.0,41.0,grid_infrastructure_agent_2,85.0,grid_infrastructure_agent_1,0.0,63.0,85.0,104.0
3,,,3.0,41.0,grid_infrastructure_agent_1,137.0,grid_infrastructure_agent_2,0.0,53.0,137.0,94.0
4,,,100000.0,23973.0,grid_infrastructure_agent_1,76.0,grid_infrastructure_agent_0,88.0,47.0,76.0,24020.0
5,,,100100.0,2755.0,grid_infrastructure_agent_0,131.0,grid_infrastructure_agent_1,88.0,47.0,131.0,2802.0
6,,,100101.0,18590.0,grid_infrastructure_agent_2,137.0,grid_infrastructure_agent_1,94.0,47.0,137.0,18637.0
7,,,100200.0,18988.0,grid_infrastructure_agent_1,85.0,grid_infrastructure_agent_2,104.0,47.0,85.0,19035.0
