,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 19:28:18.034614,,,,,,,,,
1,Simulation configuration ID,f3770d24-4cdf-4cc3-91b5-0eaf3c648152,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 65 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,86.0,household_agent_41,194.0,household_agent_42,0.0,53.0,194.0,139.0
1,,,0.0,86.0,household_agent_41,194.0,household_agent_42,0.0,47.0,166.0,131.0
2,,,0.0,86.0,household_agent_41,194.0,household_agent_42,0.0,48.0,174.0,137.0
3,,,1.0,86.0,household_agent_43,126.0,household_agent_42,0.0,64.0,126.0,150.0
4,,,1.0,86.0,household_agent_43,126.0,household_agent_42,0.0,58.0,131.0,142.0
5,,,1.0,86.0,household_agent_43,126.0,household_agent_42,0.0,47.0,156.0,116.0
6,,,104400.0,234.0,household_agent_42,194.0,household_agent_41,139.0,54.0,194.0,288.0
7,,,104600.0,173.0,household_agent_42,126.0,household_agent_43,150.0,47.0,126.0,220.0
8,,,104900.0,147.0,household_agent_47,166.0,household_agent_46,131.0,47.0,166.0,194.0
9,,,105100.0,154.0,household_agent_47,131.0,household_agent_48,142.0,47.0,131.0,201.0
